skill,reader,adapter,modelname,timestamp,answer,data_id,dataset,question,context,answer_dataset
span-extraction,roberta-base,quoref,quant_onnx,2023-01-25 06:13:04.095671,Frankie,ec2a96d8f3e8e6cb2fbfd921e0046ac69093c216,quoref,What is the first name of the person who purchases a revolver?,"Frankie Bono, a mentally disturbed hitman from Cleveland, comes back to his hometown in Ne","{'answer_start': [208], 'text': ['Frankie']}"
span-extraction,roberta-base,quoref,quant_onnx,2023-01-25 06:13:05.047466, Frankie,bfc3b34d6b7e73c0bd82a009db12e9ce196b53e6,quoref,What is the first name of the person who has until New Year's Eve to perform a hit?,"Frankie Bono, a mentally disturbed hitman from Cleveland, comes back to his hometown in Ne","{'answer_start': [1633], 'text': ['Frankie']}"
span-extraction,roberta-base,quoref,quant_onnx,2023-01-25 06:13:06.014367, Frankie,e251deed14a9d40858b839657e55a109a96e9734,quoref,What is the first name of the person whose contract will be reneged if they are spotted before the hit is performed?,"Frankie Bono, a mentally disturbed hitman from Cleveland, comes back to his hometown in Ne","{'answer_start': [208], 'text': ['Frankie']}"
span-extraction,roberta-base,quoref,quant_onnx,2023-01-25 06:13:06.973745,Frankie,4f569ff366bff7ad2718463bfa50964fb255296f,quoref,What is the first name of the person who follows their target to select the best possible location?,"Frankie Bono, a mentally disturbed hitman from Cleveland, comes back to his hometown in Ne","{'answer_start': [208], 'text': ['Frankie']}"
span-extraction,roberta-base,quoref,quant_onnx,2023-01-25 06:13:07.897172, Frankie,95fffe5751942f5f54329f70614851e166be85ca,quoref,What is the first name of the person who waits until their target isn't accompanied by their bodyguards?,"Frankie Bono, a mentally disturbed hitman from Cleveland, comes back to his hometown in Ne","{'answer_start': [208], 'text': ['Frankie']}"
span-extraction,roberta-base,quoref,quant_onnx,2023-01-25 06:13:08.802944,"Frankie Bono,",37af27f9461c180d9bc22dcadd51f35bfd286624,quoref,What is the full name of the person who purchases a revolver from an obese gun runner?,"Frankie Bono, a mentally disturbed hitman from Cleveland, comes back to his hometown in Ne","{'answer_start': [0], 'text': ['Frankie Bono']}"
span-extraction,roberta-base,quoref,quant_onnx,2023-01-25 06:13:09.725223,"Frankie Bono,",15f5993739c6a0cad505bcb060f6b6b2c97a6f31,quoref,What is the full name of the person who is plagued by memories of past trauma?,"Frankie Bono, a mentally disturbed hitman from Cleveland, comes back to his hometown in Ne","{'answer_start': [0], 'text': ['Frankie Bono']}"
span-extraction,roberta-base,quoref,quant_onnx,2023-01-25 06:13:10.613396,"Frankie Bono,",e4a7c8512e0a11b86f184e48741999e01a1e3ad4,quoref,What is the full name of the person who is calmly asked to leave?,"Frankie Bono, a mentally disturbed hitman from Cleveland, comes back to his hometown in Ne","{'answer_start': [0], 'text': ['Frankie Bono']}"
span-extraction,roberta-base,quoref,quant_onnx,2023-01-25 06:13:11.518761,"Frankie Bono,",7d7c5ef0ab24c8bf231ad8cb1ef43b6a07beff26,quoref,What is the full name of the person who is spotted by an obese gun runner while trailing someone?,"Frankie Bono, a mentally disturbed hitman from Cleveland, comes back to his hometown in Ne","{'answer_start': [0], 'text': ['Frankie Bono']}"
span-extraction,roberta-base,quoref,quant_onnx,2023-01-25 06:13:12.419585,"Frankie Bono,",a617b374f842f5245a1b53b6e013673ec86f2d62,quoref,What is the full name of the person who is strangled to death?,"Frankie Bono, a mentally disturbed hitman from Cleveland, comes back to his hometown in Ne","{'answer_start': [517], 'text': ['Big Ralph']}"
