skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,answer_dataset
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:29.615357,True,[-0.4800456   0.57927144],0,boolq,does ethanol take more energy make that produces,"All biomass goes through at least some of these steps: it needs to be grown, collected, dr",False
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:31.043334,True,[-1.351051  1.36325 ],1,boolq,is house tax and property tax are same,"Property tax or 'house tax' is a local tax on buildings, along with appurtenant land. It i",True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:31.388661,True,[-1.990784  1.799314],2,boolq,is pain experienced in a missing body part or paralyzed area,Phantom pain sensations are described as perceptions that an individual experiences relati,True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:31.908567,True,[-2.6188087  2.4711685],3,boolq,is harry potter and the escape from gringotts a roller coaster ride,Harry Potter and the Escape from Gringotts is an indoor steel roller coaster at Universal ,True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:32.379568,False,[ 0.32610467 -0.26109785],4,boolq,is there a difference between hydroxyzine hcl and hydroxyzine pam,Hydroxyzine preparations require a doctor's prescription. The drug is available in two for,True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:32.875992,True,[-1.1794505  1.2569036],5,boolq,is barq's root beer a pepsi product,Barq's /ˈbɑːrks/ is an American soft drink. Its brand of root beer is notable for having c,False
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:33.380303,True,[-2.4238768  2.3246496],6,boolq,can an odd number be divided by an even number,"In mathematics, parity is the property of an integer's inclusion in one of two categories:",True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:33.962415,True,[-2.1804395  1.97364  ],7,boolq,is there a word with q without u,"Of the 71 words in this list, 67 are nouns, and most would generally be considered loanwor",True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:34.113714,True,[-1.8677962  1.9636492],8,boolq,can u drive in canada with us license,Persons driving into Canada must have their vehicle's registration document and proof of i,True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:34.583323,True,[-2.4545896  2.4976354],9,boolq,is there a play off for third place in the world cup,The knockout stage of the 2018 FIFA World Cup was the second and final stage of the compet,True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:35.359171,True,[-1.4087478  1.5672929],10,boolq,can minors drink with parents in new york,"In response to the National Minimum Drinking Age Act in 1984, which reduced by up to 10% t",True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:35.852523,True,[-0.3339374   0.41132873],11,boolq,is the show bloodline based on a true story,Bloodline was announced in October 2014 as part of a partnership between Netflix and Sony ,False
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:36.504798,False,[ 1.5601101 -1.5351362],12,boolq,is it bad to wash your hair with shower gel,"Shower gels for men may contain the ingredient menthol, which gives a cooling and stimulat",True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:37.141936,True,[-1.35457    1.4176662],13,boolq,is the liver part of the excretory system,"The liver detoxifies and breaks down chemicals, poisons and other toxins that enter the bo",True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:37.916612,True,[-2.3351028  2.2726183],14,boolq,is fantastic beasts and where to find them a prequel,Fantastic Beasts and Where to Find Them is a 2016 fantasy film directed by David Yates. A ,True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:38.290428,True,[-1.1337671  0.9807087],15,boolq,will there be a season 8 of vampire diaries,"The Vampire Diaries, an American supernatural drama, was renewed for an eighth season by T",True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:38.932303,False,[ 0.2330249  -0.08208007],16,boolq,was the movie strangers based on a true story,The Strangers is a 2008 American slasher film written and directed by Bryan Bertino. Krist,True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:39.245911,True,[-1.8705981  1.7344952],17,boolq,is durham university part of the russell group,"In March 2012 it was announced that four universities -- Durham, Exeter, Queen Mary Univer",True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:39.947924,True,[-1.0219746  0.9518509],18,boolq,is the tv show the resident over for the season,The Resident is an American medical drama television series aired by Fox Broadcasting Comp,True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:40.435181,True,[-1.7189853  1.7994082],19,boolq,does magnesium citrate have citric acid in it,Magnesium citrate is a magnesium preparation in salt form with citric acid in a 1:1 ratio ,True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:41.251381,False,[ 0.78605944 -0.6518866 ],20,boolq,does p o box come before street address,"Street Addressing will have the same street address of the post office, plus a ``unit numb",False
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:42.128368,True,[-1.6207044  1.7513373],21,boolq,does a spark plug keep an engine running,"A spark plug (sometimes, in British English, a sparking plug, and, colloquially, a plug) i",True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:42.472601,True,[-0.94792765  0.9999726 ],22,boolq,is a cape and a cloak the same,"Ladies may wear a long (over the shoulders or to ankles) cloak usually called a cape, or a",True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:42.845098,True,[-1.3658304  1.4315817],23,boolq,does it cost money to renounce us citizenship,"Renunciation of U.S. citizenship was free until July 2010, at which time a fee of $450 was",True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:43.482790,False,[ 0.15228917 -0.23502934],24,boolq,is a fire 7 the same as a kindle,"The Fire Tablet, formerly called the Kindle Fire, is a tablet computer developed by Amazon",True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:43.944836,True,[-1.7727742  1.8067402],25,boolq,can you drink alcohol with your parents in wisconsin,"The drinking age in Wisconsin is 21. Those under the legal drinking age may be served, pos",True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:44.600373,True,[-0.27593035  0.33156854],26,boolq,do penguins have feathers arising from the epidermis,Contour feathers are not uniformly distributed on the skin of the bird except in some grou,True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:45.597894,True,[-0.5170554   0.53194624],27,boolq,do you need to break in a car,A new engine is broken in by following specific driving guidelines during the first few ho,False
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:45.975455,True,[-2.326277   2.4383245],28,boolq,is the enchanted forest in oregon still open,"The Enchanted Forest is an amusement park located in Turner in the U.S. state of Oregon, n",True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:46.464499,True,[-1.9832466  1.9230108],29,boolq,is there a golf course at the indy 500,"On the grounds of the speedway is the Indianapolis Motor Speedway Museum, which opened in ",True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:46.995340,True,[-2.865437  2.708847],30,boolq,does deadpool have a kid in the comics,"As part of Marvel's Marvel NOW! initiative a new Deadpool ongoing series was launched, wri",True
categorical,roberta-base,boolq,onnx_opt,2023-01-25 01:54:47.403440,True,[-2.0624616  2.15431  ],31,boolq,do they still make benson & hedges cigarettes,Benson & Hedges is a British brand of cigarettes owned by either Philip Morris Internation,True
