skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,choices,answer_dataset
multiple-choice,bert-base-uncased,race,base,2023-01-23 22:37:55.268726,"Over 2,000 people.","tensor([[ 0.1839, -0.9903, -3.1086, -2.1385]])",middle511.txt,race,How many people lost their lives in this accident?,"APRIL 5 marks the 100thanniversary of the sinking of the Titanic. In 1997, the movieTitani","['Over 2,000 people.', 'About 100 people.', 'More than 1,500 people.', ""We don't know.""]","More than 1,500 people."
multiple-choice,bert-base-uncased,race,base,2023-01-23 22:37:57.641560,An iceberg can stop for some time during its travel.,"tensor([[-3.5678,  4.9364, -7.5524,  1.4300]])",middle511.txt,race,Which of the following about icebergs is TRUE?,"APRIL 5 marks the 100thanniversary of the sinking of the Titanic. In 1997, the movieTitani","['Icebergs move only when the tide frees them.', 'An iceberg can stop for some time during its travel.', 'An iceberg will move as soon as its melts.', 'It takes an iceberg several months to leave its place.']",An iceberg can stop for some time during its travel.
multiple-choice,bert-base-uncased,race,base,2023-01-23 22:38:00.061801,The moon's role in the sinking of the Titanic.,"tensor([[ 1.9980, -2.8907,  1.1075,  8.2135]])",middle511.txt,race,. What is the article mainly about?,"APRIL 5 marks the 100thanniversary of the sinking of the Titanic. In 1997, the movieTitani","[""The main cause of the Titanic's sinking."", 'The 100\nthanniversary of the Titanic.', ""The moon's great influence on the Earth's tides."", ""The moon's role in the sinking of the Titanic.""]",The moon's role in the sinking of the Titanic.
multiple-choice,bert-base-uncased,race,base,2023-01-23 22:38:02.233312,Billy can't see,"tensor([[-10.2210,  -8.0093, -10.0633, -10.1634]])",middle5294.txt,race,"From the passage,we know that  _  .","Billy's favorite color is orange.But he can't see what orange looks like.Billy is blind.
A","[""Billy can't hear"", ""Billy can't see"", ""Billy can't walk"", ""Billy can't talk""]",Billy can't see
multiple-choice,bert-base-uncased,race,base,2023-01-23 22:38:04.751225,By describing everything to him.,"tensor([[-11.0788, -10.5155,   7.2900,  -8.9184]])",middle5294.txt,race,How did Billy's mother help him?,"Billy's favorite color is orange.But he can't see what orange looks like.Billy is blind.
A","['By teaching him how to draw.', 'By asking teachers for advice.', 'By describing everything to him.', 'By sending him to his dream school.']",By describing everything to him.
multiple-choice,bert-base-uncased,race,base,2023-01-23 22:38:07.328242,When he was 7 years old.,"tensor([[ 9.9778, -4.4409, -1.9727, -9.5041]])",middle5294.txt,race,When did Billy begin teaching himself computer programming?,"Billy's favorite color is orange.But he can't see what orange looks like.Billy is blind.
A","['When he was 7 years old.', 'When he was in Grade 5.', 'When he was in high school.', 'When he was at university.']",When he was 7 years old.
multiple-choice,bert-base-uncased,race,base,2023-01-23 22:38:11.228416,make a survey,"tensor([[ -9.1258,  -9.4295, -10.8411, -10.2859]])",middle4690.txt,race,The writer begins with the four questions in order to  _  .,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['make a survey', 'interest readers', 'tell a story', 'solve math problems']",interest readers
multiple-choice,bert-base-uncased,race,base,2023-01-23 22:38:14.968315,People of different cultures may use different ways of finger counting.,"tensor([[-5.6898, -4.1292, 13.7711, -1.4195]])",middle4690.txt,race,What do we learn from the difference in finger counting between the US and China?,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['People from China count much faster than people from the US.', 'People from China need two hands to count from one to ten.', 'People of different cultures may use different ways of finger counting.', 'People of different cultures use the same way of finger counting.']",People of different cultures may use different ways of finger counting.
multiple-choice,bert-base-uncased,race,base,2023-01-23 22:38:18.760753,They can understand different ideas about numbers.,"tensor([[-3.4149, -6.9199, -7.1529, 12.4014]])",middle4690.txt,race,Which of the following is true about aboriginal Australians?,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['They have only a few words for numbers.', 'They have hand movements to stand for numbers.', 'They can only count to five on their fingers.', 'They can understand different ideas about numbers.']",They can understand different ideas about numbers.
multiple-choice,bert-base-uncased,race,base,2023-01-23 22:38:23.112530,counting is not useful in the culture of the tribe,"tensor([[-9.6227, -5.1252, -2.3614, -0.2740]])",middle4690.txt,race,The study of the Piraha tribe shows that  _  .,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['people all over the world know how to count', 'people of the tribe have words for numbers', 'some groups of people are not smart enough to count', 'counting is not useful in the culture of the tribe']",counting is not useful in the culture of the tribe
