skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,answer_dataset
categorical,bert-base-uncased,boolq,quant_base,2023-01-25 00:29:11.892856,True,[0.04307159 0.14856294],0,boolq,does ethanol take more energy make that produces,"All biomass goes through at least some of these steps: it needs to be grown, collected, dr",False
categorical,bert-base-uncased,boolq,quant_base,2023-01-25 00:29:16.672666,True,[-0.00732881  0.44615737],1,boolq,is house tax and property tax are same,"Property tax or 'house tax' is a local tax on buildings, along with appurtenant land. It i",True
categorical,bert-base-uncased,boolq,quant_base,2023-01-25 00:29:21.184273,True,[-1.251884   1.1318096],2,boolq,is pain experienced in a missing body part or paralyzed area,Phantom pain sensations are described as perceptions that an individual experiences relati,True
categorical,bert-base-uncased,boolq,quant_base,2023-01-25 00:29:25.282245,True,[-1.1000056  1.2797506],3,boolq,is harry potter and the escape from gringotts a roller coaster ride,Harry Potter and the Escape from Gringotts is an indoor steel roller coaster at Universal ,True
categorical,bert-base-uncased,boolq,quant_base,2023-01-25 00:29:28.708177,False,[ 1.2003236 -1.2420458],4,boolq,is there a difference between hydroxyzine hcl and hydroxyzine pam,Hydroxyzine preparations require a doctor's prescription. The drug is available in two for,True
categorical,bert-base-uncased,boolq,quant_base,2023-01-25 00:29:31.985623,True,[-0.3166365  0.5600087],5,boolq,is barq's root beer a pepsi product,Barq's /ˈbɑːrks/ is an American soft drink. Its brand of root beer is notable for having c,False
categorical,bert-base-uncased,boolq,quant_base,2023-01-25 00:29:35.509194,True,[-1.5414696  1.6238937],6,boolq,can an odd number be divided by an even number,"In mathematics, parity is the property of an integer's inclusion in one of two categories:",True
categorical,bert-base-uncased,boolq,quant_base,2023-01-25 00:29:39.960297,True,[-1.6659683  1.6913989],7,boolq,is there a word with q without u,"Of the 71 words in this list, 67 are nouns, and most would generally be considered loanwor",True
categorical,bert-base-uncased,boolq,quant_base,2023-01-25 00:29:42.802812,True,[-1.4213425  1.6521927],8,boolq,can u drive in canada with us license,Persons driving into Canada must have their vehicle's registration document and proof of i,True
categorical,bert-base-uncased,boolq,quant_base,2023-01-25 00:29:47.483557,True,[-2.7480502  2.8328922],9,boolq,is there a play off for third place in the world cup,The knockout stage of the 2018 FIFA World Cup was the second and final stage of the compet,True
