skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,answer_dataset
categorical,roberta-base,boolq,quant_base,2023-01-25 01:54:32.051542,True,[-0.53721374  0.6092019 ],0,boolq,does ethanol take more energy make that produces,"All biomass goes through at least some of these steps: it needs to be grown, collected, dr",False
categorical,roberta-base,boolq,quant_base,2023-01-25 01:54:35.365757,True,[-0.41250753  0.41548157],1,boolq,is house tax and property tax are same,"Property tax or 'house tax' is a local tax on buildings, along with appurtenant land. It i",True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:54:38.913371,True,[-2.4356809  2.1917307],2,boolq,is pain experienced in a missing body part or paralyzed area,Phantom pain sensations are described as perceptions that an individual experiences relati,True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:54:42.119742,True,[-2.8224912  2.7412648],3,boolq,is harry potter and the escape from gringotts a roller coaster ride,Harry Potter and the Escape from Gringotts is an indoor steel roller coaster at Universal ,True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:54:45.260715,False,[ 1.4521321 -1.3053675],4,boolq,is there a difference between hydroxyzine hcl and hydroxyzine pam,Hydroxyzine preparations require a doctor's prescription. The drug is available in two for,True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:54:48.191829,False,[ 2.2427113 -2.013415 ],5,boolq,is barq's root beer a pepsi product,Barq's /ˈbɑːrks/ is an American soft drink. Its brand of root beer is notable for having c,False
categorical,roberta-base,boolq,quant_base,2023-01-25 01:54:51.522239,True,[-2.9659498  2.8857331],6,boolq,can an odd number be divided by an even number,"In mathematics, parity is the property of an integer's inclusion in one of two categories:",True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:54:55.723426,True,[-2.5947397  2.4407754],7,boolq,is there a word with q without u,"Of the 71 words in this list, 67 are nouns, and most would generally be considered loanwor",True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:54:57.543618,True,[-0.9477896  1.104866 ],8,boolq,can u drive in canada with us license,Persons driving into Canada must have their vehicle's registration document and proof of i,True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:55:01.378750,True,[-2.3597806  2.4756281],9,boolq,is there a play off for third place in the world cup,The knockout stage of the 2018 FIFA World Cup was the second and final stage of the compet,True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:55:05.414393,True,[-0.28040245  0.47674805],10,boolq,can minors drink with parents in new york,"In response to the National Minimum Drinking Age Act in 1984, which reduced by up to 10% t",True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:55:09.130270,False,[ 1.4336265 -1.2324164],11,boolq,is the show bloodline based on a true story,Bloodline was announced in October 2014 as part of a partnership between Netflix and Sony ,False
categorical,roberta-base,boolq,quant_base,2023-01-25 01:55:12.623977,False,[ 1.5553741 -1.5146074],12,boolq,is it bad to wash your hair with shower gel,"Shower gels for men may contain the ingredient menthol, which gives a cooling and stimulat",True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:55:15.644037,True,[-1.8658783  1.9277581],13,boolq,is the liver part of the excretory system,"The liver detoxifies and breaks down chemicals, poisons and other toxins that enter the bo",True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:55:18.587897,True,[-2.8527408  2.8473277],14,boolq,is fantastic beasts and where to find them a prequel,Fantastic Beasts and Where to Find Them is a 2016 fantasy film directed by David Yates. A ,True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:55:21.376490,True,[-0.6101256  0.5372949],15,boolq,will there be a season 8 of vampire diaries,"The Vampire Diaries, an American supernatural drama, was renewed for an eighth season by T",True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:55:24.593029,False,[ 0.6915964  -0.47486565],16,boolq,was the movie strangers based on a true story,The Strangers is a 2008 American slasher film written and directed by Bryan Bertino. Krist,True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:55:27.505446,True,[-1.9505764  1.8167504],17,boolq,is durham university part of the russell group,"In March 2012 it was announced that four universities -- Durham, Exeter, Queen Mary Univer",True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:55:30.401417,False,[ 0.3839064  -0.41584057],18,boolq,is the tv show the resident over for the season,The Resident is an American medical drama television series aired by Fox Broadcasting Comp,True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:55:33.319622,True,[-2.9340932  2.931683 ],19,boolq,does magnesium citrate have citric acid in it,Magnesium citrate is a magnesium preparation in salt form with citric acid in a 1:1 ratio ,True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:55:36.815421,False,[ 0.18495455 -0.07055041],20,boolq,does p o box come before street address,"Street Addressing will have the same street address of the post office, plus a ``unit numb",False
categorical,roberta-base,boolq,quant_base,2023-01-25 01:55:40.184919,True,[-1.616914   1.7285732],21,boolq,does a spark plug keep an engine running,"A spark plug (sometimes, in British English, a sparking plug, and, colloquially, a plug) i",True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:55:44.117526,True,[-0.97004783  0.9862018 ],22,boolq,is a cape and a cloak the same,"Ladies may wear a long (over the shoulders or to ankles) cloak usually called a cape, or a",True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:55:47.564033,True,[-1.7289364  1.7837383],23,boolq,does it cost money to renounce us citizenship,"Renunciation of U.S. citizenship was free until July 2010, at which time a fee of $450 was",True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:55:51.947203,True,[-0.3919412  0.3415032],24,boolq,is a fire 7 the same as a kindle,"The Fire Tablet, formerly called the Kindle Fire, is a tablet computer developed by Amazon",True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:55:56.144110,True,[-2.3892076  2.4144838],25,boolq,can you drink alcohol with your parents in wisconsin,"The drinking age in Wisconsin is 21. Those under the legal drinking age may be served, pos",True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:55:59.829291,True,[0.03977089 0.06196424],26,boolq,do penguins have feathers arising from the epidermis,Contour feathers are not uniformly distributed on the skin of the bird except in some grou,True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:56:03.199424,False,[ 1.1788698 -1.1210978],27,boolq,do you need to break in a car,A new engine is broken in by following specific driving guidelines during the first few ho,False
categorical,roberta-base,boolq,quant_base,2023-01-25 01:56:06.470690,True,[-2.5492458  2.6675017],28,boolq,is the enchanted forest in oregon still open,"The Enchanted Forest is an amusement park located in Turner in the U.S. state of Oregon, n",True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:56:09.927075,True,[0.01476698 0.0764323 ],29,boolq,is there a golf course at the indy 500,"On the grounds of the speedway is the Indianapolis Motor Speedway Museum, which opened in ",True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:56:13.473435,True,[-3.095125   3.0361192],30,boolq,does deadpool have a kid in the comics,"As part of Marvel's Marvel NOW! initiative a new Deadpool ongoing series was launched, wri",True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:56:16.492179,True,[-2.4834154  2.572204 ],31,boolq,do they still make benson & hedges cigarettes,Benson & Hedges is a British brand of cigarettes owned by either Philip Morris Internation,True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:56:19.264045,True,[-0.2934677  0.3425016],32,boolq,is federal income tax the same as social security,The Commonwealth government has its own tax laws and Puerto Ricans are also required to pa,False
categorical,roberta-base,boolq,quant_base,2023-01-25 01:56:22.270298,False,[ 1.8033093 -1.7973208],33,boolq,is an engine speed sensor the same as a crankshaft sensor,The crank sensor can be used in combination with a similar camshaft position sensor to mon,True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:56:25.304316,True,[-3.0617294  3.0113559],34,boolq,is indiana jones temple of doom a prequel,Indiana Jones and the Temple of Doom is a 1984 American action-adventure film directed by ,True
categorical,roberta-base,boolq,quant_base,2023-01-25 01:56:28.408666,True,[-3.2811565  3.145371 ],35,boolq,is there any next part of avengers infinity war,"The untitled Avengers film, colloquially referred to as Avengers 4, is an upcoming America",True
