skill,reader,adapter,modelname,timestamp,answer,data_id,dataset,question,context,answer_dataset
span-extraction,bert-base-uncased,quoref,base,2023-01-25 05:16:04.314830,frankie,ec2a96d8f3e8e6cb2fbfd921e0046ac69093c216,quoref,What is the first name of the person who purchases a revolver?,"Frankie Bono, a mentally disturbed hitman from Cleveland, comes back to his hometown in Ne","{'answer_start': [208], 'text': ['Frankie']}"
span-extraction,bert-base-uncased,quoref,base,2023-01-25 05:16:05.259337,frankie,bfc3b34d6b7e73c0bd82a009db12e9ce196b53e6,quoref,What is the first name of the person who has until New Year's Eve to perform a hit?,"Frankie Bono, a mentally disturbed hitman from Cleveland, comes back to his hometown in Ne","{'answer_start': [1633], 'text': ['Frankie']}"
span-extraction,bert-base-uncased,quoref,base,2023-01-25 05:16:06.207656,frankie,e251deed14a9d40858b839657e55a109a96e9734,quoref,What is the first name of the person whose contract will be reneged if they are spotted before the hit is performed?,"Frankie Bono, a mentally disturbed hitman from Cleveland, comes back to his hometown in Ne","{'answer_start': [208], 'text': ['Frankie']}"
span-extraction,bert-base-uncased,quoref,base,2023-01-25 05:16:07.129986,frankie,4f569ff366bff7ad2718463bfa50964fb255296f,quoref,What is the first name of the person who follows their target to select the best possible location?,"Frankie Bono, a mentally disturbed hitman from Cleveland, comes back to his hometown in Ne","{'answer_start': [208], 'text': ['Frankie']}"
span-extraction,bert-base-uncased,quoref,base,2023-01-25 05:16:08.096762,"frankie bono, a mentally disturbed hitman from cleveland, comes back to his hometown in new york city during christmas week to kill a middle - management mobster, troiano. the assassination will be risky, with frankie",95fffe5751942f5f54329f70614851e166be85ca,quoref,What is the first name of the person who waits until their target isn't accompanied by their bodyguards?,"Frankie Bono, a mentally disturbed hitman from Cleveland, comes back to his hometown in Ne","{'answer_start': [208], 'text': ['Frankie']}"
span-extraction,bert-base-uncased,quoref,base,2023-01-25 05:16:09.028724,frankie bono,37af27f9461c180d9bc22dcadd51f35bfd286624,quoref,What is the full name of the person who purchases a revolver from an obese gun runner?,"Frankie Bono, a mentally disturbed hitman from Cleveland, comes back to his hometown in Ne","{'answer_start': [0], 'text': ['Frankie Bono']}"
span-extraction,bert-base-uncased,quoref,base,2023-01-25 05:16:09.956366,frankie bono,15f5993739c6a0cad505bcb060f6b6b2c97a6f31,quoref,What is the full name of the person who is plagued by memories of past trauma?,"Frankie Bono, a mentally disturbed hitman from Cleveland, comes back to his hometown in Ne","{'answer_start': [0], 'text': ['Frankie Bono']}"
span-extraction,bert-base-uncased,quoref,base,2023-01-25 05:16:10.888751,frankie bono,e4a7c8512e0a11b86f184e48741999e01a1e3ad4,quoref,What is the full name of the person who is calmly asked to leave?,"Frankie Bono, a mentally disturbed hitman from Cleveland, comes back to his hometown in Ne","{'answer_start': [0], 'text': ['Frankie Bono']}"
span-extraction,bert-base-uncased,quoref,base,2023-01-25 05:16:11.822887,frankie bono,7d7c5ef0ab24c8bf231ad8cb1ef43b6a07beff26,quoref,What is the full name of the person who is spotted by an obese gun runner while trailing someone?,"Frankie Bono, a mentally disturbed hitman from Cleveland, comes back to his hometown in Ne","{'answer_start': [0], 'text': ['Frankie Bono']}"
span-extraction,bert-base-uncased,quoref,base,2023-01-25 05:16:12.720345,frankie bono,a617b374f842f5245a1b53b6e013673ec86f2d62,quoref,What is the full name of the person who is strangled to death?,"Frankie Bono, a mentally disturbed hitman from Cleveland, comes back to his hometown in Ne","{'answer_start': [517], 'text': ['Big Ralph']}"
span-extraction,bert-base-uncased,quoref,base,2023-01-25 05:16:13.587220,frankie,44d5a35ca2092a5d68c315805c933ad0f0eff155,quoref,What is the first name of the person who wants to quit their job?,"Frankie Bono, a mentally disturbed hitman from Cleveland, comes back to his hometown in Ne","{'answer_start': [626], 'text': ['Frankie']}"
span-extraction,bert-base-uncased,quoref,base,2023-01-25 05:16:14.354596,punks,77996aac25ea9df345780313f588389543559b01,quoref,"What two cliques does Trish's son claim not to be a part of, despite his resemblance to them?","Set 19 years after the events of the first film, the movie deals with unresolved conflict ","{'answer_start': [666, 887], 'text': ['Victorian Goth', 'Straight Edge']}"
span-extraction,bert-base-uncased,quoref,base,2023-01-25 05:16:15.027076,penny,536aa89e7bc6ded8ed628a017b47fc371d570ee7,quoref,What is the name of the friend of Heroin Bob's son?,"Set 19 years after the events of the first film, the movie deals with unresolved conflict ","{'answer_start': [1247], 'text': ['Crash']}"
span-extraction,bert-base-uncased,quoref,base,2023-01-25 05:16:15.761525,[CLS],d57f1257669b7f1b1def164e6592199285922018,quoref,What is the full name of the character who was formerly a punk rocker?,"Set 19 years after the events of the first film, the movie deals with unresolved conflict ","{'answer_start': [195], 'text': ['Heroin Bob']}"
span-extraction,bert-base-uncased,quoref,base,2023-01-25 05:16:16.518589,john,59b97388cc599bc3112a693da13f95ae49442fda,quoref,"What is the first name of the person who bequeathed Sandringham, together with another Norfolk estate and a property in Surrey, to the third son of his close friend?","Sandringham is recorded in the Domesday Book as ""sant-Dersingham"" and the land was awarded","{'answer_start': [685], 'text': ['John']}"
span-extraction,bert-base-uncased,quoref,base,2023-01-25 05:16:17.245843,john motteux,c74fbf593955beb57eeb679dfe07337c091f8173,quoref,What is the full name of Emily Lamb's son?,"Sandringham is recorded in the Domesday Book as ""sant-Dersingham"" and the land was awarded","{'answer_start': [959], 'text': ['Charles Spencer Cowper']}"
span-extraction,bert-base-uncased,quoref,base,2023-01-25 05:16:17.992624,john,3de118d6956da0b594e749faf889d68967b843e8,quoref,What is the first name of the third son of Motteux's close friend?,"Sandringham is recorded in the Domesday Book as ""sant-Dersingham"" and the land was awarded","{'answer_start': [959], 'text': ['Charles']}"
span-extraction,bert-base-uncased,quoref,base,2023-01-25 05:16:18.746053,charles,faae134c89ee5a60a4bcbde379f5f528571c0958,quoref,What is the first name of the person whose style of living was extravagant?,"Sandringham is recorded in the Domesday Book as ""sant-Dersingham"" and the land was awarded","{'answer_start': [959], 'text': ['Charles']}"
