skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,answer_dataset
categorical,bert-base-uncased,boolq,quant_onnx_opt,2023-01-25 00:29:08.071166,False,[ 0.9633585 -0.6806862],0,boolq,does ethanol take more energy make that produces,"All biomass goes through at least some of these steps: it needs to be grown, collected, dr",False
categorical,bert-base-uncased,boolq,quant_onnx_opt,2023-01-25 00:29:09.169371,True,[0.11953807 0.18089743],1,boolq,is house tax and property tax are same,"Property tax or 'house tax' is a local tax on buildings, along with appurtenant land. It i",True
categorical,bert-base-uncased,boolq,quant_onnx_opt,2023-01-25 00:29:09.553317,True,[-0.03293786 -0.00041977],2,boolq,is pain experienced in a missing body part or paralyzed area,Phantom pain sensations are described as perceptions that an individual experiences relati,True
categorical,bert-base-uncased,boolq,quant_onnx_opt,2023-01-25 00:29:10.135914,True,[0.07552637 0.13251488],3,boolq,is harry potter and the escape from gringotts a roller coaster ride,Harry Potter and the Escape from Gringotts is an indoor steel roller coaster at Universal ,True
categorical,bert-base-uncased,boolq,quant_onnx_opt,2023-01-25 00:29:10.670900,False,[ 0.9214445  -0.96274555],4,boolq,is there a difference between hydroxyzine hcl and hydroxyzine pam,Hydroxyzine preparations require a doctor's prescription. The drug is available in two for,True
categorical,bert-base-uncased,boolq,quant_onnx_opt,2023-01-25 00:29:11.042372,False,[ 0.4997059  -0.41056088],5,boolq,is barq's root beer a pepsi product,Barq's /ˈbɑːrks/ is an American soft drink. Its brand of root beer is notable for having c,False
categorical,bert-base-uncased,boolq,quant_onnx_opt,2023-01-25 00:29:11.653241,False,[ 0.28136647 -0.13911925],6,boolq,can an odd number be divided by an even number,"In mathematics, parity is the property of an integer's inclusion in one of two categories:",True
categorical,bert-base-uncased,boolq,quant_onnx_opt,2023-01-25 00:29:12.263111,False,[ 0.76941633 -0.65648586],7,boolq,is there a word with q without u,"Of the 71 words in this list, 67 are nouns, and most would generally be considered loanwor",True
categorical,bert-base-uncased,boolq,quant_onnx_opt,2023-01-25 00:29:12.400061,True,[0.05865256 0.0857679 ],8,boolq,can u drive in canada with us license,Persons driving into Canada must have their vehicle's registration document and proof of i,True
categorical,bert-base-uncased,boolq,quant_onnx_opt,2023-01-25 00:29:12.875513,False,[ 0.22382289 -0.02946621],9,boolq,is there a play off for third place in the world cup,The knockout stage of the 2018 FIFA World Cup was the second and final stage of the compet,True
