skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,choices,answer_dataset
multiple-choice,bert-base-uncased,quail,quant_base,2023-01-26 00:46:01.455460,about 10 minutes,"tensor([[ 1.7799, -1.0615, -1.5260, -0.3280]])",f141_0,quail,How long was Candy trying to seduce Larry?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['about 10 minutes', 'about 2 hours', 'not enough information', 'All day']",about 10 minutes
multiple-choice,bert-base-uncased,quail,quant_base,2023-01-26 00:46:04.081193,Larry likes sex.,"tensor([[-0.3992, -4.1545,  6.6306,  6.1916]])",f141_1,quail,What is probably true about Larry.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Larry does not have enough money for a prostitute.', 'not enough information', 'Larry likes sex.', 'Larry likes paying for sex.']",Larry likes sex.
multiple-choice,bert-base-uncased,quail,quant_base,2023-01-26 00:46:06.664074,That Candy had all her teeth,"tensor([[-0.8426, -2.4864, -4.3147,  7.4038]])",f141_2,quail,What was Larry impressed with?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['How windy it was outside', 'His own car', 'not enough information', 'That Candy had all her teeth']",That Candy had all her teeth
multiple-choice,bert-base-uncased,quail,quant_base,2023-01-26 00:46:09.304405,to protect her calves,"tensor([[ 3.6057,  0.5709, -2.2549, -6.3102]])",f141_3,quail,Why did Candy press her legs together.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['to protect her calves', 'To warm her butt.', 'Because she was cold', 'not enough information']",Because she was cold
multiple-choice,bert-base-uncased,quail,quant_base,2023-01-26 00:46:12.117428,Larry,"tensor([[-4.3549, -4.8990,  5.2129,  4.4375]])",f141_4,quail,Who thought prostitutes were revolting?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['The convenience store clerk', 'not enough information', 'Larry', 'Candy']",Larry
multiple-choice,bert-base-uncased,quail,quant_base,2023-01-26 00:46:14.948969,not enough information,"tensor([[-4.9864, -1.7705, -8.2006, -7.7216]])",f141_5,quail,What kind of job does Larry have?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['He works at the convenience store', 'not enough information', 'He is a banker', 'He is a doctor']",not enough information
multiple-choice,bert-base-uncased,quail,quant_base,2023-01-26 00:46:17.656368,He had a nice car,"tensor([[ 1.0831, -3.3982, -0.3891, -0.4496]])",f141_6,quail,Why did Candy assume Larry was looking for a prostitute?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['He had a nice car', 'not enough information', 'He parked in the back of the store', 'He asked for one']",He parked in the back of the store
multiple-choice,bert-base-uncased,quail,quant_base,2023-01-26 00:46:20.574399,He makes a lot of money,"tensor([[-2.0728,  1.4358, -4.4288,  3.7931]])",f141_7,quail,What is probably true about Larry?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['He likes snacks', 'He hates the cold', 'not enough information', 'He makes a lot of money']",He makes a lot of money
multiple-choice,bert-base-uncased,quail,quant_base,2023-01-26 00:46:23.457676,Gets it on with the prostitute.,"tensor([[-0.8363, -5.6403, -0.8959, -0.1237]])",f141_8,quail,After the end of the story Larry does what:,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Grins and winks.', 'not enough information', 'Is impressed with the prostitute.', 'Gets it on with the prostitute.']",Gets it on with the prostitute.
multiple-choice,bert-base-uncased,quail,quant_base,2023-01-26 00:46:26.541151,After the bearded man drove his silver BMW into the convenience store parking lot.,"tensor([[ 8.1017,  0.9491, -6.2208,  5.3018]])",f141_9,quail,When did Candy pull around to the side of the building.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['After the bearded man drove his silver BMW into the convenience store parking lot.', 'After watching the bearded man.', 'not enough information', 'After watching the bearded man drive his silver BMW.']",After the bearded man drove his silver BMW into the convenience store parking lot.
