skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,answer_dataset
categorical,roberta-base,boolq,base,2023-01-25 01:54:32.185148,True,[-0.543869    0.63629997],0,boolq,does ethanol take more energy make that produces,"All biomass goes through at least some of these steps: it needs to be grown, collected, dr",False
categorical,roberta-base,boolq,base,2023-01-25 01:54:35.795077,True,[-0.48577815  0.5016746 ],1,boolq,is house tax and property tax are same,"Property tax or 'house tax' is a local tax on buildings, along with appurtenant land. It i",True
categorical,roberta-base,boolq,base,2023-01-25 01:54:39.440824,True,[-2.4149384  2.190191 ],2,boolq,is pain experienced in a missing body part or paralyzed area,Phantom pain sensations are described as perceptions that an individual experiences relati,True
categorical,roberta-base,boolq,base,2023-01-25 01:54:42.848355,True,[-2.7836933  2.700201 ],3,boolq,is harry potter and the escape from gringotts a roller coaster ride,Harry Potter and the Escape from Gringotts is an indoor steel roller coaster at Universal ,True
categorical,roberta-base,boolq,base,2023-01-25 01:54:46.188138,False,[ 1.395583  -1.2434217],4,boolq,is there a difference between hydroxyzine hcl and hydroxyzine pam,Hydroxyzine preparations require a doctor's prescription. The drug is available in two for,True
categorical,roberta-base,boolq,base,2023-01-25 01:54:49.334732,False,[ 2.220849  -1.9915558],5,boolq,is barq's root beer a pepsi product,Barq's /ˈbɑːrks/ is an American soft drink. Its brand of root beer is notable for having c,False
categorical,roberta-base,boolq,base,2023-01-25 01:54:53.670458,True,[-2.9007878  2.8082478],6,boolq,can an odd number be divided by an even number,"In mathematics, parity is the property of an integer's inclusion in one of two categories:",True
categorical,roberta-base,boolq,base,2023-01-25 01:54:57.227559,True,[-2.5076349  2.347366 ],7,boolq,is there a word with q without u,"Of the 71 words in this list, 67 are nouns, and most would generally be considered loanwor",True
categorical,roberta-base,boolq,base,2023-01-25 01:54:59.363382,True,[-1.0282897  1.1844262],8,boolq,can u drive in canada with us license,Persons driving into Canada must have their vehicle's registration document and proof of i,True
categorical,roberta-base,boolq,base,2023-01-25 01:55:03.513216,True,[-2.4881084  2.5843983],9,boolq,is there a play off for third place in the world cup,The knockout stage of the 2018 FIFA World Cup was the second and final stage of the compet,True
categorical,roberta-base,boolq,base,2023-01-25 01:55:07.637103,True,[-0.4178583   0.61913925],10,boolq,can minors drink with parents in new york,"In response to the National Minimum Drinking Age Act in 1984, which reduced by up to 10% t",True
categorical,roberta-base,boolq,base,2023-01-25 01:55:11.666036,False,[ 1.5318925 -1.328592 ],11,boolq,is the show bloodline based on a true story,Bloodline was announced in October 2014 as part of a partnership between Netflix and Sony ,False
categorical,roberta-base,boolq,base,2023-01-25 01:55:14.850359,False,[ 1.6114637 -1.5445377],12,boolq,is it bad to wash your hair with shower gel,"Shower gels for men may contain the ingredient menthol, which gives a cooling and stimulat",True
categorical,roberta-base,boolq,base,2023-01-25 01:55:17.963544,True,[-1.927759   1.9816602],13,boolq,is the liver part of the excretory system,"The liver detoxifies and breaks down chemicals, poisons and other toxins that enter the bo",True
categorical,roberta-base,boolq,base,2023-01-25 01:55:21.058408,True,[-2.917201   2.8904665],14,boolq,is fantastic beasts and where to find them a prequel,Fantastic Beasts and Where to Find Them is a 2016 fantasy film directed by David Yates. A ,True
categorical,roberta-base,boolq,base,2023-01-25 01:55:24.333958,True,[-0.5394299  0.4485188],15,boolq,will there be a season 8 of vampire diaries,"The Vampire Diaries, an American supernatural drama, was renewed for an eighth season by T",True
categorical,roberta-base,boolq,base,2023-01-25 01:55:27.552158,False,[ 0.56284493 -0.36393696],16,boolq,was the movie strangers based on a true story,The Strangers is a 2008 American slasher film written and directed by Bryan Bertino. Krist,True
categorical,roberta-base,boolq,base,2023-01-25 01:55:30.549509,True,[-1.8153533  1.6875435],17,boolq,is durham university part of the russell group,"In March 2012 it was announced that four universities -- Durham, Exeter, Queen Mary Univer",True
categorical,roberta-base,boolq,base,2023-01-25 01:55:33.919862,False,[ 0.22928761 -0.24571879],18,boolq,is the tv show the resident over for the season,The Resident is an American medical drama television series aired by Fox Broadcasting Comp,True
categorical,roberta-base,boolq,base,2023-01-25 01:55:37.308854,True,[-2.9593682  2.970659 ],19,boolq,does magnesium citrate have citric acid in it,Magnesium citrate is a magnesium preparation in salt form with citric acid in a 1:1 ratio ,True
categorical,roberta-base,boolq,base,2023-01-25 01:55:41.031733,False,[ 0.20729148 -0.07834341],20,boolq,does p o box come before street address,"Street Addressing will have the same street address of the post office, plus a ``unit numb",False
categorical,roberta-base,boolq,base,2023-01-25 01:55:45.241168,True,[-1.4870299  1.6080525],21,boolq,does a spark plug keep an engine running,"A spark plug (sometimes, in British English, a sparking plug, and, colloquially, a plug) i",True
categorical,roberta-base,boolq,base,2023-01-25 01:55:49.244522,True,[-1.0635477  1.0971338],22,boolq,is a cape and a cloak the same,"Ladies may wear a long (over the shoulders or to ankles) cloak usually called a cape, or a",True
categorical,roberta-base,boolq,base,2023-01-25 01:55:53.762455,True,[-1.927329   1.9758571],23,boolq,does it cost money to renounce us citizenship,"Renunciation of U.S. citizenship was free until July 2010, at which time a fee of $450 was",True
categorical,roberta-base,boolq,base,2023-01-25 01:55:58.014259,True,[-0.08889153  0.06045379],24,boolq,is a fire 7 the same as a kindle,"The Fire Tablet, formerly called the Kindle Fire, is a tablet computer developed by Amazon",True
categorical,roberta-base,boolq,base,2023-01-25 01:56:01.648383,True,[-2.403418   2.4276245],25,boolq,can you drink alcohol with your parents in wisconsin,"The drinking age in Wisconsin is 21. Those under the legal drinking age may be served, pos",True
categorical,roberta-base,boolq,base,2023-01-25 01:56:05.063219,True,[-0.20279808  0.27934167],26,boolq,do penguins have feathers arising from the epidermis,Contour feathers are not uniformly distributed on the skin of the bird except in some grou,True
categorical,roberta-base,boolq,base,2023-01-25 01:56:08.853420,False,[ 1.3407291 -1.2406148],27,boolq,do you need to break in a car,A new engine is broken in by following specific driving guidelines during the first few ho,False
categorical,roberta-base,boolq,base,2023-01-25 01:56:12.536397,True,[-2.611455  2.749869],28,boolq,is the enchanted forest in oregon still open,"The Enchanted Forest is an amusement park located in Turner in the U.S. state of Oregon, n",True
categorical,roberta-base,boolq,base,2023-01-25 01:56:15.909237,False,[0.07737365 0.03136019],29,boolq,is there a golf course at the indy 500,"On the grounds of the speedway is the Indianapolis Motor Speedway Museum, which opened in ",True
categorical,roberta-base,boolq,base,2023-01-25 01:56:18.882423,True,[-3.0542755  2.9869196],30,boolq,does deadpool have a kid in the comics,"As part of Marvel's Marvel NOW! initiative a new Deadpool ongoing series was launched, wri",True
categorical,roberta-base,boolq,base,2023-01-25 01:56:22.004955,True,[-2.4900522  2.5658736],31,boolq,do they still make benson & hedges cigarettes,Benson & Hedges is a British brand of cigarettes owned by either Philip Morris Internation,True
categorical,roberta-base,boolq,base,2023-01-25 01:56:25.207122,True,[-0.24615249  0.32953236],32,boolq,is federal income tax the same as social security,The Commonwealth government has its own tax laws and Puerto Ricans are also required to pa,False
categorical,roberta-base,boolq,base,2023-01-25 01:56:28.494051,False,[ 1.7759093 -1.7512677],33,boolq,is an engine speed sensor the same as a crankshaft sensor,The crank sensor can be used in combination with a similar camshaft position sensor to mon,True
categorical,roberta-base,boolq,base,2023-01-25 01:56:32.239561,True,[-3.053459   2.9875863],34,boolq,is indiana jones temple of doom a prequel,Indiana Jones and the Temple of Doom is a 1984 American action-adventure film directed by ,True
categorical,roberta-base,boolq,base,2023-01-25 01:56:36.066900,True,[-3.2228837  3.0840356],35,boolq,is there any next part of avengers infinity war,"The untitled Avengers film, colloquially referred to as Avengers 4, is an upcoming America",True
categorical,roberta-base,boolq,base,2023-01-25 01:56:39.708356,False,[ 1.0401741  -0.95621824],36,boolq,is the toyota highlander on a truck frame,Announced in April 2000 at the New York Auto Show and arriving in late 2000 in Japan and J,False
categorical,roberta-base,boolq,base,2023-01-25 01:56:43.888443,True,[-1.049554   1.0322636],37,boolq,is it legal to do a cover of a song,"Since the Copyright Act of 1909, United States musicians have had the right to record a ve",True
categorical,roberta-base,boolq,base,2023-01-25 01:56:47.568786,False,[ 2.1380126 -2.057494 ],38,boolq,can carbon form polar covalent bonds with hydrogen,The carbon-hydrogen bond (C--H bond) is a bond between carbon and hydrogen atoms that can ,False
categorical,roberta-base,boolq,base,2023-01-25 01:56:51.032476,False,[ 4.940726  -4.5909877],39,boolq,is there a sequel to the movie the golden compass,"In 2011, Philip Pullman remarked at the British Humanist Association annual conference tha",False
categorical,roberta-base,boolq,base,2023-01-25 01:56:54.901235,True,[-2.5567071  2.5697997],40,boolq,is columbus day a national holiday in the united states,Columbus Day is a national holiday in many countries of the Americas and elsewhere which o,True
categorical,roberta-base,boolq,base,2023-01-25 01:56:58.996018,False,[ 2.5022595 -2.357803 ],41,boolq,are new balance and nike the same company,"New Balance maintains a manufacturing presence in the United States, as well as in the Uni",False
categorical,roberta-base,boolq,base,2023-01-25 01:57:02.944634,True,[-3.028951   2.8842323],42,boolq,is there an interstate that goes coast to coast,U.S. Highway 20 (US 20) is an east--west United States highway that stretches from the Pac,True
categorical,roberta-base,boolq,base,2023-01-25 01:57:06.353648,False,[ 3.1410394 -2.9340868],43,boolq,is pureed tomatoes the same as tomato sauce,Tomato purée is a thick liquid made by cooking and straining tomatoes. The difference betw,False
categorical,roberta-base,boolq,base,2023-01-25 01:57:10.122702,True,[-3.4000337  3.2726839],44,boolq,can there be a word without a vowel,English orthography typically represents vowel sounds with the five conventional vowel let,True
categorical,roberta-base,boolq,base,2023-01-25 01:57:13.688756,False,[ 0.8678343  -0.56555486],45,boolq,does only the winner get money on tipping point,"Tipping Point is a British television game show which began airing on ITV on 2 July 2012, ",True
categorical,roberta-base,boolq,base,2023-01-25 01:57:17.476387,True,[-3.4235406  3.3050687],46,boolq,is there such a thing as a turkey vulture,"The turkey vulture (Cathartes aura), also known in some North American regions as the turk",True
categorical,roberta-base,boolq,base,2023-01-25 01:57:21.251183,True,[-2.8475761  2.6301122],47,boolq,has anyone hit a hole in one on a par 5,"As of October 2008, a condor (four under par) hole-in-one on a par 5 hole had been recorde",True
categorical,roberta-base,boolq,base,2023-01-25 01:57:25.219776,True,[-2.8343     2.8854268],48,boolq,do the jets and giants share a stadium,"MetLife Stadium is an American sports stadium located in East Rutherford, New Jersey, 8 mi",True
categorical,roberta-base,boolq,base,2023-01-25 01:57:29.015197,True,[0.01028856 0.0812561 ],49,boolq,is the us womens soccer team in the world cup,"After the defeat in the 2016 Olympics, the USWNT underwent a year of experimentation which",True
categorical,roberta-base,boolq,base,2023-01-25 01:57:32.689890,True,[-0.29527968  0.44553667],50,boolq,can an african team win the world cup,"Association football is the most popular sport in nearly every African country, and 13 mem",True
categorical,roberta-base,boolq,base,2023-01-25 01:57:36.484893,True,[-3.004326   2.9768112],51,boolq,can a hammer be used as a weapon,Many martial arts employ the use of common objects as weapons; Filipino martial arts such ,True
categorical,roberta-base,boolq,base,2023-01-25 01:57:40.799362,True,[-2.0861726  2.173949 ],52,boolq,do they still have fox hunts in england,"Fox hunting with hounds, as a formalised activity, originated in England in the sixteenth ",False
categorical,roberta-base,boolq,base,2023-01-25 01:57:44.353634,True,[-2.2044334  2.217088 ],53,boolq,can you wear short sleeve shirt with asu jacket,The ASU includes a midnight blue coat and low waist trousers for male soldiers; and a midn,True
categorical,roberta-base,boolq,base,2023-01-25 01:57:47.345158,False,[ 1.5079011 -1.2998551],54,boolq,has wisconsin ever been in the little league world series,This is the list of U.S. states that have participated in the Little League World Series. ,False
categorical,roberta-base,boolq,base,2023-01-25 01:57:51.477085,True,[-1.6711339  1.6543164],55,boolq,does damon and elena get together in season 3,"In the third season, Damon helps Elena in bringing his brother, Stefan, back to Mystic Fal",False
categorical,roberta-base,boolq,base,2023-01-25 01:57:54.834410,True,[-3.1618023  3.089782 ],56,boolq,is there a player in the nfl missing a hand,"Shaquem Alphonso Griffin /ʃəˈkiːm/ (born July 20, 1995) is an American football linebacker",True
categorical,roberta-base,boolq,base,2023-01-25 01:57:57.790069,True,[-1.1714764  1.24169  ],57,boolq,is the other boleyn girl part of a series,"The novel was followed by a sequel called The Queen's Fool, set during the reign of Henry'",True
categorical,roberta-base,boolq,base,2023-01-25 01:58:00.729370,False,[ 2.088258 -2.030588],58,boolq,is there a group called the five heartbeats,"To promote the film prior to its release, Townsend, along with the other actors who portra",False
categorical,roberta-base,boolq,base,2023-01-25 01:58:03.533565,True,[-2.4210355  2.3421311],59,boolq,is mount everest a part of the himalayas,"The Himalayan range has many of the Earth's highest peaks, including the highest, Mount Ev",True
