skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,choices,answer_dataset
multiple-choice,bert-base-uncased,quail,quant_onnx_opt,2023-01-26 00:46:03.517555,about 2 hours,[[-0.7356993  -0.6591306  -0.81842434 -0.66723204]],f141_0,quail,How long was Candy trying to seduce Larry?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['about 10 minutes', 'about 2 hours', 'not enough information', 'All day']",about 10 minutes
multiple-choice,bert-base-uncased,quail,quant_onnx_opt,2023-01-26 00:46:08.197706,Larry likes paying for sex.,[[-1.5676221 -1.2197192 -1.2861738 -1.1899432]],f141_1,quail,What is probably true about Larry.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Larry does not have enough money for a prostitute.', 'not enough information', 'Larry likes sex.', 'Larry likes paying for sex.']",Larry likes sex.
multiple-choice,bert-base-uncased,quail,quant_onnx_opt,2023-01-26 00:46:13.437706,That Candy had all her teeth,[[-0.9935355  -0.94779754 -0.9579785  -0.867072  ]],f141_2,quail,What was Larry impressed with?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['How windy it was outside', 'His own car', 'not enough information', 'That Candy had all her teeth']",That Candy had all her teeth
multiple-choice,bert-base-uncased,quail,quant_onnx_opt,2023-01-26 00:46:18.443361,Because she was cold,[[-0.6441705 -0.9185964 -0.598685  -0.6777191]],f141_3,quail,Why did Candy press her legs together.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['to protect her calves', 'To warm her butt.', 'Because she was cold', 'not enough information']",Because she was cold
multiple-choice,bert-base-uncased,quail,quant_onnx_opt,2023-01-26 00:46:23.509804,not enough information,[[-0.95701396 -0.94058144 -1.1013696  -1.1004965 ]],f141_4,quail,Who thought prostitutes were revolting?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['The convenience store clerk', 'not enough information', 'Larry', 'Candy']",Larry
multiple-choice,bert-base-uncased,quail,quant_onnx_opt,2023-01-26 00:46:29.065993,He works at the convenience store,[[-1.0599884 -1.3381196 -1.272991  -1.3540629]],f141_5,quail,What kind of job does Larry have?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['He works at the convenience store', 'not enough information', 'He is a banker', 'He is a doctor']",not enough information
multiple-choice,bert-base-uncased,quail,quant_onnx_opt,2023-01-26 00:46:35.053432,He parked in the back of the store,[[-0.36162338 -0.44307432 -0.34916332 -0.4485238 ]],f141_6,quail,Why did Candy assume Larry was looking for a prostitute?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['He had a nice car', 'not enough information', 'He parked in the back of the store', 'He asked for one']",He parked in the back of the store
multiple-choice,bert-base-uncased,quail,quant_onnx_opt,2023-01-26 00:46:40.981686,He makes a lot of money,[[-1.4250312 -1.1974045 -1.2687798 -1.1289788]],f141_7,quail,What is probably true about Larry?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['He likes snacks', 'He hates the cold', 'not enough information', 'He makes a lot of money']",He makes a lot of money
multiple-choice,bert-base-uncased,quail,quant_onnx_opt,2023-01-26 00:46:47.040192,Grins and winks.,[[-1.4813082 -1.835398  -1.7726578 -1.6308419]],f141_8,quail,After the end of the story Larry does what:,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Grins and winks.', 'not enough information', 'Is impressed with the prostitute.', 'Gets it on with the prostitute.']",Gets it on with the prostitute.
multiple-choice,bert-base-uncased,quail,quant_onnx_opt,2023-01-26 00:46:53.223139,After watching the bearded man drive his silver BMW.,[[-0.55364645 -0.43584284 -0.6250135  -0.38052973]],f141_9,quail,When did Candy pull around to the side of the building.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['After the bearded man drove his silver BMW into the convenience store parking lot.', 'After watching the bearded man.', 'not enough information', 'After watching the bearded man drive his silver BMW.']",After the bearded man drove his silver BMW into the convenience store parking lot.
multiple-choice,bert-base-uncased,quail,quant_onnx_opt,2023-01-26 00:46:59.082777,that her long legs were very nice.,[[-1.297877  -1.3871318 -1.4396557 -1.6232007]],f141_10,quail,Larry believes that,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['that her long legs were very nice.', 'not enough information', 'her blond hair made her pretty.', 'candy looks young']",candy looks young
multiple-choice,bert-base-uncased,quail,quant_onnx_opt,2023-01-26 00:47:05.164189,Candy is homeless,[[-1.1628869 -1.7038246 -1.5496922 -1.4238952]],f141_11,quail,Larry believes that:,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Candy is homeless', 'not enough information', 'Candy is a clean hooker', 'Candy is too old']",Candy is a clean hooker
multiple-choice,bert-base-uncased,quail,quant_onnx_opt,2023-01-26 00:47:11.396483,On a Craigslist,[[-1.0761828 -0.9916191 -1.0345715 -1.2382103]],f141_12,quail,Where did Larry buy his car?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Online', 'On a Craigslist', 'not enough information', 'From a friend.']",not enough information
multiple-choice,bert-base-uncased,quail,quant_onnx_opt,2023-01-26 00:47:18.010829,Bearded man,[[-1.182445  -1.1176527 -1.2059424 -1.0057002]],f141_13,quail,Who shivered,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['not enough information', 'Candy', 'Larry Luzor', 'Bearded man']",Candy
multiple-choice,bert-base-uncased,quail,quant_onnx_opt,2023-01-26 00:47:24.806007,A few minutes,[[-0.8069247  -0.69979596 -0.9107574  -0.26792774]],f141_14,quail,How long was Larry probably talking to Candy?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['A whole day', 'An hour', 'not enough information', 'A few minutes']",A few minutes
multiple-choice,bert-base-uncased,quail,quant_onnx_opt,2023-01-26 00:47:31.848915,"""Uh,Thanks.""",[[-0.5924587  -0.44872394 -0.69644725 -0.8286921 ]],f141_15,quail,What did candy say when Larry stepped out of the car.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['""Nice car, Honey.""', '""Uh,Thanks.""', '""I\'m Candy. You got a sweet tooth tonight?""', 'not enough information']","""Nice car, Honey."""
multiple-choice,bert-base-uncased,quail,quant_onnx_opt,2023-01-26 00:47:38.140826,sleeps with Candy,[[-1.2299126 -1.4051461 -1.2166054 -1.1092004]],f141_16,quail,"After the end of the story, Larry probably:",Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"[""let's Candy check out his car"", 'buys Candy a soda', 'not enough information', 'sleeps with Candy']",sleeps with Candy
