skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,choices,answer_dataset
multiple-choice,bert-base-uncased,quail,base,2023-01-26 00:46:01.454688,about 10 minutes,"tensor([[ 1.8846, -0.9847, -1.4295, -0.2429]])",f141_0,quail,How long was Candy trying to seduce Larry?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['about 10 minutes', 'about 2 hours', 'not enough information', 'All day']",about 10 minutes
multiple-choice,bert-base-uncased,quail,base,2023-01-26 00:46:04.074184,Larry likes sex.,"tensor([[-0.3730, -4.0731,  6.6038,  6.2313]])",f141_1,quail,What is probably true about Larry.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Larry does not have enough money for a prostitute.', 'not enough information', 'Larry likes sex.', 'Larry likes paying for sex.']",Larry likes sex.
multiple-choice,bert-base-uncased,quail,base,2023-01-26 00:46:06.656629,That Candy had all her teeth,"tensor([[-0.9956, -2.3218, -4.4198,  7.4904]])",f141_2,quail,What was Larry impressed with?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['How windy it was outside', 'His own car', 'not enough information', 'That Candy had all her teeth']",That Candy had all her teeth
multiple-choice,bert-base-uncased,quail,base,2023-01-26 00:46:09.293616,to protect her calves,"tensor([[ 3.6332,  0.6028, -2.3016, -6.2114]])",f141_3,quail,Why did Candy press her legs together.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['to protect her calves', 'To warm her butt.', 'Because she was cold', 'not enough information']",Because she was cold
multiple-choice,bert-base-uncased,quail,base,2023-01-26 00:46:12.121630,Larry,"tensor([[-4.3278, -5.0280,  4.9581,  4.4041]])",f141_4,quail,Who thought prostitutes were revolting?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['The convenience store clerk', 'not enough information', 'Larry', 'Candy']",Larry
multiple-choice,bert-base-uncased,quail,base,2023-01-26 00:46:14.951296,not enough information,"tensor([[-4.8452, -1.7355, -8.1416, -7.7719]])",f141_5,quail,What kind of job does Larry have?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['He works at the convenience store', 'not enough information', 'He is a banker', 'He is a doctor']",not enough information
multiple-choice,bert-base-uncased,quail,base,2023-01-26 00:46:17.735631,He had a nice car,"tensor([[ 1.0773, -3.3770, -0.3640, -0.3963]])",f141_6,quail,Why did Candy assume Larry was looking for a prostitute?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['He had a nice car', 'not enough information', 'He parked in the back of the store', 'He asked for one']",He parked in the back of the store
multiple-choice,bert-base-uncased,quail,base,2023-01-26 00:46:20.593547,He makes a lot of money,"tensor([[-1.8711,  1.3281, -4.3995,  3.6259]])",f141_7,quail,What is probably true about Larry?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['He likes snacks', 'He hates the cold', 'not enough information', 'He makes a lot of money']",He makes a lot of money
multiple-choice,bert-base-uncased,quail,base,2023-01-26 00:46:23.460463,Gets it on with the prostitute.,"tensor([[-0.8942, -5.4864, -0.9656, -0.1666]])",f141_8,quail,After the end of the story Larry does what:,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Grins and winks.', 'not enough information', 'Is impressed with the prostitute.', 'Gets it on with the prostitute.']",Gets it on with the prostitute.
multiple-choice,bert-base-uncased,quail,base,2023-01-26 00:46:26.419263,After the bearded man drove his silver BMW into the convenience store parking lot.,"tensor([[ 8.1650,  0.9338, -6.1929,  5.2057]])",f141_9,quail,When did Candy pull around to the side of the building.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['After the bearded man drove his silver BMW into the convenience store parking lot.', 'After watching the bearded man.', 'not enough information', 'After watching the bearded man drive his silver BMW.']",After the bearded man drove his silver BMW into the convenience store parking lot.
