skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,choices,answer_dataset
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:22.525851,decrease,[[-1.1497079 -2.497363 ]],QRQA-10372-1-flip,quartz,"If Jim moves some particles of matter farther apart, what will happen to the rate at which they can pass vibrations on to nearby particles?","When particles of matter are closer together, they can more quickly pass the energy of vib","['decrease', 'increase']",decrease
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:22.752782,decreased,[[-2.2758887 -1.4322541]],QRQA-10371-4-flip,quartz,"Long ago the surface of Venus warmed enough that greenhouse gases escaped from the atmosphere. As a result, the greenhouse effect on that planet",An increase in greenhouse gases leads to greater greenhouse effect.,"['increased', 'decreased']",decreased
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:23.021941,less,[[-0.3926896   0.05386359]],QRQA-10296-1-flip,quartz,If less waters falls on an area of land it will cause _____ plants to grow in that area?,"As more water covered the land, sand and silt were washed in and covered the dead vegetati","['more', 'less']",less
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:23.305964,open,[[3.1936617 3.6193929]],QRQA-10115-3,quartz,Rich applies a solution to the dish that increases the turgor pressure of the guard cells he is studying. The stomata,The increase in turgor pressure of the guard cells results in the opening up of the stomat,"['close', 'open']",open
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:23.526491,older,[[ 0.73783517 -0.24088499]],QRQA-10082-1,quartz,"Simon was digging in his yard and found that the rocks that were deeper in the ground, compared to the surface rocks, were likely","Therefore, deeper rock layers must be older than layers closer to the surface.","['older', 'younger']",older
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:23.692566,decreases,[[-0.8906153 -1.3976934]],QRQA-10002-1,quartz,"If Jim is tuning his shortwave radio and he increases the wavelength, what happens to the frequency?","As wavelength increases, frequency decreases.","['decreases', 'increases']",decreases
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:24.044047,sudden,[[-0.89787173 -0.89927846]],QRQA-10181-2,quartz,Dean is trying to slide a rock down a hill using less input force. The slope of the hill that will be ideal for Dean is one that has a slope that is,"The more gradual the slope of the inclined plane, the less input force is needed and the g","['sudden', 'gradual']",gradual
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:24.283172,decrease,[[-1.6456127 -3.3114045]],QRQA-10371-3-flip,quartz,"Reid is modelling the greenhouse effect in a simulation. If he decreases greenhouse gas levels, the greenhouse gas effect will",An increase in greenhouse gases leads to greater greenhouse effect.,"['decrease', 'increase']",decrease
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:24.585642,Shorter,[[-2.3349948  -0.38540798]],QRQA-10360-5-flip,quartz,John was looking at sunscreen at the retail store. He noticed that sunscreens that had lower SPF would offer protection that is,A sunscreen with a higher SPF protects the skin longer.,"['Longer', 'Shorter']",Shorter
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:25.029383,Winnie,[[0.7948125 0.9485557]],QRQA-10345-3,quartz,Ronald is an electron 20nm from his nucleus. Winnie is an electron 25nm from the nucleus. Who is less attracted to the nucleus?,"When valence electrons are farther from the nucleus, they are attracted less strongly by t","['Ronald', 'Winnie']",Winnie
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:25.369309,more,[[-0.23190092  1.2266538 ]],QRQA-10271-3,quartz,"Dogs, compared to camels, will have differences in their DNA that is","The longer the amount of time since species diverged, the more differences there will be i","['less', 'more']",more
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:25.630030,less,[[-0.33628893 -1.4546665 ]],QRQA-10007-5-flip,quartz,The planet gets cooler when there are more or less greenhouse gases?,More greenhouse gases trap more heat and warm the atmosphere.,"['less', 'more']",less
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:25.951376,cold,[[-0.5036091 -0.3777939]],QRQA-10239-3-flip,quartz,Clare stopped rubbing two sticks together. The sticks became,"Friction causes the molecules on rubbing surfaces to move faster, so they have more heat e","['hot', 'cold']",cold
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:26.360703,slower,[[-2.442148  -0.9108908]],QRQA-10372-5,quartz,"If particles drift apart, they will pass energy to each other","When particles of matter are closer together, they can more quickly pass the energy of vib","['quicker', 'slower']",slower
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:27.020061,closer together,[[1.1728832 3.3149676]],QRQA-10372-2,quartz,"Two batteries are sitting on a table, one has energy being passed quickly around, the other has energy passed slowly around. The battery with energy being passed quickly has particles of matter that are","When particles of matter are closer together, they can more quickly pass the energy of vib","['further apart', 'closer together']",closer together
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:27.562931,Will,[[0.14570357 0.05946678]],QRQA-10082-4-flip,quartz,Will drilled 1000 feet to find a rock. Harry picked a rock up off of the ground. Whose rock is likely older?,"Therefore, deeper rock layers must be older than layers closer to the surface.","['Will', 'Harry']",Will
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:28.193119,a very short time,[[-1.3938215 -1.7574356]],QRQA-10390-4-flip,quartz,In order to take a photo of the flashlight right in front of us we would need our camera's shutter to be open,A camera shutter stays open longer in dim light to let more light in.,"['a very short time', 'a very long time']",a very short time
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:28.925150,older,[[-0.46169737 -0.79262424]],QRQA-10082-1-flip,quartz,"Simon was digging in his yard and found that the rocks that were shallower in the ground, compared to the surface rocks, were likely","Therefore, deeper rock layers must be older than layers closer to the surface.","['older', 'younger']",younger
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:29.680149,it will increase,[[ 1.2733366 -1.782999 ]],QRQA-10120-1-flip,quartz,What will happen to the acidity of the ocean if production of greenhouse gas is reduced?,An increase in greenhouse gases will increase the changes that are already being seen incl,"['it will increase', 'it will decrease']",it will decrease
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:30.251543,less,[[-0.8374517 -0.5393714]],QRQA-10002-3-flip,quartz,If there are any waves in the ocean that are very short there will be _____ of them,"As wavelength increases, frequency decreases.","['more', 'less']",more
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:31.086152,more,[[ 1.470609   -0.70592785]],QRQA-10271-4-flip,quartz,Species that diverged more recently than two other species diverged will have _____ differences in their DNA.,"The longer the amount of time since species diverged, the more differences there will be i","['more', 'less']",less
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:31.798604,cooler,[[-1.3645301  3.0799608]],QRQA-10394-1,quartz,"As an object speeds up, it will become _____.","At a lower temperature, particles of the medium are moving more slowly, so it takes them l","['warmer', 'cooler']",warmer
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:32.384982,increased,[[-1.5075144   0.33100206]],QRQA-10004-1,quartz,"As Wren hugged her boyfriend, the gravitational pull was _____.",The gravitational force increases with mass and decreases with the distance between the bo,"['decreased', 'increased']",increased
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:34.079089,smaller.,[[-1.1412663 -1.1153034]],QRQA-10126-4,quartz,"Jason fills up a balloon with helium. After a while, he decides to fill a smaller balloon with the helium with the balloon. The gas in the smaller balloon will have a density that is","If we take a certain amount of gas from one container and place it into another, larger co","['higher', 'smaller.']",higher
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:34.897757,gets smaller,[[-2.178972   -0.82445014]],QRQA-10072-1-flip,quartz,If the mass of an object gets smaller what will happen to the amount of matter contained within it?,"The greater the mass of an object, the more matter it contains.","['gets bigger', 'gets smaller']",gets smaller
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:36.429255,high,[[-0.66395193 -0.5333523 ]],QRQA-10042-2-flip,quartz,When two things are not attracted to each other what are their energy levels?,"Places where particles of a medium crowd closer together are called compressions, and plac","['low', 'high']",low
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:37.423781,move slower,[[-2.387189  -0.8164999]],QRQA-10241-3-flip,quartz,"If Jim decreases the amount of energy in the sound wave he is producing, the particles inside the water he is screaming into","The more energy the wave has, the farther the particles of the medium move.","['move faster', 'move slower']",move slower
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:38.132473,warm up,[[-0.43891957 -1.0466973 ]],QRQA-10007-4-flip,quartz,What would happen to Earth's atmosphere if the amount of greenhouse gases in it was decreased?,More greenhouse gases trap more heat and warm the atmosphere.,"['warm up', 'cool down']",cool down
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:38.999704,lighter,[[-0.80101216 -0.8718147 ]],QRQA-10142-2-flip,quartz,Dell added very little silica to her magma project. The magma will be _____ in color.,Magmas that produce lighter colored minerals are higher in silica.,"['lighter', 'darker']",darker
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:40.006251,increase it,[[-1.821639   -0.95838296]],QRQA-10099-4-flip,quartz,"If Milo wants to decrease the rate at which his bonfire is burning, what should he do to the temperature?","When the temperature of reactants is higher, the rate of the reaction is faster.","['decrease it', 'increase it']",decrease it
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:41.049267,decreased,[[-2.7933183 -1.5130998]],QRQA-10120-5-flip,quartz,"Micah sees that there are less new changes going on to the ocean acidity, and can know that the greenhouse gases have",An increase in greenhouse gases will increase the changes that are already being seen incl,"['increased', 'decreased']",decreased
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:42.958631,shrank,[[-2.1019557 -1.4566586]],QRQA-10126-5,quartz,"Dinah is moving gas to different sized containers. The gas was filling a small container, but when she moved it to a larger container, it also filled that one, because the gas","If we take a certain amount of gas from one container and place it into another, larger co","['expanded', 'shrank']",expanded
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:43.944623,increased,[[-0.8025571 -1.0633621]],QRQA-10024-3,quartz,"If Milo breaks his cookie into small pieces, what happens to the surface area of the pieces compared to before the cookie was broken?","As rock breaks into smaller pieces, the surface area of the pieces increases.","['increased', 'decreased']",increased
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:44.840804,decrease,[[-0.71222055 -0.96906495]],QRQA-10390-1-flip,quartz,If Mary is taking a picture and she shuts the camera shutter narrower what will happen to the amount of light that gets in?,A camera shutter stays open longer in dim light to let more light in.,"['decrease', 'increase']",decrease
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:45.755873,more mitochondria,[[1.7877234 1.2937288]],QRQA-10322-2-flip,quartz,Bonnie is studying cells. She notices that certain cells are inactive. The cells that are inactive have,Cells that are very active would typically have more mitochondria than cells that are less,"['more mitochondria', 'less mitochondria.']",less mitochondria.
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:46.867632,quickly,[[-1.2337976  -0.92264974]],QRQA-10158-1,quartz,"Carla is pushing two carts down a street. One cart is heavy, the other is light. The light cart, compared to the heavy one, will accelerate","The greater the mass of an object, the less it will accelerate when a given force is appli","['slowly', 'quickly']",quickly
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:47.660041,the short resistor,[[ 0.0446165 -0.7886317]],QRQA-10367-3-flip,quartz,Jay had a small resistor and a large resistor; which likely has less resistance?,"The shorter the resistor, the less resistance it has.","['the short resistor', 'the large resistor']",the short resistor
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:48.865113,slower,[[-2.104299  -0.7266393]],QRQA-10001-3-flip,quartz,"There is a limit on how much gasoline exists, and it is being used normally. However, now gasoline will be less costly to produce, so the gasoline will be used up","If the energy cost of obtaining energy increases, the resource will be used even faster.","['faster', 'slower']",slower
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:50.086124,less,[[-0.19042826 -0.20019595]],QRQA-10296-3-flip,quartz,"If the Nile's flooding was prevented from covering the Egyptian bottomlands, it might ultimately result in _____ crops.","As more water covered the land, sand and silt were washed in and covered the dead vegetati","['less', 'more']",less
multiple-choice,roberta-base,quartz,onnx_opt,2023-01-26 18:53:50.863816,smaller,[[-1.4246821   0.67270046]],QRQA-10087-1-flip,quartz,Sarah puts two pieces of candy into water. The piece that will break down the slowest is the one that is,Smaller pieces dissolve more easily.,"['larger', 'smaller']",larger
