skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,choices,answer_dataset
multiple-choice,bert-base-uncased,quail,onnx,2023-01-26 00:46:05.266006,about 10 minutes,[[2.358998  1.7480056 1.6656849 1.876394 ]],f141_0,quail,How long was Candy trying to seduce Larry?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['about 10 minutes', 'about 2 hours', 'not enough information', 'All day']",about 10 minutes
multiple-choice,bert-base-uncased,quail,onnx,2023-01-26 00:46:11.958591,Larry likes sex.,[[1.4367086 1.2126749 1.637606  1.6078036]],f141_1,quail,What is probably true about Larry.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Larry does not have enough money for a prostitute.', 'not enough information', 'Larry likes sex.', 'Larry likes paying for sex.']",Larry likes sex.
multiple-choice,bert-base-uncased,quail,onnx,2023-01-26 00:46:18.800446,How windy it was outside,[[2.107439  2.0096507 1.7891846 2.013019 ]],f141_2,quail,What was Larry impressed with?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['How windy it was outside', 'His own car', 'not enough information', 'That Candy had all her teeth']",That Candy had all her teeth
multiple-choice,bert-base-uncased,quail,onnx,2023-01-26 00:46:25.814960,to protect her calves,[[2.5465653 2.0679233 1.9293344 1.6995717]],f141_3,quail,Why did Candy press her legs together.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['to protect her calves', 'To warm her butt.', 'Because she was cold', 'not enough information']",Because she was cold
multiple-choice,bert-base-uncased,quail,onnx,2023-01-26 00:46:33.221487,Candy,[[1.9266777 1.696033  2.0373313 2.090622 ]],f141_4,quail,Who thought prostitutes were revolting?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['The convenience store clerk', 'not enough information', 'Larry', 'Candy']",Larry
multiple-choice,bert-base-uncased,quail,onnx,2023-01-26 00:46:41.112672,He works at the convenience store,[[2.2499418 1.0946486 1.2464983 1.2344884]],f141_5,quail,What kind of job does Larry have?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['He works at the convenience store', 'not enough information', 'He is a banker', 'He is a doctor']",not enough information
multiple-choice,bert-base-uncased,quail,onnx,2023-01-26 00:46:49.229168,He had a nice car,[[2.9870882 2.576357  2.9100993 2.8591616]],f141_6,quail,Why did Candy assume Larry was looking for a prostitute?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['He had a nice car', 'not enough information', 'He parked in the back of the store', 'He asked for one']",He parked in the back of the store
multiple-choice,bert-base-uncased,quail,onnx,2023-01-26 00:46:57.069605,He makes a lot of money,[[1.2816999 1.507698  1.1937541 1.6740272]],f141_7,quail,What is probably true about Larry?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['He likes snacks', 'He hates the cold', 'not enough information', 'He makes a lot of money']",He makes a lot of money
multiple-choice,bert-base-uncased,quail,onnx,2023-01-26 00:47:05.244940,Grins and winks.,[[0.9109149 0.4742739 0.8183734 0.8432559]],f141_8,quail,After the end of the story Larry does what:,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Grins and winks.', 'not enough information', 'Is impressed with the prostitute.', 'Gets it on with the prostitute.']",Gets it on with the prostitute.
multiple-choice,bert-base-uncased,quail,onnx,2023-01-26 00:47:13.840519,After the bearded man drove his silver BMW into the convenience store parking lot.,[[2.118694  1.8391926 1.4037572 1.7832457]],f141_9,quail,When did Candy pull around to the side of the building.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['After the bearded man drove his silver BMW into the convenience store parking lot.', 'After watching the bearded man.', 'not enough information', 'After watching the bearded man drive his silver BMW.']",After the bearded man drove his silver BMW into the convenience store parking lot.
multiple-choice,bert-base-uncased,quail,onnx,2023-01-26 00:47:22.941442,her blond hair made her pretty.,[[1.2490911 1.0056636 1.5145717 1.3179088]],f141_10,quail,Larry believes that,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['that her long legs were very nice.', 'not enough information', 'her blond hair made her pretty.', 'candy looks young']",candy looks young
multiple-choice,bert-base-uncased,quail,onnx,2023-01-26 00:47:32.002408,Candy is a clean hooker,[[1.337801  1.1165218 1.549854  1.4700174]],f141_11,quail,Larry believes that:,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Candy is homeless', 'not enough information', 'Candy is a clean hooker', 'Candy is too old']",Candy is a clean hooker
