skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,choices,answer_dataset
multiple-choice,bert-base-uncased,quartz,quant_onnx,2023-01-26 18:37:22.110402,decrease,[[-0.3296341  -0.37187508]],QRQA-10372-1-flip,quartz,"If Jim moves some particles of matter farther apart, what will happen to the rate at which they can pass vibrations on to nearby particles?","When particles of matter are closer together, they can more quickly pass the energy of vib","['decrease', 'increase']",decrease
multiple-choice,bert-base-uncased,quartz,quant_onnx,2023-01-26 18:37:22.615859,decreased,[[-0.09447962 -0.05251212]],QRQA-10371-4-flip,quartz,"Long ago the surface of Venus warmed enough that greenhouse gases escaped from the atmosphere. As a result, the greenhouse effect on that planet",An increase in greenhouse gases leads to greater greenhouse effect.,"['increased', 'decreased']",decreased
multiple-choice,bert-base-uncased,quartz,quant_onnx,2023-01-26 18:37:23.163364,more,[[ 0.04064788 -0.00564973]],QRQA-10296-1-flip,quartz,If less waters falls on an area of land it will cause _____ plants to grow in that area?,"As more water covered the land, sand and silt were washed in and covered the dead vegetati","['more', 'less']",less
multiple-choice,bert-base-uncased,quartz,quant_onnx,2023-01-26 18:37:23.717854,open,[[-0.18492502 -0.16221972]],QRQA-10115-3,quartz,Rich applies a solution to the dish that increases the turgor pressure of the guard cells he is studying. The stomata,The increase in turgor pressure of the guard cells results in the opening up of the stomat,"['close', 'open']",open
multiple-choice,bert-base-uncased,quartz,quant_onnx,2023-01-26 18:37:24.160983,younger,[[0.00068733 0.01874559]],QRQA-10082-1,quartz,"Simon was digging in his yard and found that the rocks that were deeper in the ground, compared to the surface rocks, were likely","Therefore, deeper rock layers must be older than layers closer to the surface.","['older', 'younger']",older
multiple-choice,bert-base-uncased,quartz,quant_onnx,2023-01-26 18:37:24.471613,increases,[[-0.35274425 -0.29193726]],QRQA-10002-1,quartz,"If Jim is tuning his shortwave radio and he increases the wavelength, what happens to the frequency?","As wavelength increases, frequency decreases.","['decreases', 'increases']",decreases
multiple-choice,bert-base-uncased,quartz,quant_onnx,2023-01-26 18:37:25.119111,sudden,[[-0.10197818 -0.12409001]],QRQA-10181-2,quartz,Dean is trying to slide a rock down a hill using less input force. The slope of the hill that will be ideal for Dean is one that has a slope that is,"The more gradual the slope of the inclined plane, the less input force is needed and the g","['sudden', 'gradual']",gradual
multiple-choice,bert-base-uncased,quartz,quant_onnx,2023-01-26 18:37:25.503216,increase,[[-0.17584804 -0.16347148]],QRQA-10371-3-flip,quartz,"Reid is modelling the greenhouse effect in a simulation. If he decreases greenhouse gas levels, the greenhouse gas effect will",An increase in greenhouse gases leads to greater greenhouse effect.,"['decrease', 'increase']",decrease
multiple-choice,bert-base-uncased,quartz,quant_onnx,2023-01-26 18:37:25.966675,Longer,[[-0.1925937 -0.2138928]],QRQA-10360-5-flip,quartz,John was looking at sunscreen at the retail store. He noticed that sunscreens that had lower SPF would offer protection that is,A sunscreen with a higher SPF protects the skin longer.,"['Longer', 'Shorter']",Shorter
multiple-choice,bert-base-uncased,quartz,quant_onnx,2023-01-26 18:37:26.572631,Ronald,[[-0.13636458 -0.1686232 ]],QRQA-10345-3,quartz,Ronald is an electron 20nm from his nucleus. Winnie is an electron 25nm from the nucleus. Who is less attracted to the nucleus?,"When valence electrons are farther from the nucleus, they are attracted less strongly by t","['Ronald', 'Winnie']",Winnie
multiple-choice,bert-base-uncased,quartz,quant_onnx,2023-01-26 18:37:27.022635,more,[[0.09091455 0.09321268]],QRQA-10271-3,quartz,"Dogs, compared to camels, will have differences in their DNA that is","The longer the amount of time since species diverged, the more differences there will be i","['less', 'more']",more
multiple-choice,bert-base-uncased,quartz,quant_onnx,2023-01-26 18:37:27.342393,more,[[-0.16616374 -0.08882223]],QRQA-10007-5-flip,quartz,The planet gets cooler when there are more or less greenhouse gases?,More greenhouse gases trap more heat and warm the atmosphere.,"['less', 'more']",less
multiple-choice,bert-base-uncased,quartz,quant_onnx,2023-01-26 18:37:27.707798,cold,[[0.11222482 0.1216345 ]],QRQA-10239-3-flip,quartz,Clare stopped rubbing two sticks together. The sticks became,"Friction causes the molecules on rubbing surfaces to move faster, so they have more heat e","['hot', 'cold']",cold
multiple-choice,bert-base-uncased,quartz,quant_onnx,2023-01-26 18:37:28.115851,slower,[[0.05215396 0.09809973]],QRQA-10372-5,quartz,"If particles drift apart, they will pass energy to each other","When particles of matter are closer together, they can more quickly pass the energy of vib","['quicker', 'slower']",slower
multiple-choice,bert-base-uncased,quartz,quant_onnx,2023-01-26 18:37:28.817701,closer together,[[0.06783053 0.09582224]],QRQA-10372-2,quartz,"Two batteries are sitting on a table, one has energy being passed quickly around, the other has energy passed slowly around. The battery with energy being passed quickly has particles of matter that are","When particles of matter are closer together, they can more quickly pass the energy of vib","['further apart', 'closer together']",closer together
multiple-choice,bert-base-uncased,quartz,quant_onnx,2023-01-26 18:37:29.323314,Harry,[[-0.17747332 -0.15953112]],QRQA-10082-4-flip,quartz,Will drilled 1000 feet to find a rock. Harry picked a rock up off of the ground. Whose rock is likely older?,"Therefore, deeper rock layers must be older than layers closer to the surface.","['Will', 'Harry']",Will
multiple-choice,bert-base-uncased,quartz,quant_onnx,2023-01-26 18:37:29.881424,a very short time,[[-0.13750634 -0.15414222]],QRQA-10390-4-flip,quartz,In order to take a photo of the flashlight right in front of us we would need our camera's shutter to be open,A camera shutter stays open longer in dim light to let more light in.,"['a very short time', 'a very long time']",a very short time
multiple-choice,bert-base-uncased,quartz,quant_onnx,2023-01-26 18:37:30.412337,older,[[ 0.00305948 -0.02029191]],QRQA-10082-1-flip,quartz,"Simon was digging in his yard and found that the rocks that were shallower in the ground, compared to the surface rocks, were likely","Therefore, deeper rock layers must be older than layers closer to the surface.","['older', 'younger']",younger
multiple-choice,bert-base-uncased,quartz,quant_onnx,2023-01-26 18:37:30.904815,it will increase,[[-0.13064893 -0.16021259]],QRQA-10120-1-flip,quartz,What will happen to the acidity of the ocean if production of greenhouse gas is reduced?,An increase in greenhouse gases will increase the changes that are already being seen incl,"['it will increase', 'it will decrease']",it will decrease
multiple-choice,bert-base-uncased,quartz,quant_onnx,2023-01-26 18:37:31.281537,less,[[0.12084495 0.14945033]],QRQA-10002-3-flip,quartz,If there are any waves in the ocean that are very short there will be _____ of them,"As wavelength increases, frequency decreases.","['more', 'less']",more
multiple-choice,bert-base-uncased,quartz,quant_onnx,2023-01-26 18:37:31.865241,more,[[-0.0552609  -0.06680506]],QRQA-10271-4-flip,quartz,Species that diverged more recently than two other species diverged will have _____ differences in their DNA.,"The longer the amount of time since species diverged, the more differences there will be i","['more', 'less']",less
multiple-choice,bert-base-uncased,quartz,quant_onnx,2023-01-26 18:37:32.447076,warmer,[[0.20295951 0.1814336 ]],QRQA-10394-1,quartz,"As an object speeds up, it will become _____.","At a lower temperature, particles of the medium are moving more slowly, so it takes them l","['warmer', 'cooler']",warmer
multiple-choice,bert-base-uncased,quartz,quant_onnx,2023-01-26 18:37:32.907663,increased,[[-0.14386612 -0.07749044]],QRQA-10004-1,quartz,"As Wren hugged her boyfriend, the gravitational pull was _____.",The gravitational force increases with mass and decreases with the distance between the bo,"['decreased', 'increased']",increased
multiple-choice,bert-base-uncased,quartz,quant_onnx,2023-01-26 18:37:34.019355,smaller.,[[-0.00885573  0.09536216]],QRQA-10126-4,quartz,"Jason fills up a balloon with helium. After a while, he decides to fill a smaller balloon with the helium with the balloon. The gas in the smaller balloon will have a density that is","If we take a certain amount of gas from one container and place it into another, larger co","['higher', 'smaller.']",higher
