skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,choices,answer_dataset
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:22.346225,decrease,[[-1.0959533 -2.387991 ]],QRQA-10372-1-flip,quartz,"If Jim moves some particles of matter farther apart, what will happen to the rate at which they can pass vibrations on to nearby particles?","When particles of matter are closer together, they can more quickly pass the energy of vib","['decrease', 'increase']",decrease
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:22.500324,decreased,[[-2.2649467 -1.5029308]],QRQA-10371-4-flip,quartz,"Long ago the surface of Venus warmed enough that greenhouse gases escaped from the atmosphere. As a result, the greenhouse effect on that planet",An increase in greenhouse gases leads to greater greenhouse effect.,"['increased', 'decreased']",decreased
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:22.695707,less,[[-0.7888222  -0.02593471]],QRQA-10296-1-flip,quartz,If less waters falls on an area of land it will cause _____ plants to grow in that area?,"As more water covered the land, sand and silt were washed in and covered the dead vegetati","['more', 'less']",less
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:22.921727,open,[[3.340151  3.5526862]],QRQA-10115-3,quartz,Rich applies a solution to the dish that increases the turgor pressure of the guard cells he is studying. The stomata,The increase in turgor pressure of the guard cells results in the opening up of the stomat,"['close', 'open']",open
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:23.085831,older,[[ 0.42830256 -0.4287805 ]],QRQA-10082-1,quartz,"Simon was digging in his yard and found that the rocks that were deeper in the ground, compared to the surface rocks, were likely","Therefore, deeper rock layers must be older than layers closer to the surface.","['older', 'younger']",older
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:23.206266,decreases,[[-0.8931717 -1.321113 ]],QRQA-10002-1,quartz,"If Jim is tuning his shortwave radio and he increases the wavelength, what happens to the frequency?","As wavelength increases, frequency decreases.","['decreases', 'increases']",decreases
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:23.420286,sudden,[[-1.1362485 -1.1565393]],QRQA-10181-2,quartz,Dean is trying to slide a rock down a hill using less input force. The slope of the hill that will be ideal for Dean is one that has a slope that is,"The more gradual the slope of the inclined plane, the less input force is needed and the g","['sudden', 'gradual']",gradual
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:23.557047,decrease,[[-1.35526   -3.1887515]],QRQA-10371-3-flip,quartz,"Reid is modelling the greenhouse effect in a simulation. If he decreases greenhouse gas levels, the greenhouse gas effect will",An increase in greenhouse gases leads to greater greenhouse effect.,"['decrease', 'increase']",decrease
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:23.716505,Shorter,[[-2.4386003  -0.63618493]],QRQA-10360-5-flip,quartz,John was looking at sunscreen at the retail store. He noticed that sunscreens that had lower SPF would offer protection that is,A sunscreen with a higher SPF protects the skin longer.,"['Longer', 'Shorter']",Shorter
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:23.951381,Ronald,[[0.6692701  0.29125732]],QRQA-10345-3,quartz,Ronald is an electron 20nm from his nucleus. Winnie is an electron 25nm from the nucleus. Who is less attracted to the nucleus?,"When valence electrons are farther from the nucleus, they are attracted less strongly by t","['Ronald', 'Winnie']",Winnie
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:24.167459,more,[[-0.68728095  0.39764863]],QRQA-10271-3,quartz,"Dogs, compared to camels, will have differences in their DNA that is","The longer the amount of time since species diverged, the more differences there will be i","['less', 'more']",more
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:24.309050,less,[[-0.71184516 -1.9484345 ]],QRQA-10007-5-flip,quartz,The planet gets cooler when there are more or less greenhouse gases?,More greenhouse gases trap more heat and warm the atmosphere.,"['less', 'more']",less
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:24.486992,hot,[[ 0.5741616 -0.28381  ]],QRQA-10239-3-flip,quartz,Clare stopped rubbing two sticks together. The sticks became,"Friction causes the molecules on rubbing surfaces to move faster, so they have more heat e","['hot', 'cold']",cold
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:24.699024,slower,[[-2.2473485 -1.5721933]],QRQA-10372-5,quartz,"If particles drift apart, they will pass energy to each other","When particles of matter are closer together, they can more quickly pass the energy of vib","['quicker', 'slower']",slower
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:25.034417,closer together,[[0.96457475 2.7170496 ]],QRQA-10372-2,quartz,"Two batteries are sitting on a table, one has energy being passed quickly around, the other has energy passed slowly around. The battery with energy being passed quickly has particles of matter that are","When particles of matter are closer together, they can more quickly pass the energy of vib","['further apart', 'closer together']",closer together
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:25.299432,Harry,[[0.1404427  0.41414562]],QRQA-10082-4-flip,quartz,Will drilled 1000 feet to find a rock. Harry picked a rock up off of the ground. Whose rock is likely older?,"Therefore, deeper rock layers must be older than layers closer to the surface.","['Will', 'Harry']",Will
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:25.589436,a very short time,[[-1.4951049 -2.0498352]],QRQA-10390-4-flip,quartz,In order to take a photo of the flashlight right in front of us we would need our camera's shutter to be open,A camera shutter stays open longer in dim light to let more light in.,"['a very short time', 'a very long time']",a very short time
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:25.894030,older,[[-0.8176624 -0.8369444]],QRQA-10082-1-flip,quartz,"Simon was digging in his yard and found that the rocks that were shallower in the ground, compared to the surface rocks, were likely","Therefore, deeper rock layers must be older than layers closer to the surface.","['older', 'younger']",younger
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:26.229638,it will increase,[[-0.17722642 -1.5914935 ]],QRQA-10120-1-flip,quartz,What will happen to the acidity of the ocean if production of greenhouse gas is reduced?,An increase in greenhouse gases will increase the changes that are already being seen incl,"['it will increase', 'it will decrease']",it will decrease
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:26.473189,more,[[-0.630013   -0.65036815]],QRQA-10002-3-flip,quartz,If there are any waves in the ocean that are very short there will be _____ of them,"As wavelength increases, frequency decreases.","['more', 'less']",more
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:26.854984,more,[[ 1.0399919 -0.8905025]],QRQA-10271-4-flip,quartz,Species that diverged more recently than two other species diverged will have _____ differences in their DNA.,"The longer the amount of time since species diverged, the more differences there will be i","['more', 'less']",less
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:27.232117,cooler,[[-1.7758348  0.9614367]],QRQA-10394-1,quartz,"As an object speeds up, it will become _____.","At a lower temperature, particles of the medium are moving more slowly, so it takes them l","['warmer', 'cooler']",warmer
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:27.540078,increased,[[-1.0479658  0.8040054]],QRQA-10004-1,quartz,"As Wren hugged her boyfriend, the gravitational pull was _____.",The gravitational force increases with mass and decreases with the distance between the bo,"['decreased', 'increased']",increased
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:28.473221,higher,[[-1.0994111 -1.15084  ]],QRQA-10126-4,quartz,"Jason fills up a balloon with helium. After a while, he decides to fill a smaller balloon with the helium with the balloon. The gas in the smaller balloon will have a density that is","If we take a certain amount of gas from one container and place it into another, larger co","['higher', 'smaller.']",higher
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:28.948974,gets smaller,[[-2.6708474  -0.70741343]],QRQA-10072-1-flip,quartz,If the mass of an object gets smaller what will happen to the amount of matter contained within it?,"The greater the mass of an object, the more matter it contains.","['gets bigger', 'gets smaller']",gets smaller
multiple-choice,roberta-base,quartz,quant_onnx_opt,2023-01-26 18:53:29.900558,low,[[-1.0143365 -1.4149808]],QRQA-10042-2-flip,quartz,When two things are not attracted to each other what are their energy levels?,"Places where particles of a medium crowd closer together are called compressions, and plac","['low', 'high']",low
