Name,Retrieval Model,Datastore,Reader Model,Reader Adapter,Type,Code
BoolQ BERT Adapter,,,bert-base-uncased,boolq,categorical,code
BoolQ RoBERTa Adapter,,,roberta-base,boolq,categorical,code
CosmosQA BERT,,,bert-base-uncased,cosmos_qa,multiple-choice,code
CosmosQA RoBERTa Adapter,,,roberta-base,cosmos_qa,multiple-choice,code
DROP BERT Adapter,,,bert-base-uncased,drop,span-extraction,code
DROP RoBERTa Adapter,,,roberta-base,drop,span-extraction,code
HotpotQA BERT Adapter,,,bert-base-uncased,hotpotqa,span-extraction,code
HotpotQA RoBERTa Adapter,,,roberta-base,hotpotqa,span-extraction,code
MultiRC BERT Adapter,,,bert-base-uncased,multirc,multiple-choice,code
MultiRC RoBERTa Adapter,,,roberta-base,multirc,multiple-choice,code
NewsQA BERT Adapter,,,bert-base-uncased,newsqa,span-extraction,code
NewsQA RoBERTa Adapter,,,roberta-base,newsqa,span-extraction,code
QuAIL BERT Adapter,,,bert-base-uncased,quail,multiple-choice,code
QuAIL RoBERTa Adapter,,,roberta-base,quail,multiple-choice,code
QuaRTz RoBERTa Adapter,,,roberta-base,quartz,multiple-choice,code
Quoref BERT Adapter,,,bert-base-uncased,quoref,span-extraction,code
Quoref RoBERTa Adapter,,,roberta-base,quoref,span-extraction,code
RACE BERT Adapter,,,bert-base-uncased,race,multiple-choice,code
RACE RoBERTa Adapter,,,roberta-base,race,multiple-choice,code
SQuAD 1.1 BERT Adapter,,,bert-base-uncased,squad,span-extraction,code
SQuAD 1.1 RoBERTa Adapter,,,roberta-base,squad,span-extraction,code
SQuAD 2.0 BERT Adapter,,,bert-base-uncased,squad_v2,span-extraction,code
SQuAD 2.0 RoBERTa Adapter,,,roberta-base,squad_v2,span-extraction,code
NarrativeQA BART Adapter,,,facebook/bart-base,narrativeqa,abstractive,code
