skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,choices,answer_dataset
multiple-choice,roberta-base,cosmos_qa,base,2023-01-25 23:41:14.656328,He wants to know if he does nt like this girl can he divorce her ?,"tensor([[ 0.4527, -0.4801,  0.4920, -1.1086]])",3BFF0DJK8XA7YNK4QYIGCOG1A95STE##3180JW2OT5AF02OISBX66RFOCTG5J7##A2LTOS0AZ3B28A##Blog_56156##q1_a1##378G7J1SJNCDAAIN46FM2P7T6KZEW2,cosmos_qa,Why is this person asking about divorce ?,Do i need to go for a legal divorce ? I wanted to marry a woman but she is not in the same,"['If he gets married in the church he wo nt have to get a divorce .', 'He wants to get married to a different person .', 'He wants to know if he does nt like this girl can he divorce her ?', 'None of the above choices .']",He wants to get married to a different person .
multiple-choice,roberta-base,cosmos_qa,base,2023-01-25 23:41:15.402978,He was married before and she might come back one day .,"tensor([[ 1.0422, -3.0756, -2.9513, -1.5873]])",3BFF0DJK8XA7YNK4QYIGCOG1A95STE##3180JW2OT5AF02OISBX66RFOCTG5J7##A2LTOS0AZ3B28A##Blog_56156##q2_a1##3LXX8KJXPYNOA5I4598QTHTWCLK9OB,cosmos_qa,Why is he worried about getting married ?,Do i need to go for a legal divorce ? I wanted to marry a woman but she is not in the same,"['He was married before and she might come back one day .', 'He wants the girl he is going to marry get in trouble .', 'He knows that he will be committing polygamy .', 'None of the above choices .']",He was married before and she might come back one day .
multiple-choice,roberta-base,cosmos_qa,base,2023-01-25 23:41:15.950399,An ambulance would likely come to the scene,"tensor([[ 4.6191, -1.6530, -2.6085, -1.7617]])",3AXFSPQOYQW4GFJD8K4D3JADN54FJ9##352YTHGROWB1DDPSQ6BBPMTVYPR4H9##A1I72NHC21347A##Blog_146946##q1_a1##3YGE63DINABEJK3TWZG7H05PCBW0WT,cosmos_qa,What may happen after the young man makes his call ?,"I was walking home from the store , when I saw an old man laying on the sidewalk , bleedin","['An ambulance would likely come to the scene', 'The taxi would pick up the young man', 'None of the above choices .', 'The bus would arrive at the stop soon']",An ambulance would likely come to the scene
multiple-choice,roberta-base,cosmos_qa,base,2023-01-25 23:41:16.502048,Medical personnel would come to help the old man,"tensor([[-2.6085, -1.7617, -1.6530,  6.1049]])",3AXFSPQOYQW4GFJD8K4D3JADN54FJ9##352YTHGROWB1DDPSQ6BBPMTVYPR4H9##A1I72NHC21347A##Blog_146946##q1_a2##3SD15I2WD48C6XNKO4LML44JRLN63T,cosmos_qa,What may happen after the young man makes his call ?,"I was walking home from the store , when I saw an old man laying on the sidewalk , bleedin","['None of the above choices .', 'The bus would arrive at the stop soon', 'The taxi would pick up the young man', 'Medical personnel would come to help the old man']",Medical personnel would come to help the old man
multiple-choice,roberta-base,cosmos_qa,base,2023-01-25 23:41:17.046411,He likely fell on the sidewalk and hit his head while intoxicated,"tensor([[-3.4934,  2.5086, -4.4244, -1.6484]])",3AXFSPQOYQW4GFJD8K4D3JADN54FJ9##352YTHGROWB1DDPSQ6BBPMTVYPR4H9##A1I72NHC21347A##Blog_146946##q2_a1##3OQQD2WO8KKSZHILQ5UBI7UO0CI3IK,cosmos_qa,What may have happened to the old man ?,"I was walking home from the store , when I saw an old man laying on the sidewalk , bleedin","['He was waiting on a ride', 'He likely fell on the sidewalk and hit his head while intoxicated', 'He was waiting on the taxi', 'None of the above choices .']",He likely fell on the sidewalk and hit his head while intoxicated
multiple-choice,roberta-base,cosmos_qa,base,2023-01-25 23:41:17.576108,None of the above choices .,"tensor([[-1.6484, -4.4244, -3.5749, -3.4934]])",3AXFSPQOYQW4GFJD8K4D3JADN54FJ9##352YTHGROWB1DDPSQ6BBPMTVYPR4H9##A1I72NHC21347A##Blog_146946##q2_a1##335HHSX8CFJQLE9YDCI2V4FLRCSDHZ,cosmos_qa,What may have happened to the old man ?,"I was walking home from the store , when I saw an old man laying on the sidewalk , bleedin","['None of the above choices .', 'He was waiting on the taxi', 'He was waiting for the bus', 'He was waiting on a ride']",None of the above choices .
multiple-choice,roberta-base,cosmos_qa,base,2023-01-25 23:41:18.121880,Because it was late .,"tensor([[-2.1484, -5.4784, -6.7655, -5.8049]])",3XD2A6FGFNSOE8BQSSDZLOFPG829S7##3DZQRBDBSMD5LQK41MIRJV8RVGNS36##A2KYOM2ZGYDJGT##Blog_498335##q1_a1##30EV7DWJTX9DM0K8DPECBY0W0WB6YC,cosmos_qa,Why did the school bus not show up until 20 til 8 ?,Yesterday I mentioned that the school bus did n't show up until 20 til 8 . Only 10 minutes,"['Because it was late .', 'Because the writer mentioned it yesterday .', 'Because Little Miss was 25 minutes late for school .', 'Because it was 10 minutes before the start of school .']",Because it was late .
multiple-choice,roberta-base,cosmos_qa,base,2023-01-25 23:41:18.757372,I was able to separate myself from the wold .,"tensor([[ 5.3458, -4.0451, -2.9091, -0.7989]])",34ZTTGSNJZ2KAND3IYOMV3MKA1TQHD##3Z2R0DQ0JKTULEIAGOWH32NTUCEE29##AJ7NSZOAFP05U##Blog_939155##q1_a1##3GITHABAC0ZVS0XTJLTY45LDGBCN21,cosmos_qa,What may have caused your feeling of serenity ?,Its an interesting feeling when you crave perfect alone time and then get it in a tunnel a,"['I was able to separate myself from the wold .', 'I was driving my car at a cool 30 mph .', 'I started thinking about the six billion people in the world .', 'I was meditating and felt serenity .']",I was able to separate myself from the wold .
multiple-choice,roberta-base,cosmos_qa,base,2023-01-25 23:41:19.419456,It is a precursor to understanding his success in future endeavors .,"tensor([[-1.5425, -3.0198, -1.4916,  7.8191]])",3MGHRFQY2LN3E0ZMR2MVAZ2XUGTY05##3UJ1CZ6IZIN8Z578F56KYS6B8VK5SG##A33PQXKQHFVF3V##Blog_1445357##q1_a1##3VIVIU06FMQTL3QVWNZQE63U09XIMP,cosmos_qa,Why is it so important that Tater does well in school ?,"Not talking about lions , but pride in my son . Tater has done great in school . He has go","['So he makes me look good to the school that I graduated from .', 'It is realistically not important at all but I like it .', 'It allows me to be able to brag to other people about him .', 'It is a precursor to understanding his success in future endeavors .']",It is a precursor to understanding his success in future endeavors .
multiple-choice,roberta-base,cosmos_qa,base,2023-01-25 23:41:20.024654,Liberal,"tensor([[-3.5310,  0.0114, -2.5528, -3.2787]])",3FSEU3P2NRYIHT7Z7KDGMZAN0V7RRC##38BQUHLA9XYR9K0L0N6XVP7WYMLMOB##AGUF6B4Q9991D##Blog_412956##q1_a1##38G0E1M85OJHKHF44WPVK5AIL1DVUG,cosmos_qa,How would this person be classified ?,I watched the first McCain / Obama debate last night . It was full of moments I had to pau,"['Moderate', 'Liberal', 'Conservative', 'None of the above choices .']",Moderate
multiple-choice,roberta-base,cosmos_qa,base,2023-01-25 23:41:20.617355,Liberal,"tensor([[-3.2787,  0.0114, -2.5528, -4.0632]])",3FSEU3P2NRYIHT7Z7KDGMZAN0V7RRC##38BQUHLA9XYR9K0L0N6XVP7WYMLMOB##AGUF6B4Q9991D##Blog_412956##q1_a2##38F60IALAIVMR3ZZ1UBWUGYQ8RU0T3,cosmos_qa,How would this person be classified ?,I watched the first McCain / Obama debate last night . It was full of moments I had to pau,"['None of the above choices .', 'Liberal', 'Conservative', 'Indpendent']",Indpendent
multiple-choice,roberta-base,cosmos_qa,base,2023-01-25 23:41:21.222085,She makes informed decisions,"tensor([[-1.0016,  0.4463,  1.2762, -2.5838]])",3FSEU3P2NRYIHT7Z7KDGMZAN0V7RRC##38BQUHLA9XYR9K0L0N6XVP7WYMLMOB##AGUF6B4Q9991D##Blog_412956##q2_a1##3R15W654VF7MWJWT9J3KNVFRRI5QLN,cosmos_qa,What may be a result of her watching the event ?,I watched the first McCain / Obama debate last night . It was full of moments I had to pau,"['she becomes angry with her husband', 'She confirms her biases', 'She makes informed decisions', 'None of the above choices .']",She makes informed decisions
multiple-choice,roberta-base,cosmos_qa,base,2023-01-25 23:41:21.849018,There 's some germs in there .,"tensor([[ 4.7156, -4.6848, -1.3497, -1.8206]])",3B9J25CZ27R56VH0OAZQFC45F2FCSV##3I2PTA7R3W9EZXC5ELXLXFY1VW0KQO##AJ7NSZOAFP05U##Blog_207994##q1_a1##3VAOOVPI316B5MGGHEVO69GYIU8LLM,cosmos_qa,What may have caused your throat to be raw ?,My throat is raw but as yet not infected so I apparently have a virus . However it 's wrea,"[""There 's some germs in there ."", 'My throat is infected .', 'None of the above choices .', 'It feels that way after I use my inhaler .']",There 's some germs in there .
multiple-choice,roberta-base,cosmos_qa,base,2023-01-25 23:41:22.421146,The plane had to have an emergency landing and that meant they used an emergency landing procedure which involved the floats,"tensor([[-1.9895, -1.4591, -2.1466, -0.3339]])",30Z7M1Q8U0YZUW5TQYXUSQEG3RAA8M##3JJVG1YBEECOD8PDOGWP01KKAG95BZ##A1OPGPTQJ48XOY##Blog_591892##q1_a1##3HY86PZXP0WK992K7IQ19ZHZAAWE1F,cosmos_qa,Why did you exit the plane from a float ?,"I exited the plane as rear float , facing forward . One I began riding off the hill I beca","['The pilot wanted to test out the floats and decided to use them', 'The pilot was running a test landing and wanted to see how we did exiting via the floats', 'None of the above choices .', 'The plane had to have an emergency landing and that meant they used an emergency landing procedure which involved the floats']",The plane had to have an emergency landing and that meant they used an emergency landing procedure which involved the floats
multiple-choice,roberta-base,cosmos_qa,base,2023-01-25 23:41:23.304008,Baby E is excited to have is his photo taken no matter the time .,"tensor([[-0.1547,  0.8205, -3.5559, -1.1201]])",3O4VWC1GEW49033KOP3B2ALGKVF3J0##37M28K1J0RBC680ZN7ONE2VA53WJAZ##A1S1K7134S2VUC##Blog_1085807##q1_a2##33IXYHIZB7WRYUKGQMQFEIR42DZ2E3,cosmos_qa,Is it important to Baby E to have his photo taken ?,I spoke with mom a few days before Baby E 's 6month session . She was worried because he w,"['It makes no difference to Baby E what is going on around him .', 'Baby E is excited to have is his photo taken no matter the time .', 'Baby E was annoyed with the quality of the 3 month photos and wanted to redo them .', 'None of the above choices .']",It makes no difference to Baby E what is going on around him .
