skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,choices,answer_dataset
multiple-choice,roberta-base,cosmos_qa,quant_onnx_opt,2023-01-25 23:41:14.706507,He wants to know if he does nt like this girl can he divorce her ?,[[-1.065502   -1.890512    0.81343365 -1.5173267 ]],3BFF0DJK8XA7YNK4QYIGCOG1A95STE##3180JW2OT5AF02OISBX66RFOCTG5J7##A2LTOS0AZ3B28A##Blog_56156##q1_a1##378G7J1SJNCDAAIN46FM2P7T6KZEW2,cosmos_qa,Why is this person asking about divorce ?,Do i need to go for a legal divorce ? I wanted to marry a woman but she is not in the same,"['If he gets married in the church he wo nt have to get a divorce .', 'He wants to get married to a different person .', 'He wants to know if he does nt like this girl can he divorce her ?', 'None of the above choices .']",He wants to get married to a different person .
multiple-choice,roberta-base,cosmos_qa,quant_onnx_opt,2023-01-25 23:41:15.615913,He was married before and she might come back one day .,[[ 1.3404522 -3.8979156 -4.2492194 -0.905017 ]],3BFF0DJK8XA7YNK4QYIGCOG1A95STE##3180JW2OT5AF02OISBX66RFOCTG5J7##A2LTOS0AZ3B28A##Blog_56156##q2_a1##3LXX8KJXPYNOA5I4598QTHTWCLK9OB,cosmos_qa,Why is he worried about getting married ?,Do i need to go for a legal divorce ? I wanted to marry a woman but she is not in the same,"['He was married before and she might come back one day .', 'He wants the girl he is going to marry get in trouble .', 'He knows that he will be committing polygamy .', 'None of the above choices .']",He was married before and she might come back one day .
multiple-choice,roberta-base,cosmos_qa,quant_onnx_opt,2023-01-25 23:41:16.191254,An ambulance would likely come to the scene,[[ 1.6175373 -1.9331572 -2.7707798 -2.0323532]],3AXFSPQOYQW4GFJD8K4D3JADN54FJ9##352YTHGROWB1DDPSQ6BBPMTVYPR4H9##A1I72NHC21347A##Blog_146946##q1_a1##3YGE63DINABEJK3TWZG7H05PCBW0WT,cosmos_qa,What may happen after the young man makes his call ?,"I was walking home from the store , when I saw an old man laying on the sidewalk , bleedin","['An ambulance would likely come to the scene', 'The taxi would pick up the young man', 'None of the above choices .', 'The bus would arrive at the stop soon']",An ambulance would likely come to the scene
multiple-choice,roberta-base,cosmos_qa,quant_onnx_opt,2023-01-25 23:41:16.769531,Medical personnel would come to help the old man,[[-2.3120673 -2.037469  -2.702136   4.6129413]],3AXFSPQOYQW4GFJD8K4D3JADN54FJ9##352YTHGROWB1DDPSQ6BBPMTVYPR4H9##A1I72NHC21347A##Blog_146946##q1_a2##3SD15I2WD48C6XNKO4LML44JRLN63T,cosmos_qa,What may happen after the young man makes his call ?,"I was walking home from the store , when I saw an old man laying on the sidewalk , bleedin","['None of the above choices .', 'The bus would arrive at the stop soon', 'The taxi would pick up the young man', 'Medical personnel would come to help the old man']",Medical personnel would come to help the old man
multiple-choice,roberta-base,cosmos_qa,quant_onnx_opt,2023-01-25 23:41:17.361275,He likely fell on the sidewalk and hit his head while intoxicated,[[-3.8954928   0.46059954 -3.8495638  -2.8404932 ]],3AXFSPQOYQW4GFJD8K4D3JADN54FJ9##352YTHGROWB1DDPSQ6BBPMTVYPR4H9##A1I72NHC21347A##Blog_146946##q2_a1##3OQQD2WO8KKSZHILQ5UBI7UO0CI3IK,cosmos_qa,What may have happened to the old man ?,"I was walking home from the store , when I saw an old man laying on the sidewalk , bleedin","['He was waiting on a ride', 'He likely fell on the sidewalk and hit his head while intoxicated', 'He was waiting on the taxi', 'None of the above choices .']",He likely fell on the sidewalk and hit his head while intoxicated
multiple-choice,roberta-base,cosmos_qa,quant_onnx_opt,2023-01-25 23:41:17.907408,He was waiting on a ride,[[-2.7604802 -4.015114  -4.1998367 -2.6155322]],3AXFSPQOYQW4GFJD8K4D3JADN54FJ9##352YTHGROWB1DDPSQ6BBPMTVYPR4H9##A1I72NHC21347A##Blog_146946##q2_a1##335HHSX8CFJQLE9YDCI2V4FLRCSDHZ,cosmos_qa,What may have happened to the old man ?,"I was walking home from the store , when I saw an old man laying on the sidewalk , bleedin","['None of the above choices .', 'He was waiting on the taxi', 'He was waiting for the bus', 'He was waiting on a ride']",None of the above choices .
multiple-choice,roberta-base,cosmos_qa,quant_onnx_opt,2023-01-25 23:41:18.498028,Because it was late .,[[ 5.3381705 -1.8975263 -4.438718  -2.4828072]],3XD2A6FGFNSOE8BQSSDZLOFPG829S7##3DZQRBDBSMD5LQK41MIRJV8RVGNS36##A2KYOM2ZGYDJGT##Blog_498335##q1_a1##30EV7DWJTX9DM0K8DPECBY0W0WB6YC,cosmos_qa,Why did the school bus not show up until 20 til 8 ?,Yesterday I mentioned that the school bus did n't show up until 20 til 8 . Only 10 minutes,"['Because it was late .', 'Because the writer mentioned it yesterday .', 'Because Little Miss was 25 minutes late for school .', 'Because it was 10 minutes before the start of school .']",Because it was late .
multiple-choice,roberta-base,cosmos_qa,quant_onnx_opt,2023-01-25 23:41:19.183774,I was able to separate myself from the wold .,[[ 4.1554317  -3.5520718  -1.4853487   0.24288288]],34ZTTGSNJZ2KAND3IYOMV3MKA1TQHD##3Z2R0DQ0JKTULEIAGOWH32NTUCEE29##AJ7NSZOAFP05U##Blog_939155##q1_a1##3GITHABAC0ZVS0XTJLTY45LDGBCN21,cosmos_qa,What may have caused your feeling of serenity ?,Its an interesting feeling when you crave perfect alone time and then get it in a tunnel a,"['I was able to separate myself from the wold .', 'I was driving my car at a cool 30 mph .', 'I started thinking about the six billion people in the world .', 'I was meditating and felt serenity .']",I was able to separate myself from the wold .
multiple-choice,roberta-base,cosmos_qa,quant_onnx_opt,2023-01-25 23:41:19.938621,It is a precursor to understanding his success in future endeavors .,[[2.272988  4.9609513 0.8617464 6.576539 ]],3MGHRFQY2LN3E0ZMR2MVAZ2XUGTY05##3UJ1CZ6IZIN8Z578F56KYS6B8VK5SG##A33PQXKQHFVF3V##Blog_1445357##q1_a1##3VIVIU06FMQTL3QVWNZQE63U09XIMP,cosmos_qa,Why is it so important that Tater does well in school ?,"Not talking about lions , but pride in my son . Tater has done great in school . He has go","['So he makes me look good to the school that I graduated from .', 'It is realistically not important at all but I like it .', 'It allows me to be able to brag to other people about him .', 'It is a precursor to understanding his success in future endeavors .']",It is a precursor to understanding his success in future endeavors .
multiple-choice,roberta-base,cosmos_qa,quant_onnx_opt,2023-01-25 23:41:20.556579,None of the above choices .,[[ 0.10471953  0.36836177 -0.7307567   1.2218364 ]],3FSEU3P2NRYIHT7Z7KDGMZAN0V7RRC##38BQUHLA9XYR9K0L0N6XVP7WYMLMOB##AGUF6B4Q9991D##Blog_412956##q1_a1##38G0E1M85OJHKHF44WPVK5AIL1DVUG,cosmos_qa,How would this person be classified ?,I watched the first McCain / Obama debate last night . It was full of moments I had to pau,"['Moderate', 'Liberal', 'Conservative', 'None of the above choices .']",Moderate
