Name,Retrieval Model,Datastore,Reader Model,Reader Adapter,Type,Code
CommonsenseQA BERT Adapter,,,bert-base-uncased,commonsense_qa,multiple-choice,code
CommonsenseQA RoBERTa Adapter,,,roberta-base,commonsense_qa,multiple-choice,code
CosmosQA BERT,,,bert-base-uncased,cosmos_qa,multiple-choice,code
CosmosQA RoBERTa Adapter,,,roberta-base,cosmos_qa,multiple-choice,code
MultiRC BERT Adapter,,,bert-base-uncased,multirc,multiple-choice,code
MultiRC RoBERTa Adapter,,,roberta-base,multirc,multiple-choice,code
NarrativeQA BART Adapter,,,bart-base,narrativeqa,multiple-choice,code
QuAIL BERT Adapter,,,bert-base-uncased,quail,multiple-choice,code
QuAIL RoBERTa Adapter,,,roberta-base,quail,multiple-choice,code
QuaRTz RoBERTa Adapter,,,roberta-base,quartz,multiple-choice,code
RACE BERT Adapter,,,bert-base-uncased,race,multiple-choice,code
RACE RoBERTa Adapter,,,roberta-base,race,multiple-choice,code
Social-IQA BERT Adapter,,,bert-base-uncased,social_i_qa,multiple-choice,code
Social-IQA RoBERTa Adapter,,,roberta-base,social_i_qa,multiple-choice,code
