skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,choices,answer_dataset
multiple-choice,roberta-base,quail,base,2023-01-24 16:55:45.130114,about 10 minutes,"tensor([[ 2.7624,  2.4614, -2.1396,  1.7699]])",f141_0,quail,How long was Candy trying to seduce Larry?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['about 10 minutes', 'about 2 hours', 'not enough information', 'All day']",about 10 minutes
multiple-choice,roberta-base,quail,base,2023-01-24 16:55:48.082845,Larry likes paying for sex.,"tensor([[ 2.1744, -0.9873,  2.1990,  2.2654]])",f141_1,quail,What is probably true about Larry.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Larry does not have enough money for a prostitute.', 'not enough information', 'Larry likes sex.', 'Larry likes paying for sex.']",Larry likes sex.
multiple-choice,roberta-base,quail,base,2023-01-24 16:55:50.919927,His own car,"tensor([[ 1.2135,  1.8536, -1.2522,  0.8203]])",f141_2,quail,What was Larry impressed with?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['How windy it was outside', 'His own car', 'not enough information', 'That Candy had all her teeth']",That Candy had all her teeth
multiple-choice,roberta-base,quail,base,2023-01-24 16:55:53.972678,To warm her butt.,"tensor([[ 1.9941,  2.2201,  2.0844, -3.4099]])",f141_3,quail,Why did Candy press her legs together.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['to protect her calves', 'To warm her butt.', 'Because she was cold', 'not enough information']",Because she was cold
multiple-choice,roberta-base,quail,base,2023-01-24 16:55:57.676908,Candy,"tensor([[ 1.2378, -2.4903,  2.0397,  2.2973]])",f141_4,quail,Who thought prostitutes were revolting?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['The convenience store clerk', 'not enough information', 'Larry', 'Candy']",Larry
multiple-choice,roberta-base,quail,base,2023-01-24 16:56:01.323378,He works at the convenience store,"tensor([[2.3853, 1.4967, 1.7418, 0.5940]])",f141_5,quail,What kind of job does Larry have?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['He works at the convenience store', 'not enough information', 'He is a banker', 'He is a doctor']",not enough information
multiple-choice,roberta-base,quail,base,2023-01-24 16:56:04.748535,He had a nice car,"tensor([[ 2.4858, -2.1182,  2.1698,  2.0657]])",f141_6,quail,Why did Candy assume Larry was looking for a prostitute?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['He had a nice car', 'not enough information', 'He parked in the back of the store', 'He asked for one']",He parked in the back of the store
multiple-choice,roberta-base,quail,base,2023-01-24 16:56:08.170540,He makes a lot of money,"tensor([[ 1.6493,  1.6123, -2.5675,  2.9793]])",f141_7,quail,What is probably true about Larry?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['He likes snacks', 'He hates the cold', 'not enough information', 'He makes a lot of money']",He makes a lot of money
multiple-choice,roberta-base,quail,base,2023-01-24 16:56:11.459834,Is impressed with the prostitute.,"tensor([[ 2.3797, -2.3343,  3.3683,  3.2245]])",f141_8,quail,After the end of the story Larry does what:,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Grins and winks.', 'not enough information', 'Is impressed with the prostitute.', 'Gets it on with the prostitute.']",Gets it on with the prostitute.
multiple-choice,roberta-base,quail,base,2023-01-24 16:56:15.010130,After the bearded man drove his silver BMW into the convenience store parking lot.,"tensor([[ 3.6272,  2.5375, -2.3061,  3.1249]])",f141_9,quail,When did Candy pull around to the side of the building.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['After the bearded man drove his silver BMW into the convenience store parking lot.', 'After watching the bearded man.', 'not enough information', 'After watching the bearded man drive his silver BMW.']",After the bearded man drove his silver BMW into the convenience store parking lot.
multiple-choice,roberta-base,quail,base,2023-01-24 16:56:18.727678,that her long legs were very nice.,"tensor([[ 3.5298, -3.8217,  1.9486,  1.2584]])",f141_10,quail,Larry believes that,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['that her long legs were very nice.', 'not enough information', 'her blond hair made her pretty.', 'candy looks young']",candy looks young
multiple-choice,roberta-base,quail,base,2023-01-24 16:56:22.306071,Candy is a clean hooker,"tensor([[ 1.7284, -3.7637,  3.1307,  1.7345]])",f141_11,quail,Larry believes that:,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Candy is homeless', 'not enough information', 'Candy is a clean hooker', 'Candy is too old']",Candy is a clean hooker
multiple-choice,roberta-base,quail,base,2023-01-24 16:56:25.832338,On a Craigslist,"tensor([[-1.8127,  2.0601, -0.4427, -0.6630]])",f141_12,quail,Where did Larry buy his car?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Online', 'On a Craigslist', 'not enough information', 'From a friend.']",not enough information
multiple-choice,roberta-base,quail,base,2023-01-24 16:56:29.330132,Bearded man,"tensor([[-2.9404,  1.3676,  0.8106,  1.5821]])",f141_13,quail,Who shivered,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['not enough information', 'Candy', 'Larry Luzor', 'Bearded man']",Candy
multiple-choice,roberta-base,quail,base,2023-01-24 16:56:33.183635,An hour,"tensor([[ 2.1232,  2.3653, -2.5849,  2.0034]])",f141_14,quail,How long was Larry probably talking to Candy?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['A whole day', 'An hour', 'not enough information', 'A few minutes']",A few minutes
