model_name,time once (ms),average_time 50 times (ms),seq_length,context,question,choices,data_id,data_set_name
Base,364.1409873962402,,92,"Do i need to go for a legal divorce ? I wanted to marry a woman but she is not in the same religion , so i am not concern of the marriage inside church . I will do the marriage registered with the girl who i am going to get married . But legally will there be any complication , like if the other woman comes back one day , will the girl who i am going to get married now will be in trouble or Is there any complication ?",Why is this person asking about divorce ?,"['If he gets married in the church he wo nt have to get a divorce .', 'He wants to get married to a different person .', 'He wants to know if he does nt like this girl can he divorce her ?', 'None of the above choices .']",0,cosmos_qa
Base,240.7240867614746,,67,"I watched the first McCain / Obama debate last night . It was full of moments I had to pause the DVR because I had to discuss what they were saying with my husband . I learned a lot about the Iraq war and Afghanistan , and I saw both McCain and Obama make some going points , and I saw them both make some blunders .",How would this person be classified ?,"['None of the above choices .', 'Liberal', 'Conservative', 'Indpendent']",10,cosmos_qa
Base,454.4053077697754,,117,"So , while i was in the library in my old neighborhood I had my things outside beside one of the trees mostly out of sight . One duffel bag and my backpack was taken . The things I had to eat , all of my spare footwear , my soaps , knives , changes of clothes , toothbrushes , fingernail clippers , razors , etc . all now out of my possession . Evidently it was known it was going to happen , and monday was going to be the day , but I could n't be warned of it , otherwise I would be keeping a closer watch on the things I was carrying .",What did you do after realizing that your things were stolen ?,"['I set about reporting the theft to the campus security but I knew nothing would come of it', 'I bought the replacements immediately', 'I let it go because I thought there was no point doing anything', 'None of the above choices .']",20,cosmos_qa
Base,268.9499855041504,,58,At the beginning of the change there were jet airplanes . Letting us jump from one place to another in a matter of hours . Then automated long distance telephony services came along . It was enough to add two or three country code digits and we could here somebody on the other side of the ocean .,Why did jet airplanes allow us jump from one place to another in a matter of hours ?,"['Because it was enough to add two or three country code digits .', 'Because automated long distance telephony services came along .', 'Because it was the beginning of a change .', 'None of the above choices .']",30,cosmos_qa
Base,261.9011402130127,,62,Another thing I do n't appreciate is the shooting games . Jon had bought this shooting game and one day I watched the little movie intro to the level he was about to play . It was imitating World War 2 and Jon was on the team that was going and killing the Germans . I had big issues with this .,Why might I have problems with Jon playing a shooting game ?,"[""Because a shooting game involves violence but do n't kill people ."", 'Because a shooting game involves fun and hitting people .', 'Because a shooting game involves violence and killing people .', 'Because a shooting game involves fun and killing people .']",40,cosmos_qa
Base,326.8170356750488,,92,"Mom . "" And like me , she had no family or friends who could help with childcare . So like me , she found a daycare center that met her part - time needs . In sharp contrast to my job as a ( gasp ! ) writer for the evil MSM , her nursing job was deemed by the other moms to be useful and worthwhile -- in fact , worth putting her baby into daycare for "" just a few hours , what harm could it do ? """,What would happened if she could not find a daycare ?,"['She would take the baby to work .', 'She would have to quit her job .', 'None of the above choices .', 'She would leave the baby alone at home .']",50,cosmos_qa
Base,340.6209945678711,,112,I had this big elaborate plan - where I would be slightly drunk but not REALLY drunk and be all pretty and glamorous in my birthday outfit when I saw him for the firsr time . Just because from my previous experiences when you meet up with someone after its been a while there s just too much build up and they look different and you feel weird getting all excited and emotional around them and its just kind of awkward for a bit . I just wanted to skip all that ! I know this is n't exactly the most sturdy logic - but it made sense in my head .,Why would being slightly drunk help me in this situation ?,"['It would help me slur my words so we could laugh about it .', 'It would help me smell better because normally my breath stinks .', 'It would help me talk to him about life and what happened .', 'I would lighten up and not be so tense about seeing someone after a while .']",60,cosmos_qa
Base,195.4960823059082,,69,"Hillel left for Huntsville this morning . If all goes well , he 'll be home Thursday night , otherwise he returns home Friday . This means that from September 1 - 18 , he will have been home a total of 4.5 days . Fall is his busy season which makes for lot of travel , but his schedule seems even more jam - packed than before .",Why did Hillel leave for Huntsville ?,"['Because he has work to do there .', 'None of the above choices .', 'Because he returns home Friday .', 'Because it was the morning .']",70,cosmos_qa
Base,335.3278636932373,,107,"Having got back from a busy Christmas all over the country , Sara decided to take some initiative and rip up the kitchen floor ! Parts of it have been peeling up intermitently for a while , but after we left the fridge defrosting while we were away a lot more of it had come up . So we both got down and dirty and ripped the rest of the ( disgusting ) old parke flooring up - parke flooring which had been glued to the old vinyl and then glued to the floor . Needless to say it was quite hard to get off ... !",Why are we ripping the disgusting old parke flooring up ?,"['We want to put green , recycled flooring in that might peel up .', ""We want to fix the old flooring so it does n't peel up anymore ."", 'We want a floor that will look pleasant because it peels up .', ""We want a floor that wo n't look disgusting because it peels up .""]",80,cosmos_qa
Base,186.007022857666,,44,"The central stations here are like shopping centres and seem to be open whenever there are trains running . After much searching we did find a supermarket . Still , supermarkets here seem to have more pet food and alcohol than people food .",Why do the central stations have so many stores to shop at ?,"[""The stations have good food at them so they 've expanded over the years"", 'The central stations are known for their delicious groceries and so people prioritize shopping there', ""People do n't want to go to groceries stores anymore and prefer stations for their shopping"", ""Many people stop by the central station during their commutes and tend to look for places to buy things so they 're popular spots for that""]",90,cosmos_qa
