skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,choices,answer_dataset
multiple-choice,bert-base-uncased,race,onnx,2023-01-23 22:37:58.187604,"Over 2,000 people.",[[1.4465082 1.3695611 1.0690842 1.3907735]],middle511.txt,race,How many people lost their lives in this accident?,"APRIL 5 marks the 100thanniversary of the sinking of the Titanic. In 1997, the movieTitani","['Over 2,000 people.', 'About 100 people.', 'More than 1,500 people.', ""We don't know.""]","More than 1,500 people."
multiple-choice,bert-base-uncased,race,onnx,2023-01-23 22:38:04.085996,An iceberg can stop for some time during its travel.,[[1.9227394 2.2199883 1.846194  1.7931384]],middle511.txt,race,Which of the following about icebergs is TRUE?,"APRIL 5 marks the 100thanniversary of the sinking of the Titanic. In 1997, the movieTitani","['Icebergs move only when the tide frees them.', 'An iceberg can stop for some time during its travel.', 'An iceberg will move as soon as its melts.', 'It takes an iceberg several months to leave its place.']",An iceberg can stop for some time during its travel.
multiple-choice,bert-base-uncased,race,onnx,2023-01-23 22:38:10.794295,The moon's role in the sinking of the Titanic.,[[0.8261699 0.6425321 0.67747   1.3170478]],middle511.txt,race,. What is the article mainly about?,"APRIL 5 marks the 100thanniversary of the sinking of the Titanic. In 1997, the movieTitani","[""The main cause of the Titanic's sinking."", 'The 100\nthanniversary of the Titanic.', ""The moon's great influence on the Earth's tides."", ""The moon's role in the sinking of the Titanic.""]",The moon's role in the sinking of the Titanic.
multiple-choice,bert-base-uncased,race,onnx,2023-01-23 22:38:16.347651,Billy can't hear,[[-0.7997381  -0.8374807  -0.88554376 -0.8432938 ]],middle5294.txt,race,"From the passage,we know that  _  .","Billy's favorite color is orange.But he can't see what orange looks like.Billy is blind.
A","[""Billy can't hear"", ""Billy can't see"", ""Billy can't walk"", ""Billy can't talk""]",Billy can't see
multiple-choice,bert-base-uncased,race,onnx,2023-01-23 22:38:22.739196,By sending him to his dream school.,[[-0.878016  -0.7667379 -0.7748302 -0.7518874]],middle5294.txt,race,How did Billy's mother help him?,"Billy's favorite color is orange.But he can't see what orange looks like.Billy is blind.
A","['By teaching him how to draw.', 'By asking teachers for advice.', 'By describing everything to him.', 'By sending him to his dream school.']",By describing everything to him.
multiple-choice,bert-base-uncased,race,onnx,2023-01-23 22:38:28.698786,When he was in Grade 5.,[[0.58211064 0.6965179  0.64248574 0.5928057 ]],middle5294.txt,race,When did Billy begin teaching himself computer programming?,"Billy's favorite color is orange.But he can't see what orange looks like.Billy is blind.
A","['When he was 7 years old.', 'When he was in Grade 5.', 'When he was in high school.', 'When he was at university.']",When he was 7 years old.
multiple-choice,bert-base-uncased,race,onnx,2023-01-23 22:38:36.855996,tell a story,[[0.65737957 0.6618006  0.8184759  0.43276256]],middle4690.txt,race,The writer begins with the four questions in order to  _  .,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['make a survey', 'interest readers', 'tell a story', 'solve math problems']",interest readers
multiple-choice,bert-base-uncased,race,onnx,2023-01-23 22:38:45.526649,People of different cultures may use different ways of finger counting.,[[2.529463  2.7846131 3.591886  3.2838197]],middle4690.txt,race,What do we learn from the difference in finger counting between the US and China?,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['People from China count much faster than people from the US.', 'People from China need two hands to count from one to ten.', 'People of different cultures may use different ways of finger counting.', 'People of different cultures use the same way of finger counting.']",People of different cultures may use different ways of finger counting.
multiple-choice,bert-base-uncased,race,onnx,2023-01-23 22:38:53.787894,They can understand different ideas about numbers.,[[1.2312331 1.3276949 1.1516162 1.6788428]],middle4690.txt,race,Which of the following is true about aboriginal Australians?,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['They have only a few words for numbers.', 'They have hand movements to stand for numbers.', 'They can only count to five on their fingers.', 'They can understand different ideas about numbers.']",They can understand different ideas about numbers.
multiple-choice,bert-base-uncased,race,onnx,2023-01-23 22:39:02.331092,counting is not useful in the culture of the tribe,[[0.9208292 1.0257951 0.724936  1.0272448]],middle4690.txt,race,The study of the Piraha tribe shows that  _  .,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['people all over the world know how to count', 'people of the tribe have words for numbers', 'some groups of people are not smart enough to count', 'counting is not useful in the culture of the tribe']",counting is not useful in the culture of the tribe
