skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,choices,answer_dataset
multiple-choice,bert-base-uncased,quartz,base,2023-01-26 18:37:22.726886,increase,"tensor([[-0.3231, -0.3043]])",QRQA-10372-1-flip,quartz,"If Jim moves some particles of matter farther apart, what will happen to the rate at which they can pass vibrations on to nearby particles?","When particles of matter are closer together, they can more quickly pass the energy of vib","['decrease', 'increase']",decrease
multiple-choice,bert-base-uncased,quartz,base,2023-01-26 18:37:23.393524,decreased,"tensor([[-0.4190, -0.4187]])",QRQA-10371-4-flip,quartz,"Long ago the surface of Venus warmed enough that greenhouse gases escaped from the atmosphere. As a result, the greenhouse effect on that planet",An increase in greenhouse gases leads to greater greenhouse effect.,"['increased', 'decreased']",decreased
multiple-choice,bert-base-uncased,quartz,base,2023-01-26 18:37:24.159927,less,"tensor([[-0.2380, -0.1695]])",QRQA-10296-1-flip,quartz,If less waters falls on an area of land it will cause _____ plants to grow in that area?,"As more water covered the land, sand and silt were washed in and covered the dead vegetati","['more', 'less']",less
multiple-choice,bert-base-uncased,quartz,base,2023-01-26 18:37:25.083990,open,"tensor([[-0.4421, -0.4332]])",QRQA-10115-3,quartz,Rich applies a solution to the dish that increases the turgor pressure of the guard cells he is studying. The stomata,The increase in turgor pressure of the guard cells results in the opening up of the stomat,"['close', 'open']",open
multiple-choice,bert-base-uncased,quartz,base,2023-01-26 18:37:25.940302,younger,"tensor([[-0.2519, -0.2373]])",QRQA-10082-1,quartz,"Simon was digging in his yard and found that the rocks that were deeper in the ground, compared to the surface rocks, were likely","Therefore, deeper rock layers must be older than layers closer to the surface.","['older', 'younger']",older
multiple-choice,bert-base-uncased,quartz,base,2023-01-26 18:37:26.653187,increases,"tensor([[-0.3967, -0.3560]])",QRQA-10002-1,quartz,"If Jim is tuning his shortwave radio and he increases the wavelength, what happens to the frequency?","As wavelength increases, frequency decreases.","['decreases', 'increases']",decreases
multiple-choice,bert-base-uncased,quartz,base,2023-01-26 18:37:27.693486,sudden,"tensor([[-0.4283, -0.4442]])",QRQA-10181-2,quartz,Dean is trying to slide a rock down a hill using less input force. The slope of the hill that will be ideal for Dean is one that has a slope that is,"The more gradual the slope of the inclined plane, the less input force is needed and the g","['sudden', 'gradual']",gradual
multiple-choice,bert-base-uncased,quartz,base,2023-01-26 18:37:28.501211,decrease,"tensor([[-0.3573, -0.3600]])",QRQA-10371-3-flip,quartz,"Reid is modelling the greenhouse effect in a simulation. If he decreases greenhouse gas levels, the greenhouse gas effect will",An increase in greenhouse gases leads to greater greenhouse effect.,"['decrease', 'increase']",decrease
multiple-choice,bert-base-uncased,quartz,base,2023-01-26 18:37:29.426253,Longer,"tensor([[-0.3726, -0.3748]])",QRQA-10360-5-flip,quartz,John was looking at sunscreen at the retail store. He noticed that sunscreens that had lower SPF would offer protection that is,A sunscreen with a higher SPF protects the skin longer.,"['Longer', 'Shorter']",Shorter
multiple-choice,bert-base-uncased,quartz,base,2023-01-26 18:37:30.468748,Winnie,"tensor([[-0.2341, -0.2298]])",QRQA-10345-3,quartz,Ronald is an electron 20nm from his nucleus. Winnie is an electron 25nm from the nucleus. Who is less attracted to the nucleus?,"When valence electrons are farther from the nucleus, they are attracted less strongly by t","['Ronald', 'Winnie']",Winnie
multiple-choice,bert-base-uncased,quartz,base,2023-01-26 18:37:31.333978,more,"tensor([[-0.3255, -0.3135]])",QRQA-10271-3,quartz,"Dogs, compared to camels, will have differences in their DNA that is","The longer the amount of time since species diverged, the more differences there will be i","['less', 'more']",more
multiple-choice,bert-base-uncased,quartz,base,2023-01-26 18:37:32.120937,less,"tensor([[-0.3332, -0.3635]])",QRQA-10007-5-flip,quartz,The planet gets cooler when there are more or less greenhouse gases?,More greenhouse gases trap more heat and warm the atmosphere.,"['less', 'more']",less
multiple-choice,bert-base-uncased,quartz,base,2023-01-26 18:37:33.046712,cold,"tensor([[-0.0228, -0.0017]])",QRQA-10239-3-flip,quartz,Clare stopped rubbing two sticks together. The sticks became,"Friction causes the molecules on rubbing surfaces to move faster, so they have more heat e","['hot', 'cold']",cold
multiple-choice,bert-base-uncased,quartz,base,2023-01-26 18:37:33.969511,slower,"tensor([[-0.4123, -0.3902]])",QRQA-10372-5,quartz,"If particles drift apart, they will pass energy to each other","When particles of matter are closer together, they can more quickly pass the energy of vib","['quicker', 'slower']",slower
multiple-choice,bert-base-uncased,quartz,base,2023-01-26 18:37:35.085975,further apart,"tensor([[-0.2558, -0.3185]])",QRQA-10372-2,quartz,"Two batteries are sitting on a table, one has energy being passed quickly around, the other has energy passed slowly around. The battery with energy being passed quickly has particles of matter that are","When particles of matter are closer together, they can more quickly pass the energy of vib","['further apart', 'closer together']",closer together
multiple-choice,bert-base-uncased,quartz,base,2023-01-26 18:37:36.076447,Harry,"tensor([[-0.3207, -0.3056]])",QRQA-10082-4-flip,quartz,Will drilled 1000 feet to find a rock. Harry picked a rock up off of the ground. Whose rock is likely older?,"Therefore, deeper rock layers must be older than layers closer to the surface.","['Will', 'Harry']",Will
multiple-choice,bert-base-uncased,quartz,base,2023-01-26 18:37:37.346309,a very short time,"tensor([[-0.3870, -0.3914]])",QRQA-10390-4-flip,quartz,In order to take a photo of the flashlight right in front of us we would need our camera's shutter to be open,A camera shutter stays open longer in dim light to let more light in.,"['a very short time', 'a very long time']",a very short time
