skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,choices,answer_dataset
multiple-choice,bert-base-uncased,race,quant_base,2023-01-23 22:37:55.264262,"Over 2,000 people.","tensor([[-0.1136, -1.0457, -3.0903, -2.0300]])",middle511.txt,race,How many people lost their lives in this accident?,"APRIL 5 marks the 100thanniversary of the sinking of the Titanic. In 1997, the movieTitani","['Over 2,000 people.', 'About 100 people.', 'More than 1,500 people.', ""We don't know.""]","More than 1,500 people."
multiple-choice,bert-base-uncased,race,quant_base,2023-01-23 22:37:57.557905,An iceberg can stop for some time during its travel.,"tensor([[-3.5725,  4.6432, -7.6587,  1.2561]])",middle511.txt,race,Which of the following about icebergs is TRUE?,"APRIL 5 marks the 100thanniversary of the sinking of the Titanic. In 1997, the movieTitani","['Icebergs move only when the tide frees them.', 'An iceberg can stop for some time during its travel.', 'An iceberg will move as soon as its melts.', 'It takes an iceberg several months to leave its place.']",An iceberg can stop for some time during its travel.
multiple-choice,bert-base-uncased,race,quant_base,2023-01-23 22:37:59.918720,The moon's role in the sinking of the Titanic.,"tensor([[ 2.1925, -3.2529,  1.3919,  8.6220]])",middle511.txt,race,. What is the article mainly about?,"APRIL 5 marks the 100thanniversary of the sinking of the Titanic. In 1997, the movieTitani","[""The main cause of the Titanic's sinking."", 'The 100\nthanniversary of the Titanic.', ""The moon's great influence on the Earth's tides."", ""The moon's role in the sinking of the Titanic.""]",The moon's role in the sinking of the Titanic.
multiple-choice,bert-base-uncased,race,quant_base,2023-01-23 22:38:02.011937,Billy can't see,"tensor([[-10.1705,  -7.8266,  -9.9623,  -9.8136]])",middle5294.txt,race,"From the passage,we know that  _  .","Billy's favorite color is orange.But he can't see what orange looks like.Billy is blind.
A","[""Billy can't hear"", ""Billy can't see"", ""Billy can't walk"", ""Billy can't talk""]",Billy can't see
multiple-choice,bert-base-uncased,race,quant_base,2023-01-23 22:38:04.464404,By describing everything to him.,"tensor([[-11.0154, -10.4637,   7.8145,  -8.6235]])",middle5294.txt,race,How did Billy's mother help him?,"Billy's favorite color is orange.But he can't see what orange looks like.Billy is blind.
A","['By teaching him how to draw.', 'By asking teachers for advice.', 'By describing everything to him.', 'By sending him to his dream school.']",By describing everything to him.
multiple-choice,bert-base-uncased,race,quant_base,2023-01-23 22:38:06.986365,When he was 7 years old.,"tensor([[10.3256, -4.8706, -2.2918, -9.5278]])",middle5294.txt,race,When did Billy begin teaching himself computer programming?,"Billy's favorite color is orange.But he can't see what orange looks like.Billy is blind.
A","['When he was 7 years old.', 'When he was in Grade 5.', 'When he was in high school.', 'When he was at university.']",When he was 7 years old.
multiple-choice,bert-base-uncased,race,quant_base,2023-01-23 22:38:10.736222,make a survey,"tensor([[ -9.3588,  -9.5987, -10.8323, -10.1841]])",middle4690.txt,race,The writer begins with the four questions in order to  _  .,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['make a survey', 'interest readers', 'tell a story', 'solve math problems']",interest readers
multiple-choice,bert-base-uncased,race,quant_base,2023-01-23 22:38:14.497922,People of different cultures may use different ways of finger counting.,"tensor([[-5.4307, -3.8596, 13.4617, -1.5101]])",middle4690.txt,race,What do we learn from the difference in finger counting between the US and China?,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['People from China count much faster than people from the US.', 'People from China need two hands to count from one to ten.', 'People of different cultures may use different ways of finger counting.', 'People of different cultures use the same way of finger counting.']",People of different cultures may use different ways of finger counting.
multiple-choice,bert-base-uncased,race,quant_base,2023-01-23 22:38:18.292580,They can understand different ideas about numbers.,"tensor([[-3.7458, -6.4747, -6.9145, 12.3450]])",middle4690.txt,race,Which of the following is true about aboriginal Australians?,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['They have only a few words for numbers.', 'They have hand movements to stand for numbers.', 'They can only count to five on their fingers.', 'They can understand different ideas about numbers.']",They can understand different ideas about numbers.
multiple-choice,bert-base-uncased,race,quant_base,2023-01-23 22:38:22.667213,counting is not useful in the culture of the tribe,"tensor([[-9.5843, -5.1089, -2.2354, -0.6395]])",middle4690.txt,race,The study of the Piraha tribe shows that  _  .,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['people all over the world know how to count', 'people of the tribe have words for numbers', 'some groups of people are not smart enough to count', 'counting is not useful in the culture of the tribe']",counting is not useful in the culture of the tribe
