skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,choices,answer_dataset
multiple-choice,roberta-base,quartz,onnx,2023-01-26 18:53:22.530244,decrease,[[-1.1497079 -2.497363 ]],QRQA-10372-1-flip,quartz,"If Jim moves some particles of matter farther apart, what will happen to the rate at which they can pass vibrations on to nearby particles?","When particles of matter are closer together, they can more quickly pass the energy of vib","['decrease', 'increase']",decrease
multiple-choice,roberta-base,quartz,onnx,2023-01-26 18:53:22.756169,decreased,[[-2.2758887 -1.4322541]],QRQA-10371-4-flip,quartz,"Long ago the surface of Venus warmed enough that greenhouse gases escaped from the atmosphere. As a result, the greenhouse effect on that planet",An increase in greenhouse gases leads to greater greenhouse effect.,"['increased', 'decreased']",decreased
multiple-choice,roberta-base,quartz,onnx,2023-01-26 18:53:23.025837,less,[[-0.3926896   0.05386359]],QRQA-10296-1-flip,quartz,If less waters falls on an area of land it will cause _____ plants to grow in that area?,"As more water covered the land, sand and silt were washed in and covered the dead vegetati","['more', 'less']",less
multiple-choice,roberta-base,quartz,onnx,2023-01-26 18:53:23.313155,open,[[3.1936617 3.6193929]],QRQA-10115-3,quartz,Rich applies a solution to the dish that increases the turgor pressure of the guard cells he is studying. The stomata,The increase in turgor pressure of the guard cells results in the opening up of the stomat,"['close', 'open']",open
multiple-choice,roberta-base,quartz,onnx,2023-01-26 18:53:23.536442,older,[[ 0.73783517 -0.24088499]],QRQA-10082-1,quartz,"Simon was digging in his yard and found that the rocks that were deeper in the ground, compared to the surface rocks, were likely","Therefore, deeper rock layers must be older than layers closer to the surface.","['older', 'younger']",older
multiple-choice,roberta-base,quartz,onnx,2023-01-26 18:53:23.704253,decreases,[[-0.8906153 -1.3976934]],QRQA-10002-1,quartz,"If Jim is tuning his shortwave radio and he increases the wavelength, what happens to the frequency?","As wavelength increases, frequency decreases.","['decreases', 'increases']",decreases
multiple-choice,roberta-base,quartz,onnx,2023-01-26 18:53:24.059442,sudden,[[-0.89787173 -0.89927846]],QRQA-10181-2,quartz,Dean is trying to slide a rock down a hill using less input force. The slope of the hill that will be ideal for Dean is one that has a slope that is,"The more gradual the slope of the inclined plane, the less input force is needed and the g","['sudden', 'gradual']",gradual
multiple-choice,roberta-base,quartz,onnx,2023-01-26 18:53:24.299438,decrease,[[-1.6456127 -3.3114045]],QRQA-10371-3-flip,quartz,"Reid is modelling the greenhouse effect in a simulation. If he decreases greenhouse gas levels, the greenhouse gas effect will",An increase in greenhouse gases leads to greater greenhouse effect.,"['decrease', 'increase']",decrease
multiple-choice,roberta-base,quartz,onnx,2023-01-26 18:53:24.607025,Shorter,[[-2.3349948  -0.38540798]],QRQA-10360-5-flip,quartz,John was looking at sunscreen at the retail store. He noticed that sunscreens that had lower SPF would offer protection that is,A sunscreen with a higher SPF protects the skin longer.,"['Longer', 'Shorter']",Shorter
multiple-choice,roberta-base,quartz,onnx,2023-01-26 18:53:25.046782,Winnie,[[0.7948125 0.9485557]],QRQA-10345-3,quartz,Ronald is an electron 20nm from his nucleus. Winnie is an electron 25nm from the nucleus. Who is less attracted to the nucleus?,"When valence electrons are farther from the nucleus, they are attracted less strongly by t","['Ronald', 'Winnie']",Winnie
