skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,choices,answer_dataset
multiple-choice,roberta-base,race,onnx,2023-01-24 00:08:31.589568,We don't know.,[[ -9.538631   -9.378806  -11.054372   -3.4914715]],middle511.txt,race,How many people lost their lives in this accident?,"APRIL 5 marks the 100thanniversary of the sinking of the Titanic. In 1997, the movieTitani","['Over 2,000 people.', 'About 100 people.', 'More than 1,500 people.', ""We don't know.""]","More than 1,500 people."
multiple-choice,roberta-base,race,onnx,2023-01-24 00:08:36.719486,An iceberg can stop for some time during its travel.,[[ -2.748417   -1.5342349 -13.179125   -9.022909 ]],middle511.txt,race,Which of the following about icebergs is TRUE?,"APRIL 5 marks the 100thanniversary of the sinking of the Titanic. In 1997, the movieTitani","['Icebergs move only when the tide frees them.', 'An iceberg can stop for some time during its travel.', 'An iceberg will move as soon as its melts.', 'It takes an iceberg several months to leave its place.']",An iceberg can stop for some time during its travel.
multiple-choice,roberta-base,race,onnx,2023-01-24 00:08:42.472543,The moon's role in the sinking of the Titanic.,[[ 0.3413874  6.788311   8.029827  14.777664 ]],middle511.txt,race,. What is the article mainly about?,"APRIL 5 marks the 100thanniversary of the sinking of the Titanic. In 1997, the movieTitani","[""The main cause of the Titanic's sinking."", 'The 100\nthanniversary of the Titanic.', ""The moon's great influence on the Earth's tides."", ""The moon's role in the sinking of the Titanic.""]",The moon's role in the sinking of the Titanic.
multiple-choice,roberta-base,race,onnx,2023-01-24 00:08:47.095807,Billy can't hear,[[  0.02536637  -2.7366686   -0.17505866 -10.6501465 ]],middle5294.txt,race,"From the passage,we know that  _  .","Billy's favorite color is orange.But he can't see what orange looks like.Billy is blind.
A","[""Billy can't hear"", ""Billy can't see"", ""Billy can't walk"", ""Billy can't talk""]",Billy can't see
multiple-choice,roberta-base,race,onnx,2023-01-24 00:08:51.569120,By sending him to his dream school.,[[-12.44224   -12.3986635  -3.2155967  -0.4751094]],middle5294.txt,race,How did Billy's mother help him?,"Billy's favorite color is orange.But he can't see what orange looks like.Billy is blind.
A","['By teaching him how to draw.', 'By asking teachers for advice.', 'By describing everything to him.', 'By sending him to his dream school.']",By describing everything to him.
multiple-choice,roberta-base,race,onnx,2023-01-24 00:08:56.186254,When he was 7 years old.,[[ 3.594294 -4.105573 -6.948988 -8.105658]],middle5294.txt,race,When did Billy begin teaching himself computer programming?,"Billy's favorite color is orange.But he can't see what orange looks like.Billy is blind.
A","['When he was 7 years old.', 'When he was in Grade 5.', 'When he was in high school.', 'When he was at university.']",When he was 7 years old.
multiple-choice,roberta-base,race,onnx,2023-01-24 00:09:04.240693,tell a story,[[ 1.5097941  2.6285713  2.9768593 -1.7766865]],middle4690.txt,race,The writer begins with the four questions in order to  _  .,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['make a survey', 'interest readers', 'tell a story', 'solve math problems']",interest readers
multiple-choice,roberta-base,race,onnx,2023-01-24 00:09:12.954693,People of different cultures may use different ways of finger counting.,[[ -2.3004322  -1.6296589   8.7699995 -13.785034 ]],middle4690.txt,race,What do we learn from the difference in finger counting between the US and China?,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['People from China count much faster than people from the US.', 'People from China need two hands to count from one to ten.', 'People of different cultures may use different ways of finger counting.', 'People of different cultures use the same way of finger counting.']",People of different cultures may use different ways of finger counting.
multiple-choice,roberta-base,race,onnx,2023-01-24 00:09:21.247326,They can understand different ideas about numbers.,[[ -7.1752453  -9.050909  -11.039246    5.819092 ]],middle4690.txt,race,Which of the following is true about aboriginal Australians?,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['They have only a few words for numbers.', 'They have hand movements to stand for numbers.', 'They can only count to five on their fingers.', 'They can understand different ideas about numbers.']",They can understand different ideas about numbers.
multiple-choice,roberta-base,race,onnx,2023-01-24 00:09:30.562981,counting is not useful in the culture of the tribe,[[-16.97751   -14.449533   -3.3539538  -1.6363038]],middle4690.txt,race,The study of the Piraha tribe shows that  _  .,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['people all over the world know how to count', 'people of the tribe have words for numbers', 'some groups of people are not smart enough to count', 'counting is not useful in the culture of the tribe']",counting is not useful in the culture of the tribe
