skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,choices,answer_dataset
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:55:49.108136,about 10 minutes,[[-0.56781507 -4.4981174  -1.7591311  -2.0883286 ]],f141_0,quail,How long was Candy trying to seduce Larry?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['about 10 minutes', 'about 2 hours', 'not enough information', 'All day']",about 10 minutes
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:55:56.991776,Larry likes paying for sex.,[[ 2.2767005 -1.2766871  2.3360014  2.4339657]],f141_1,quail,What is probably true about Larry.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Larry does not have enough money for a prostitute.', 'not enough information', 'Larry likes sex.', 'Larry likes paying for sex.']",Larry likes sex.
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:56:05.010839,That Candy had all her teeth,[[ 2.086361    0.10990354 -1.2369452   2.3521757 ]],f141_2,quail,What was Larry impressed with?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['How windy it was outside', 'His own car', 'not enough information', 'That Candy had all her teeth']",That Candy had all her teeth
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:56:13.153260,To warm her butt.,[[ 1.6674131  2.126474   1.7347935 -1.5204849]],f141_3,quail,Why did Candy press her legs together.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['to protect her calves', 'To warm her butt.', 'Because she was cold', 'not enough information']",Because she was cold
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:56:21.520464,Larry,[[ 1.2688339 -1.2875936  2.204944   2.0603697]],f141_4,quail,Who thought prostitutes were revolting?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['The convenience store clerk', 'not enough information', 'Larry', 'Candy']",Larry
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:56:30.315437,He works at the convenience store,[[ 2.68427    -1.4855586   1.5507092  -0.21421804]],f141_5,quail,What kind of job does Larry have?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['He works at the convenience store', 'not enough information', 'He is a banker', 'He is a doctor']",not enough information
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:56:39.589916,He had a nice car,[[ 2.053723  -1.6662192  1.993281   1.9021561]],f141_6,quail,Why did Candy assume Larry was looking for a prostitute?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['He had a nice car', 'not enough information', 'He parked in the back of the store', 'He asked for one']",He parked in the back of the store
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:56:48.258792,He makes a lot of money,[[ 1.9409714  1.7118664 -1.2574159  2.2293074]],f141_7,quail,What is probably true about Larry?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['He likes snacks', 'He hates the cold', 'not enough information', 'He makes a lot of money']",He makes a lot of money
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:56:57.153340,Is impressed with the prostitute.,[[ 2.0886414 -1.7698567  2.6943986  1.7308977]],f141_8,quail,After the end of the story Larry does what:,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Grins and winks.', 'not enough information', 'Is impressed with the prostitute.', 'Gets it on with the prostitute.']",Gets it on with the prostitute.
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:57:05.739276,After the bearded man drove his silver BMW into the convenience store parking lot.,[[ 2.785324   1.4440582 -1.5845869  2.159802 ]],f141_9,quail,When did Candy pull around to the side of the building.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['After the bearded man drove his silver BMW into the convenience store parking lot.', 'After watching the bearded man.', 'not enough information', 'After watching the bearded man drive his silver BMW.']",After the bearded man drove his silver BMW into the convenience store parking lot.
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:57:15.839231,candy looks young,[[ 1.5759219 -2.6922386  1.1905301  1.9529116]],f141_10,quail,Larry believes that,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['that her long legs were very nice.', 'not enough information', 'her blond hair made her pretty.', 'candy looks young']",candy looks young
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:57:24.229461,Candy is a clean hooker,[[ 1.143064  -2.3870664  2.0192482  1.2145808]],f141_11,quail,Larry believes that:,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Candy is homeless', 'not enough information', 'Candy is a clean hooker', 'Candy is too old']",Candy is a clean hooker
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:57:32.354038,Online,[[ 2.1128612  1.2399378 -1.2648197  0.2808018]],f141_12,quail,Where did Larry buy his car?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Online', 'On a Craigslist', 'not enough information', 'From a friend.']",not enough information
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:57:40.610621,Bearded man,[[-2.7240767  1.5513318  1.5546381  1.5836794]],f141_13,quail,Who shivered,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['not enough information', 'Candy', 'Larry Luzor', 'Bearded man']",Candy
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:57:48.849696,A few minutes,[[-2.8045323 -1.7433722 -1.6970743  1.8902946]],f141_14,quail,How long was Larry probably talking to Candy?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['A whole day', 'An hour', 'not enough information', 'A few minutes']",A few minutes
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:57:57.777792,"""Uh,Thanks.""",[[ 1.1900388  1.2792324  1.2242186 -1.5452698]],f141_15,quail,What did candy say when Larry stepped out of the car.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['""Nice car, Honey.""', '""Uh,Thanks.""', '""I\'m Candy. You got a sweet tooth tonight?""', 'not enough information']","""Nice car, Honey."""
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:58:06.668718,let's Candy check out his car,[[ 3.1309574   0.18812782 -1.7209774   2.9089863 ]],f141_16,quail,"After the end of the story, Larry probably:",Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"[""let's Candy check out his car"", 'buys Candy a soda', 'not enough information', 'sleeps with Candy']",sleeps with Candy
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:58:15.883333,As he got out of the car,[[ 1.7780148 -1.8062811  1.8829521  1.8738239]],f141_17,quail,When Candy approached Larry:,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['While he was still in the car', 'not enough information', 'As he got out of the car', 'While he was inside the store']",As he got out of the car
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:58:25.020776,While he was communicating with some of the readers,[[ 4.760028  -1.5911558  5.067516   3.9425225]],f142_0,quail,"When Larry klicked ""Publish""?",Larry sat down at his laptop and logged in as Barry Undermine to complete another chapter ,"['After he finished his fiction story.', 'not enough information', 'While he was communicating with some of the readers', 'Before he made changes to the original plot']",After he finished his fiction story.
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:58:33.679009,Larry's wife.,[[ 2.6789565 -1.9176184  1.2482653  2.7878263]],f142_1,quail,Who is Erin?,Larry sat down at his laptop and logged in as Barry Undermine to complete another chapter ,"[""Larry's love interest."", 'not enough information', ""Larry's girlfriend"", ""Larry's wife.""]",not enough information
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:58:42.427102,To share his novel with his readers,[[ 4.990973   5.925596   4.689479  -1.3162785]],f142_2,quail,Why Larry hits 'Publish'?,Larry sat down at his laptop and logged in as Barry Undermine to complete another chapter ,"['The previous submition was accidentally deleted.', 'To share his novel with his readers', 'To send a draft to his parents.', 'not enough information']",To share his novel with his readers
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:58:50.871851,Barry,[[ 1.8553977 -1.6449945  3.8431354  3.931883 ]],f142_3,quail,"Who wrote ""Illusion of Luck""?",Larry sat down at his laptop and logged in as Barry Undermine to complete another chapter ,"['Erin', 'not enough information', 'Larry', 'Barry']",Larry
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:58:59.257361,Barry,[[-1.5733439  3.041243   1.2235367  2.861154 ]],f142_4,quail,Who was incinerated?,Larry sat down at his laptop and logged in as Barry Undermine to complete another chapter ,"['not enough information', 'Barry', 'Erin', 'Larry']",Larry
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:59:07.901634,Barry murdered her.,[[ 3.078032   2.794232  -1.3752713  2.9762177]],f142_5,quail,What probably happened to Erin?,Larry sat down at his laptop and logged in as Barry Undermine to complete another chapter ,"['Barry murdered her.', 'She was involved in an affair.', 'not enough information', 'Larry murdered her.']",Larry murdered her.
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:59:16.210331,A chapter in his serial novel.,[[ 3.1688633 -1.3574314  3.3938837  3.5102992]],f142_6,quail,What was Barry working on?,Larry sat down at his laptop and logged in as Barry Undermine to complete another chapter ,"['Sketching out a plot.', 'not enough information', 'Incinerating Erin.', 'A chapter in his serial novel.']",A chapter in his serial novel.
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:59:24.757726,Articulating the scene.,[[ 2.9050746  3.9529753  3.7108521 -1.6976187]],f142_7,quail,What does Larry think is so easy?,Larry sat down at his laptop and logged in as Barry Undermine to complete another chapter ,"['Coming up with character names.', 'Articulating the scene.', 'Writing the title.', 'not enough information']",Articulating the scene.
multiple-choice,roberta-base,quail,onnx_opt,2023-01-24 16:59:33.342569,Annoyed,[[ 3.5409184 -1.4998037  4.5330777  3.8726323]],f142_8,quail,How does Larry feel after hitting 'Publish'?,Larry sat down at his laptop and logged in as Barry Undermine to complete another chapter ,"['Scared', 'not enough information', 'Annoyed', 'Excited']",Excited
