skill,reader,adapter,modelname,timestamp,answer,data_id,dataset,question,context,answer_dataset
span-extraction,bert-base-uncased,drop,quant_onnx_opt,2023-01-25 00:28:16.158303,chaz schilens. the texans would respond with fullback vonta leach,f37e81fa-ef7b-4583-b671-762fc433faa9,drop,Who scored the first touchdown of the game?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['Chaz Schilens', 'JaMarcus Russell'], 'types': ['span', 'span']}"
span-extraction,bert-base-uncased,drop,quant_onnx_opt,2023-01-25 00:28:16.544227,,ac6ba235-3024-4f63-a6ab-730a14def4cb,drop,How many field goals did Kris Brown kick?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['2', '3', '3', '3', '3'], 'types': ['number', 'number', 'number', 'number', 'number']}"
span-extraction,bert-base-uncased,drop,quant_onnx_opt,2023-01-25 00:28:16.928384,[CLS],2c7c93f6-69ed-47cc-a5af-94a00c185a26,drop,Which team won the game?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['Raiders', 'Raiders', 'Raiders', 'the Raiders', 'the Raiders'], 'types': ['span', 'span', 'span', 'span', 'span']}"
span-extraction,bert-base-uncased,drop,quant_onnx_opt,2023-01-25 00:28:17.323749,[CLS],7dfd2b64-f39e-4bb4-aeb0-1900adda6018,drop,How many field goals did both teams kick in the first half?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['2', '2', '2', '2', '2'], 'types': ['number', 'number', 'number', 'number', 'number']}"
span-extraction,bert-base-uncased,drop,quant_onnx_opt,2023-01-25 00:28:17.748008,53 - yard,121a8f57-7752-4373-a9ba-748b2c577cd2,drop,How many more yards was Kris Browns's first field goal over his second?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['29', '20', '29', '29', '29'], 'types': ['number', 'number', 'number', 'number', 'number']}"
span-extraction,bert-base-uncased,drop,quant_onnx_opt,2023-01-25 00:28:18.135039,jamarcus russell,05d06269-191b-4638-97ca-e1304e7883d1,drop,Who threw the longest pass?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['JaMarcus Russell', '29', 'Russell', 'JaMarcus Russell', 'Russell'], 'types': ['span', 'number', 'span', 'span', 'span']}"
span-extraction,bert-base-uncased,drop,quant_onnx_opt,2023-01-25 00:28:18.539795,,01c67c32-9281-4d13-afd2-33aa922994dc,drop,How many yards was the longest touchdown of the game?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['80-yard punt return', '80', '80', '80', '80'], 'types': ['span', 'number', 'number', 'number', 'number']}"
span-extraction,bert-base-uncased,drop,quant_onnx_opt,2023-01-25 00:28:18.950352,33 - yard,03fdc8a0-d62b-49a0-8087-af92e6659650,drop,How many field goals did Sebastian Janikowski and Kris Brown both score each?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['2', '5'], 'types': ['number', 'number']}"
span-extraction,bert-base-uncased,drop,quant_onnx_opt,2023-01-25 00:28:19.367684,33 - yard,17bdcfb1-8ad9-46b5-8a3b-1f9769dfd60a,drop,How many yards difference is there between Sebastian Janikowski's longest field goal and his shortest field goal?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['3', '3', '3', '3'], 'types': ['number', 'number', 'number', 'number']}"
span-extraction,bert-base-uncased,drop,quant_onnx_opt,2023-01-25 00:28:19.775880,53 - yard,d4547161-dd97-4164-93a1-144986d94c51,drop,How many yards difference is there between Kris Brown's longest and shortest field goals?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['29', '29', '29', '29'], 'types': ['number', 'number', 'number', 'number']}"
span-extraction,bert-base-uncased,drop,quant_onnx_opt,2023-01-25 00:28:20.184477,"29 - yard touchdown pass from russell, followed up by an 80 - yard",0aa153e9-057a-4347-acb7-8114cb1d68e8,drop,How many yards longer was the 80-yard punt than the touchdown pass from Russell to Johnnie Lee Higgins?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['51', '51', '51', '51'], 'types': ['number', 'number', 'number', 'number']}"
span-extraction,bert-base-uncased,drop,quant_onnx_opt,2023-01-25 00:28:20.576556,,142b8af7-b9b0-446b-9cb6-a6940b80461f,drop,How many touchdowns were scored in the game?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['4', '4'], 'types': ['number', 'number']}"
span-extraction,bert-base-uncased,drop,quant_onnx_opt,2023-01-25 00:28:20.965788,jamarcus russell completed a 20 - yard,4fbb0c95-06a8-4205-9edb-156a22eecaa7,drop,How many of the touchdowns were passing touchdowns?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['2', '2'], 'types': ['number', 'number']}"
span-extraction,bert-base-uncased,drop,quant_onnx_opt,2023-01-25 00:28:21.344805,20 - yard,0a92ef8a-1780-4379-8ab8-6f2939fce562,drop,How many yards was the longest passing touchdown?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['29', '29'], 'types': ['number', 'number']}"
span-extraction,bert-base-uncased,drop,quant_onnx_opt,2023-01-25 00:28:21.740936,20 - yard,43810a23-d66e-49bb-816b-16f5a331fbb0,drop,How many yards longer was the longest passing touchdown than the shortest?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['9', '9'], 'types': ['number', 'number']}"
span-extraction,bert-base-uncased,drop,quant_onnx_opt,2023-01-25 00:28:22.223763,[CLS],084814c7-cc64-40a6-a308-4de211d531b4,drop,How many field goals were scored in the game?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['5', '5'], 'types': ['number', 'number']}"
span-extraction,bert-base-uncased,drop,quant_onnx_opt,2023-01-25 00:28:22.647544,53 - yard,17e35029-a5d0-44d3-844e-edd0759d5797,drop,How many yards was the longest field goal in the game?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['53', '53'], 'types': ['number', 'number']}"
span-extraction,bert-base-uncased,drop,quant_onnx_opt,2023-01-25 00:28:23.075066,33 - yard and a 30 - yard field goal. houston would tie the game in the second quarter with kicker kris brown getting a 53 - yard,fe7754d3-322e-41b2-b1b7-a9bc0cbca9a2,drop,How many yards was the shortest field goal in the game?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['24', '24'], 'types': ['number', 'number']}"
