skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,choices,answer_dataset
multiple-choice,roberta-base,race,base,2023-01-24 00:08:28.619558,"More than 1,500 people.","tensor([[ -1.2216,  -4.6914,  -0.0763, -11.1928]])",middle511.txt,race,How many people lost their lives in this accident?,"APRIL 5 marks the 100thanniversary of the sinking of the Titanic. In 1997, the movieTitani","['Over 2,000 people.', 'About 100 people.', 'More than 1,500 people.', ""We don't know.""]","More than 1,500 people."
multiple-choice,roberta-base,race,base,2023-01-24 00:08:30.886803,An iceberg can stop for some time during its travel.,"tensor([[-10.6743,   3.0589, -16.4662, -13.8290]])",middle511.txt,race,Which of the following about icebergs is TRUE?,"APRIL 5 marks the 100thanniversary of the sinking of the Titanic. In 1997, the movieTitani","['Icebergs move only when the tide frees them.', 'An iceberg can stop for some time during its travel.', 'An iceberg will move as soon as its melts.', 'It takes an iceberg several months to leave its place.']",An iceberg can stop for some time during its travel.
multiple-choice,roberta-base,race,base,2023-01-24 00:08:33.086613,The moon's role in the sinking of the Titanic.,"tensor([[-6.5431,  2.3749,  3.6351,  9.0503]])",middle511.txt,race,. What is the article mainly about?,"APRIL 5 marks the 100thanniversary of the sinking of the Titanic. In 1997, the movieTitani","[""The main cause of the Titanic's sinking."", 'The 100\nthanniversary of the Titanic.', ""The moon's great influence on the Earth's tides."", ""The moon's role in the sinking of the Titanic.""]",The moon's role in the sinking of the Titanic.
multiple-choice,roberta-base,race,base,2023-01-24 00:08:34.869455,Billy can't see,"tensor([[ -7.6557,  -5.0709, -10.1506, -16.9664]])",middle5294.txt,race,"From the passage,we know that  _  .","Billy's favorite color is orange.But he can't see what orange looks like.Billy is blind.
A","[""Billy can't hear"", ""Billy can't see"", ""Billy can't walk"", ""Billy can't talk""]",Billy can't see
multiple-choice,roberta-base,race,base,2023-01-24 00:08:36.702864,By describing everything to him.,"tensor([[-18.0942, -18.4676,  21.3421, -14.9792]])",middle5294.txt,race,How did Billy's mother help him?,"Billy's favorite color is orange.But he can't see what orange looks like.Billy is blind.
A","['By teaching him how to draw.', 'By asking teachers for advice.', 'By describing everything to him.', 'By sending him to his dream school.']",By describing everything to him.
multiple-choice,roberta-base,race,base,2023-01-24 00:08:38.654328,When he was 7 years old.,"tensor([[ 10.3102,  -5.9413, -11.7505, -18.2040]])",middle5294.txt,race,When did Billy begin teaching himself computer programming?,"Billy's favorite color is orange.But he can't see what orange looks like.Billy is blind.
A","['When he was 7 years old.', 'When he was in Grade 5.', 'When he was in high school.', 'When he was at university.']",When he was 7 years old.
multiple-choice,roberta-base,race,base,2023-01-24 00:08:41.872343,interest readers,"tensor([[-14.9763,  -0.0757, -12.0875, -13.0722]])",middle4690.txt,race,The writer begins with the four questions in order to  _  .,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['make a survey', 'interest readers', 'tell a story', 'solve math problems']",interest readers
multiple-choice,roberta-base,race,base,2023-01-24 00:08:45.020018,People of different cultures may use different ways of finger counting.,"tensor([[-10.6030,  -3.3425,  10.6194, -14.7097]])",middle4690.txt,race,What do we learn from the difference in finger counting between the US and China?,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['People from China count much faster than people from the US.', 'People from China need two hands to count from one to ten.', 'People of different cultures may use different ways of finger counting.', 'People of different cultures use the same way of finger counting.']",People of different cultures may use different ways of finger counting.
multiple-choice,roberta-base,race,base,2023-01-24 00:08:48.160427,They can understand different ideas about numbers.,"tensor([[ -7.0243, -13.5980,  -9.8821,  17.9366]])",middle4690.txt,race,Which of the following is true about aboriginal Australians?,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['They have only a few words for numbers.', 'They have hand movements to stand for numbers.', 'They can only count to five on their fingers.', 'They can understand different ideas about numbers.']",They can understand different ideas about numbers.
multiple-choice,roberta-base,race,base,2023-01-24 00:08:51.279090,some groups of people are not smart enough to count,"tensor([[-15.6904, -14.6370,   7.7780,   3.0855]])",middle4690.txt,race,The study of the Piraha tribe shows that  _  .,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['people all over the world know how to count', 'people of the tribe have words for numbers', 'some groups of people are not smart enough to count', 'counting is not useful in the culture of the tribe']",counting is not useful in the culture of the tribe
multiple-choice,roberta-base,race,base,2023-01-24 00:08:54.312294,People from different cultures have different ideas about numbers and math.,"tensor([[ 6.4712, -2.3364,  4.3691,  1.6868]])",middle4690.txt,race,What is the main idea of the passage?,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['People from different cultures have different ideas about numbers and math.', 'Chinese people can count more easily on their fingers than Americans.', ""In some aboriginal cultures,people don't even know how to count."", ""Some languages don't have number words because people don't need numbers.""]",People from different cultures have different ideas about numbers and math.
multiple-choice,roberta-base,race,base,2023-01-24 00:08:56.313470,using an English-Chinese dictionary,"tensor([[ -9.7699, -11.4927, -11.2694,   1.8539]])",middle163.txt,race,This passage is about  _  .,"When you are reading something in English, you may often meet with a new word. What's the ","['new words in writing', 'different dictionaries', 'the best way of reading', 'using an English-Chinese dictionary']",using an English-Chinese dictionary
