skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,choices,answer_dataset
multiple-choice,bert-base-uncased,quartz,onnx_opt,2023-01-26 18:37:22.682924,increase,[[-0.4425696  -0.42104053]],QRQA-10372-1-flip,quartz,"If Jim moves some particles of matter farther apart, what will happen to the rate at which they can pass vibrations on to nearby particles?","When particles of matter are closer together, they can more quickly pass the energy of vib","['decrease', 'increase']",decrease
multiple-choice,bert-base-uncased,quartz,onnx_opt,2023-01-26 18:37:23.222854,decreased,[[-0.3726902  -0.35832736]],QRQA-10371-4-flip,quartz,"Long ago the surface of Venus warmed enough that greenhouse gases escaped from the atmosphere. As a result, the greenhouse effect on that planet",An increase in greenhouse gases leads to greater greenhouse effect.,"['increased', 'decreased']",decreased
multiple-choice,bert-base-uncased,quartz,onnx_opt,2023-01-26 18:37:23.955753,more,[[-0.14772616 -0.27151406]],QRQA-10296-1-flip,quartz,If less waters falls on an area of land it will cause _____ plants to grow in that area?,"As more water covered the land, sand and silt were washed in and covered the dead vegetati","['more', 'less']",less
multiple-choice,bert-base-uncased,quartz,onnx_opt,2023-01-26 18:37:24.733604,open,[[-0.4584921  -0.42407662]],QRQA-10115-3,quartz,Rich applies a solution to the dish that increases the turgor pressure of the guard cells he is studying. The stomata,The increase in turgor pressure of the guard cells results in the opening up of the stomat,"['close', 'open']",open
multiple-choice,bert-base-uncased,quartz,onnx_opt,2023-01-26 18:37:25.382337,older,[[-0.29735819 -0.30204332]],QRQA-10082-1,quartz,"Simon was digging in his yard and found that the rocks that were deeper in the ground, compared to the surface rocks, were likely","Therefore, deeper rock layers must be older than layers closer to the surface.","['older', 'younger']",older
multiple-choice,bert-base-uncased,quartz,onnx_opt,2023-01-26 18:37:25.854596,increases,[[-0.43728092 -0.4288021 ]],QRQA-10002-1,quartz,"If Jim is tuning his shortwave radio and he increases the wavelength, what happens to the frequency?","As wavelength increases, frequency decreases.","['decreases', 'increases']",decreases
multiple-choice,bert-base-uncased,quartz,onnx_opt,2023-01-26 18:37:26.691252,gradual,[[-0.4539652  -0.41935697]],QRQA-10181-2,quartz,Dean is trying to slide a rock down a hill using less input force. The slope of the hill that will be ideal for Dean is one that has a slope that is,"The more gradual the slope of the inclined plane, the less input force is needed and the g","['sudden', 'gradual']",gradual
multiple-choice,bert-base-uncased,quartz,onnx_opt,2023-01-26 18:37:27.239227,increase,[[-0.4339362 -0.431943 ]],QRQA-10371-3-flip,quartz,"Reid is modelling the greenhouse effect in a simulation. If he decreases greenhouse gas levels, the greenhouse gas effect will",An increase in greenhouse gases leads to greater greenhouse effect.,"['decrease', 'increase']",decrease
multiple-choice,bert-base-uncased,quartz,onnx_opt,2023-01-26 18:37:27.873901,Longer,[[-0.44889092 -0.46477562]],QRQA-10360-5-flip,quartz,John was looking at sunscreen at the retail store. He noticed that sunscreens that had lower SPF would offer protection that is,A sunscreen with a higher SPF protects the skin longer.,"['Longer', 'Shorter']",Shorter
multiple-choice,bert-base-uncased,quartz,onnx_opt,2023-01-26 18:37:28.763363,Ronald,[[-0.33375987 -0.41971034]],QRQA-10345-3,quartz,Ronald is an electron 20nm from his nucleus. Winnie is an electron 25nm from the nucleus. Who is less attracted to the nucleus?,"When valence electrons are farther from the nucleus, they are attracted less strongly by t","['Ronald', 'Winnie']",Winnie
