skill,reader,adapter,modelname,timestamp,answer,data_id,dataset,question,context,answer_dataset
span-extraction,roberta-base,drop,base,2023-01-25 03:19:04.882197," Chaz Schilens.  The Texans would respond with fullback Vonta Leach getting a 1-yard touchdown run, yet the Raiders would answer with kicker Sebastian Janikowski getting a 33-yard and a 30-yard field goal.  Houston would tie the game in the second quarter with kicker Kris Brown getting a 53-yard and a 24-yard field goal. Oakland would take the lead in the third quarter with wide receiver Johnnie Lee Higgins catching a 29-yard touchdown pass from Russell, followed up by an 80-yard punt return for a touchdown.  The Texans tried to rally in the fourth quarter as Brown nailed a 40-yard field goal, yet the Raiders' defense would shut down any possible attempt.",f37e81fa-ef7b-4583-b671-762fc433faa9,drop,Who scored the first touchdown of the game?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['Chaz Schilens', 'JaMarcus Russell'], 'types': ['span', 'span']}"
span-extraction,roberta-base,drop,base,2023-01-25 03:19:05.946788, 53-yard,ac6ba235-3024-4f63-a6ab-730a14def4cb,drop,How many field goals did Kris Brown kick?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['2', '3', '3', '3', '3'], 'types': ['number', 'number', 'number', 'number', 'number']}"
span-extraction,roberta-base,drop,base,2023-01-25 03:19:06.981789,<s>,2c7c93f6-69ed-47cc-a5af-94a00c185a26,drop,Which team won the game?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['Raiders', 'Raiders', 'Raiders', 'the Raiders', 'the Raiders'], 'types': ['span', 'span', 'span', 'span', 'span']}"
span-extraction,roberta-base,drop,base,2023-01-25 03:19:08.106873,<s>,7dfd2b64-f39e-4bb4-aeb0-1900adda6018,drop,How many field goals did both teams kick in the first half?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['2', '2', '2', '2', '2'], 'types': ['number', 'number', 'number', 'number', 'number']}"
span-extraction,roberta-base,drop,base,2023-01-25 03:19:08.830465, 53-yard,121a8f57-7752-4373-a9ba-748b2c577cd2,drop,How many more yards was Kris Browns's first field goal over his second?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['29', '20', '29', '29', '29'], 'types': ['number', 'number', 'number', 'number', 'number']}"
span-extraction,roberta-base,drop,base,2023-01-25 03:19:09.458703,"<s>Who threw the longest pass?</s></s> Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week 16 duel with the Houston Texans.  Oakland would get the early lead in the first quarter as quarterback JaMarcus Russell",05d06269-191b-4638-97ca-e1304e7883d1,drop,Who threw the longest pass?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['JaMarcus Russell', '29', 'Russell', 'JaMarcus Russell', 'Russell'], 'types': ['span', 'number', 'span', 'span', 'span']}"
span-extraction,roberta-base,drop,base,2023-01-25 03:19:10.048293, 80-yard,01c67c32-9281-4d13-afd2-33aa922994dc,drop,How many yards was the longest touchdown of the game?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['80-yard punt return', '80', '80', '80', '80'], 'types': ['span', 'number', 'number', 'number', 'number']}"
span-extraction,roberta-base,drop,base,2023-01-25 03:19:10.582400, 33-yard,03fdc8a0-d62b-49a0-8087-af92e6659650,drop,How many field goals did Sebastian Janikowski and Kris Brown both score each?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['2', '5'], 'types': ['number', 'number']}"
span-extraction,roberta-base,drop,base,2023-01-25 03:19:11.131691,<s>,17bdcfb1-8ad9-46b5-8a3b-1f9769dfd60a,drop,How many yards difference is there between Sebastian Janikowski's longest field goal and his shortest field goal?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['3', '3', '3', '3'], 'types': ['number', 'number', 'number', 'number']}"
span-extraction,roberta-base,drop,base,2023-01-25 03:19:11.639659,<s>,d4547161-dd97-4164-93a1-144986d94c51,drop,How many yards difference is there between Kris Brown's longest and shortest field goals?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['29', '29', '29', '29'], 'types': ['number', 'number', 'number', 'number']}"
span-extraction,roberta-base,drop,base,2023-01-25 03:19:12.146455,,0aa153e9-057a-4347-acb7-8114cb1d68e8,drop,How many yards longer was the 80-yard punt than the touchdown pass from Russell to Johnnie Lee Higgins?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['51', '51', '51', '51'], 'types': ['number', 'number', 'number', 'number']}"
span-extraction,roberta-base,drop,base,2023-01-25 03:19:12.629811,<s>,142b8af7-b9b0-446b-9cb6-a6940b80461f,drop,How many touchdowns were scored in the game?," Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week ","{'spans': ['4', '4'], 'types': ['number', 'number']}"
