skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,choices,answer_dataset
multiple-choice,roberta-base,race,quant_onnx_opt,2023-01-24 00:08:30.153944,We don't know.,[[-6.631347  -4.199012  -8.669476  -3.7257342]],middle511.txt,race,How many people lost their lives in this accident?,"APRIL 5 marks the 100thanniversary of the sinking of the Titanic. In 1997, the movieTitani","['Over 2,000 people.', 'About 100 people.', 'More than 1,500 people.', ""We don't know.""]","More than 1,500 people."
multiple-choice,roberta-base,race,quant_onnx_opt,2023-01-24 00:08:33.949977,An iceberg can stop for some time during its travel.,[[  2.0493898   2.2087736 -13.987354   -6.0789685]],middle511.txt,race,Which of the following about icebergs is TRUE?,"APRIL 5 marks the 100thanniversary of the sinking of the Titanic. In 1997, the movieTitani","['Icebergs move only when the tide frees them.', 'An iceberg can stop for some time during its travel.', 'An iceberg will move as soon as its melts.', 'It takes an iceberg several months to leave its place.']",An iceberg can stop for some time during its travel.
multiple-choice,roberta-base,race,quant_onnx_opt,2023-01-24 00:08:37.693684,The moon's role in the sinking of the Titanic.,[[ 0.11962843  4.706509    3.3283048  14.44803   ]],middle511.txt,race,. What is the article mainly about?,"APRIL 5 marks the 100thanniversary of the sinking of the Titanic. In 1997, the movieTitani","[""The main cause of the Titanic's sinking."", 'The 100\nthanniversary of the Titanic.', ""The moon's great influence on the Earth's tides."", ""The moon's role in the sinking of the Titanic.""]",The moon's role in the sinking of the Titanic.
multiple-choice,roberta-base,race,quant_onnx_opt,2023-01-24 00:08:41.183057,Billy can't hear,[[-0.02913046 -2.160532   -0.7127216  -9.030952  ]],middle5294.txt,race,"From the passage,we know that  _  .","Billy's favorite color is orange.But he can't see what orange looks like.Billy is blind.
A","[""Billy can't hear"", ""Billy can't see"", ""Billy can't walk"", ""Billy can't talk""]",Billy can't see
multiple-choice,roberta-base,race,quant_onnx_opt,2023-01-24 00:08:44.439935,By describing everything to him.,[[-11.516542  -10.384335    1.0873775   1.0032337]],middle5294.txt,race,How did Billy's mother help him?,"Billy's favorite color is orange.But he can't see what orange looks like.Billy is blind.
A","['By teaching him how to draw.', 'By asking teachers for advice.', 'By describing everything to him.', 'By sending him to his dream school.']",By describing everything to him.
multiple-choice,roberta-base,race,quant_onnx_opt,2023-01-24 00:08:47.781244,When he was 7 years old.,[[ 3.0438163 -0.5400889 -3.133543  -3.7807465]],middle5294.txt,race,When did Billy begin teaching himself computer programming?,"Billy's favorite color is orange.But he can't see what orange looks like.Billy is blind.
A","['When he was 7 years old.', 'When he was in Grade 5.', 'When he was in high school.', 'When he was at university.']",When he was 7 years old.
multiple-choice,roberta-base,race,quant_onnx_opt,2023-01-24 00:08:53.268008,tell a story,[[-0.06091619  3.7562466   5.454986   -3.7270255 ]],middle4690.txt,race,The writer begins with the four questions in order to  _  .,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['make a survey', 'interest readers', 'tell a story', 'solve math problems']",interest readers
multiple-choice,roberta-base,race,quant_onnx_opt,2023-01-24 00:08:59.096453,People of different cultures may use different ways of finger counting.,[[ -2.9137335  -1.0834618  10.579063  -11.868139 ]],middle4690.txt,race,What do we learn from the difference in finger counting between the US and China?,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['People from China count much faster than people from the US.', 'People from China need two hands to count from one to ten.', 'People of different cultures may use different ways of finger counting.', 'People of different cultures use the same way of finger counting.']",People of different cultures may use different ways of finger counting.
multiple-choice,roberta-base,race,quant_onnx_opt,2023-01-24 00:09:05.381851,They can understand different ideas about numbers.,[[-3.6835914 -6.057691  -9.294682   6.735846 ]],middle4690.txt,race,Which of the following is true about aboriginal Australians?,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['They have only a few words for numbers.', 'They have hand movements to stand for numbers.', 'They can only count to five on their fingers.', 'They can understand different ideas about numbers.']",They can understand different ideas about numbers.
multiple-choice,roberta-base,race,quant_onnx_opt,2023-01-24 00:09:11.818505,some groups of people are not smart enough to count,[[-15.341665  -12.061983    0.6794193  -2.6935   ]],middle4690.txt,race,The study of the Piraha tribe shows that  _  .,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['people all over the world know how to count', 'people of the tribe have words for numbers', 'some groups of people are not smart enough to count', 'counting is not useful in the culture of the tribe']",counting is not useful in the culture of the tribe
multiple-choice,roberta-base,race,quant_onnx_opt,2023-01-24 00:09:17.941540,People from different cultures have different ideas about numbers and math.,[[12.114826    2.235515    4.330392    0.31169176]],middle4690.txt,race,What is the main idea of the passage?,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['People from different cultures have different ideas about numbers and math.', 'Chinese people can count more easily on their fingers than Americans.', ""In some aboriginal cultures,people don't even know how to count."", ""Some languages don't have number words because people don't need numbers.""]",People from different cultures have different ideas about numbers and math.
multiple-choice,roberta-base,race,quant_onnx_opt,2023-01-24 00:09:21.538456,using an English-Chinese dictionary,[[-0.59801245  0.6016172   0.87459815  5.6407733 ]],middle163.txt,race,This passage is about  _  .,"When you are reading something in English, you may often meet with a new word. What's the ","['new words in writing', 'different dictionaries', 'the best way of reading', 'using an English-Chinese dictionary']",using an English-Chinese dictionary
multiple-choice,roberta-base,race,quant_onnx_opt,2023-01-24 00:09:25.353524,how to use the word,[[-1.837318    0.15366793  1.6377332   3.3593261 ]],middle163.txt,race,In the dictionary you may not find  _  .,"When you are reading something in English, you may often meet with a new word. What's the ","['how to pronounce the word', 'the spelling of the word', 'who used the word first', 'how to use the word']",who used the word first
multiple-choice,roberta-base,race,quant_onnx_opt,2023-01-24 00:09:29.028513,begins with A,[[0.31539083 3.7650962  2.4924455  0.32772636]],middle163.txt,race,"In an English-Chinese dictionary, the last word  _  .","When you are reading something in English, you may often meet with a new word. What's the ","['begins with Z', 'begins with A', 'is a short one', 'is not often used']",begins with Z
