skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,choices,answer_dataset
multiple-choice,roberta-base,quail,quant_base,2023-01-24 16:55:45.114858,about 10 minutes,"tensor([[ 2.2914,  2.1093, -2.1380,  1.5240]])",f141_0,quail,How long was Candy trying to seduce Larry?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['about 10 minutes', 'about 2 hours', 'not enough information', 'All day']",about 10 minutes
multiple-choice,roberta-base,quail,quant_base,2023-01-24 16:55:47.930950,Larry does not have enough money for a prostitute.,"tensor([[ 2.1593, -0.9583,  1.9514,  1.9932]])",f141_1,quail,What is probably true about Larry.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Larry does not have enough money for a prostitute.', 'not enough information', 'Larry likes sex.', 'Larry likes paying for sex.']",Larry likes sex.
multiple-choice,roberta-base,quail,quant_base,2023-01-24 16:55:50.672270,His own car,"tensor([[ 0.8500,  1.3003, -1.1891,  1.0039]])",f141_2,quail,What was Larry impressed with?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['How windy it was outside', 'His own car', 'not enough information', 'That Candy had all her teeth']",That Candy had all her teeth
multiple-choice,roberta-base,quail,quant_base,2023-01-24 16:55:53.674042,To warm her butt.,"tensor([[ 1.7170,  2.1305,  1.7904, -3.3732]])",f141_3,quail,Why did Candy press her legs together.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['to protect her calves', 'To warm her butt.', 'Because she was cold', 'not enough information']",Because she was cold
multiple-choice,roberta-base,quail,quant_base,2023-01-24 16:55:57.152650,Candy,"tensor([[ 1.3042, -2.5172,  1.8059,  1.9097]])",f141_4,quail,Who thought prostitutes were revolting?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['The convenience store clerk', 'not enough information', 'Larry', 'Candy']",Larry
multiple-choice,roberta-base,quail,quant_base,2023-01-24 16:56:00.709800,He works at the convenience store,"tensor([[2.0837, 1.5386, 1.5960, 0.0777]])",f141_5,quail,What kind of job does Larry have?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['He works at the convenience store', 'not enough information', 'He is a banker', 'He is a doctor']",not enough information
multiple-choice,roberta-base,quail,quant_base,2023-01-24 16:56:04.208747,He had a nice car,"tensor([[ 2.4485, -2.4272,  1.8276,  2.0259]])",f141_6,quail,Why did Candy assume Larry was looking for a prostitute?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['He had a nice car', 'not enough information', 'He parked in the back of the store', 'He asked for one']",He parked in the back of the store
multiple-choice,roberta-base,quail,quant_base,2023-01-24 16:56:07.466661,He makes a lot of money,"tensor([[ 1.3830,  1.4932, -2.4735,  2.4732]])",f141_7,quail,What is probably true about Larry?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['He likes snacks', 'He hates the cold', 'not enough information', 'He makes a lot of money']",He makes a lot of money
multiple-choice,roberta-base,quail,quant_base,2023-01-24 16:56:10.805041,Is impressed with the prostitute.,"tensor([[ 2.1366, -2.5601,  3.2662,  3.1237]])",f141_8,quail,After the end of the story Larry does what:,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Grins and winks.', 'not enough information', 'Is impressed with the prostitute.', 'Gets it on with the prostitute.']",Gets it on with the prostitute.
multiple-choice,roberta-base,quail,quant_base,2023-01-24 16:56:14.288314,After the bearded man drove his silver BMW into the convenience store parking lot.,"tensor([[ 3.6769,  2.4726, -2.6846,  2.7491]])",f141_9,quail,When did Candy pull around to the side of the building.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['After the bearded man drove his silver BMW into the convenience store parking lot.', 'After watching the bearded man.', 'not enough information', 'After watching the bearded man drive his silver BMW.']",After the bearded man drove his silver BMW into the convenience store parking lot.
multiple-choice,roberta-base,quail,quant_base,2023-01-24 16:56:17.738592,that her long legs were very nice.,"tensor([[ 3.8415, -4.1157,  1.7623,  1.1799]])",f141_10,quail,Larry believes that,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['that her long legs were very nice.', 'not enough information', 'her blond hair made her pretty.', 'candy looks young']",candy looks young
multiple-choice,roberta-base,quail,quant_base,2023-01-24 16:56:21.355981,Candy is a clean hooker,"tensor([[ 1.5797, -3.5372,  2.9647,  1.5455]])",f141_11,quail,Larry believes that:,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Candy is homeless', 'not enough information', 'Candy is a clean hooker', 'Candy is too old']",Candy is a clean hooker
