skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,choices,answer_dataset
multiple-choice,roberta-base,race,quant_base,2023-01-24 00:08:28.564052,"More than 1,500 people.","tensor([[ -1.7992,  -3.8259,  -0.3497, -11.6606]])",middle511.txt,race,How many people lost their lives in this accident?,"APRIL 5 marks the 100thanniversary of the sinking of the Titanic. In 1997, the movieTitani","['Over 2,000 people.', 'About 100 people.', 'More than 1,500 people.', ""We don't know.""]","More than 1,500 people."
multiple-choice,roberta-base,race,quant_base,2023-01-24 00:08:30.789442,An iceberg can stop for some time during its travel.,"tensor([[-10.4845,   2.8098, -16.3334, -13.4808]])",middle511.txt,race,Which of the following about icebergs is TRUE?,"APRIL 5 marks the 100thanniversary of the sinking of the Titanic. In 1997, the movieTitani","['Icebergs move only when the tide frees them.', 'An iceberg can stop for some time during its travel.', 'An iceberg will move as soon as its melts.', 'It takes an iceberg several months to leave its place.']",An iceberg can stop for some time during its travel.
multiple-choice,roberta-base,race,quant_base,2023-01-24 00:08:33.021633,The moon's role in the sinking of the Titanic.,"tensor([[-5.8925,  3.2915,  3.1837,  9.6394]])",middle511.txt,race,. What is the article mainly about?,"APRIL 5 marks the 100thanniversary of the sinking of the Titanic. In 1997, the movieTitani","[""The main cause of the Titanic's sinking."", 'The 100\nthanniversary of the Titanic.', ""The moon's great influence on the Earth's tides."", ""The moon's role in the sinking of the Titanic.""]",The moon's role in the sinking of the Titanic.
multiple-choice,roberta-base,race,quant_base,2023-01-24 00:08:34.798818,Billy can't see,"tensor([[ -6.7540,  -5.6501, -10.4807, -16.5547]])",middle5294.txt,race,"From the passage,we know that  _  .","Billy's favorite color is orange.But he can't see what orange looks like.Billy is blind.
A","[""Billy can't hear"", ""Billy can't see"", ""Billy can't walk"", ""Billy can't talk""]",Billy can't see
multiple-choice,roberta-base,race,quant_base,2023-01-24 00:08:36.624420,By describing everything to him.,"tensor([[-17.8919, -18.3545,  21.2797, -14.7561]])",middle5294.txt,race,How did Billy's mother help him?,"Billy's favorite color is orange.But he can't see what orange looks like.Billy is blind.
A","['By teaching him how to draw.', 'By asking teachers for advice.', 'By describing everything to him.', 'By sending him to his dream school.']",By describing everything to him.
multiple-choice,roberta-base,race,quant_base,2023-01-24 00:08:38.541168,When he was 7 years old.,"tensor([[ 10.7405,  -5.5985, -11.8559, -17.8486]])",middle5294.txt,race,When did Billy begin teaching himself computer programming?,"Billy's favorite color is orange.But he can't see what orange looks like.Billy is blind.
A","['When he was 7 years old.', 'When he was in Grade 5.', 'When he was in high school.', 'When he was at university.']",When he was 7 years old.
multiple-choice,roberta-base,race,quant_base,2023-01-24 00:08:41.704859,interest readers,"tensor([[-14.7799,  -1.3914, -12.6825, -12.5839]])",middle4690.txt,race,The writer begins with the four questions in order to  _  .,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['make a survey', 'interest readers', 'tell a story', 'solve math problems']",interest readers
multiple-choice,roberta-base,race,quant_base,2023-01-24 00:08:44.727619,People of different cultures may use different ways of finger counting.,"tensor([[-10.2421,  -4.6859,  10.4847, -15.5730]])",middle4690.txt,race,What do we learn from the difference in finger counting between the US and China?,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['People from China count much faster than people from the US.', 'People from China need two hands to count from one to ten.', 'People of different cultures may use different ways of finger counting.', 'People of different cultures use the same way of finger counting.']",People of different cultures may use different ways of finger counting.
multiple-choice,roberta-base,race,quant_base,2023-01-24 00:08:47.860426,They can understand different ideas about numbers.,"tensor([[ -7.1269, -11.3337,  -8.6027,  16.7204]])",middle4690.txt,race,Which of the following is true about aboriginal Australians?,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['They have only a few words for numbers.', 'They have hand movements to stand for numbers.', 'They can only count to five on their fingers.', 'They can understand different ideas about numbers.']",They can understand different ideas about numbers.
multiple-choice,roberta-base,race,quant_base,2023-01-24 00:08:50.868327,some groups of people are not smart enough to count,"tensor([[-15.7431, -14.4468,   7.6560,   3.6710]])",middle4690.txt,race,The study of the Piraha tribe shows that  _  .,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['people all over the world know how to count', 'people of the tribe have words for numbers', 'some groups of people are not smart enough to count', 'counting is not useful in the culture of the tribe']",counting is not useful in the culture of the tribe
