skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,answer_dataset
categorical,roberta-base,boolq,quant_onnx,2023-01-25 01:54:29.057918,True,[-0.1341173   0.14345409],0,boolq,does ethanol take more energy make that produces,"All biomass goes through at least some of these steps: it needs to be grown, collected, dr",False
categorical,roberta-base,boolq,quant_onnx,2023-01-25 01:54:30.064095,True,[-1.2327768  1.282742 ],1,boolq,is house tax and property tax are same,"Property tax or 'house tax' is a local tax on buildings, along with appurtenant land. It i",True
categorical,roberta-base,boolq,quant_onnx,2023-01-25 01:54:30.385692,True,[-1.6462349  1.6492175],2,boolq,is pain experienced in a missing body part or paralyzed area,Phantom pain sensations are described as perceptions that an individual experiences relati,True
categorical,roberta-base,boolq,quant_onnx,2023-01-25 01:54:30.847397,True,[-2.2693403  2.099507 ],3,boolq,is harry potter and the escape from gringotts a roller coaster ride,Harry Potter and the Escape from Gringotts is an indoor steel roller coaster at Universal ,True
categorical,roberta-base,boolq,quant_onnx,2023-01-25 01:54:31.254231,False,[ 0.87745374 -0.8412363 ],4,boolq,is there a difference between hydroxyzine hcl and hydroxyzine pam,Hydroxyzine preparations require a doctor's prescription. The drug is available in two for,True
categorical,roberta-base,boolq,quant_onnx,2023-01-25 01:54:31.552840,True,[-1.7223973  1.7385625],5,boolq,is barq's root beer a pepsi product,Barq's /ˈbɑːrks/ is an American soft drink. Its brand of root beer is notable for having c,False
categorical,roberta-base,boolq,quant_onnx,2023-01-25 01:54:31.932294,True,[-1.683846   1.5878886],6,boolq,can an odd number be divided by an even number,"In mathematics, parity is the property of an integer's inclusion in one of two categories:",True
categorical,roberta-base,boolq,quant_onnx,2023-01-25 01:54:32.349344,True,[-2.5370312  2.3203952],7,boolq,is there a word with q without u,"Of the 71 words in this list, 67 are nouns, and most would generally be considered loanwor",True
categorical,roberta-base,boolq,quant_onnx,2023-01-25 01:54:32.457719,True,[-1.94412   2.051227],8,boolq,can u drive in canada with us license,Persons driving into Canada must have their vehicle's registration document and proof of i,True
categorical,roberta-base,boolq,quant_onnx,2023-01-25 01:54:32.882468,True,[-1.9822915  2.0059881],9,boolq,is there a play off for third place in the world cup,The knockout stage of the 2018 FIFA World Cup was the second and final stage of the compet,True
categorical,roberta-base,boolq,quant_onnx,2023-01-25 01:54:33.362813,True,[-0.32620052  0.46555266],10,boolq,can minors drink with parents in new york,"In response to the National Minimum Drinking Age Act in 1984, which reduced by up to 10% t",True
categorical,roberta-base,boolq,quant_onnx,2023-01-25 01:54:33.699130,True,[-0.41171902  0.5514584 ],11,boolq,is the show bloodline based on a true story,Bloodline was announced in October 2014 as part of a partnership between Netflix and Sony ,False
