skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,choices,answer_dataset
multiple-choice,roberta-base,quartz,base,2023-01-26 18:53:22.648641,decrease,"tensor([[ 1.5967, -1.6974]])",QRQA-10372-1-flip,quartz,"If Jim moves some particles of matter farther apart, what will happen to the rate at which they can pass vibrations on to nearby particles?","When particles of matter are closer together, they can more quickly pass the energy of vib","['decrease', 'increase']",decrease
multiple-choice,roberta-base,quartz,base,2023-01-26 18:53:22.955896,increased,"tensor([[-1.4991, -1.7472]])",QRQA-10371-4-flip,quartz,"Long ago the surface of Venus warmed enough that greenhouse gases escaped from the atmosphere. As a result, the greenhouse effect on that planet",An increase in greenhouse gases leads to greater greenhouse effect.,"['increased', 'decreased']",decreased
multiple-choice,roberta-base,quartz,base,2023-01-26 18:53:23.305327,less,"tensor([[-0.0402,  1.9519]])",QRQA-10296-1-flip,quartz,If less waters falls on an area of land it will cause _____ plants to grow in that area?,"As more water covered the land, sand and silt were washed in and covered the dead vegetati","['more', 'less']",less
multiple-choice,roberta-base,quartz,base,2023-01-26 18:53:23.619393,open,"tensor([[1.9225, 3.9955]])",QRQA-10115-3,quartz,Rich applies a solution to the dish that increases the turgor pressure of the guard cells he is studying. The stomata,The increase in turgor pressure of the guard cells results in the opening up of the stomat,"['close', 'open']",open
multiple-choice,roberta-base,quartz,base,2023-01-26 18:53:23.942366,older,"tensor([[ 0.6491, -0.4949]])",QRQA-10082-1,quartz,"Simon was digging in his yard and found that the rocks that were deeper in the ground, compared to the surface rocks, were likely","Therefore, deeper rock layers must be older than layers closer to the surface.","['older', 'younger']",older
multiple-choice,roberta-base,quartz,base,2023-01-26 18:53:24.311129,decreases,"tensor([[-0.1257, -3.0101]])",QRQA-10002-1,quartz,"If Jim is tuning his shortwave radio and he increases the wavelength, what happens to the frequency?","As wavelength increases, frequency decreases.","['decreases', 'increases']",decreases
multiple-choice,roberta-base,quartz,base,2023-01-26 18:53:24.792969,gradual,"tensor([[-0.9647, -0.8797]])",QRQA-10181-2,quartz,Dean is trying to slide a rock down a hill using less input force. The slope of the hill that will be ideal for Dean is one that has a slope that is,"The more gradual the slope of the inclined plane, the less input force is needed and the g","['sudden', 'gradual']",gradual
multiple-choice,roberta-base,quartz,base,2023-01-26 18:53:25.158212,decrease,"tensor([[ 4.4067, -1.9903]])",QRQA-10371-3-flip,quartz,"Reid is modelling the greenhouse effect in a simulation. If he decreases greenhouse gas levels, the greenhouse gas effect will",An increase in greenhouse gases leads to greater greenhouse effect.,"['decrease', 'increase']",decrease
multiple-choice,roberta-base,quartz,base,2023-01-26 18:53:25.660901,Shorter,"tensor([[-1.3558,  2.2436]])",QRQA-10360-5-flip,quartz,John was looking at sunscreen at the retail store. He noticed that sunscreens that had lower SPF would offer protection that is,A sunscreen with a higher SPF protects the skin longer.,"['Longer', 'Shorter']",Shorter
multiple-choice,roberta-base,quartz,base,2023-01-26 18:53:26.411259,Winnie,"tensor([[0.8890, 0.9411]])",QRQA-10345-3,quartz,Ronald is an electron 20nm from his nucleus. Winnie is an electron 25nm from the nucleus. Who is less attracted to the nucleus?,"When valence electrons are farther from the nucleus, they are attracted less strongly by t","['Ronald', 'Winnie']",Winnie
multiple-choice,roberta-base,quartz,base,2023-01-26 18:53:27.043203,less,"tensor([[1.7087, 1.4226]])",QRQA-10271-3,quartz,"Dogs, compared to camels, will have differences in their DNA that is","The longer the amount of time since species diverged, the more differences there will be i","['less', 'more']",more
multiple-choice,roberta-base,quartz,base,2023-01-26 18:53:27.651702,less,"tensor([[ 3.4599, -1.0717]])",QRQA-10007-5-flip,quartz,The planet gets cooler when there are more or less greenhouse gases?,More greenhouse gases trap more heat and warm the atmosphere.,"['less', 'more']",less
multiple-choice,roberta-base,quartz,base,2023-01-26 18:53:28.461841,cold,"tensor([[-1.5489,  3.4045]])",QRQA-10239-3-flip,quartz,Clare stopped rubbing two sticks together. The sticks became,"Friction causes the molecules on rubbing surfaces to move faster, so they have more heat e","['hot', 'cold']",cold
