skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,choices,answer_dataset
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:55:47.074585,about 10 minutes,[[ 0.6391108  -3.5324478  -0.61423075 -1.410512  ]],f141_0,quail,How long was Candy trying to seduce Larry?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['about 10 minutes', 'about 2 hours', 'not enough information', 'All day']",about 10 minutes
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:55:52.408289,Larry likes paying for sex.,[[ 1.2957464 -0.7078943  1.3980607  2.1132195]],f141_1,quail,What is probably true about Larry.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Larry does not have enough money for a prostitute.', 'not enough information', 'Larry likes sex.', 'Larry likes paying for sex.']",Larry likes sex.
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:55:58.554514,That Candy had all her teeth,[[ 1.1446838  -0.69770145 -0.5309726   2.2780519 ]],f141_2,quail,What was Larry impressed with?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['How windy it was outside', 'His own car', 'not enough information', 'That Candy had all her teeth']",That Candy had all her teeth
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:56:04.682834,To warm her butt.,[[ 1.4253894  1.9594814  0.9280143 -1.1572499]],f141_3,quail,Why did Candy press her legs together.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['to protect her calves', 'To warm her butt.', 'Because she was cold', 'not enough information']",Because she was cold
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:56:10.619791,Candy,[[ 0.24781302 -0.93285465  2.0836618   2.1237404 ]],f141_4,quail,Who thought prostitutes were revolting?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['The convenience store clerk', 'not enough information', 'Larry', 'Candy']",Larry
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:56:16.920605,He works at the convenience store,[[ 2.066295   -1.0454803   1.3167666   0.14695658]],f141_5,quail,What kind of job does Larry have?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['He works at the convenience store', 'not enough information', 'He is a banker', 'He is a doctor']",not enough information
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:56:23.464388,He had a nice car,[[ 1.3437706 -0.9844657  0.7569027  0.9144726]],f141_6,quail,Why did Candy assume Larry was looking for a prostitute?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['He had a nice car', 'not enough information', 'He parked in the back of the store', 'He asked for one']",He parked in the back of the store
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:56:30.045965,He hates the cold,[[ 1.4723914  1.9697709 -0.2899221  1.635909 ]],f141_7,quail,What is probably true about Larry?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['He likes snacks', 'He hates the cold', 'not enough information', 'He makes a lot of money']",He makes a lot of money
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:56:37.030233,Is impressed with the prostitute.,[[ 1.0420202 -0.6555368  2.1782784  1.5817533]],f141_8,quail,After the end of the story Larry does what:,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Grins and winks.', 'not enough information', 'Is impressed with the prostitute.', 'Gets it on with the prostitute.']",Gets it on with the prostitute.
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:56:43.748826,After the bearded man drove his silver BMW into the convenience store parking lot.,[[ 2.2749736  -0.12393226 -1.6207045   1.1142678 ]],f141_9,quail,When did Candy pull around to the side of the building.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['After the bearded man drove his silver BMW into the convenience store parking lot.', 'After watching the bearded man.', 'not enough information', 'After watching the bearded man drive his silver BMW.']",After the bearded man drove his silver BMW into the convenience store parking lot.
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:56:50.156463,candy looks young,[[ 0.38542023 -2.611634    0.4676205   1.5924406 ]],f141_10,quail,Larry believes that,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['that her long legs were very nice.', 'not enough information', 'her blond hair made her pretty.', 'candy looks young']",candy looks young
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:56:56.767406,Candy is a clean hooker,[[ 0.6433332  -1.9197025   0.97358453  0.4704069 ]],f141_11,quail,Larry believes that:,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Candy is homeless', 'not enough information', 'Candy is a clean hooker', 'Candy is too old']",Candy is a clean hooker
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:57:02.989246,On a Craigslist,[[ 1.3978919   1.5706754  -0.65484035  0.1638892 ]],f141_12,quail,Where did Larry buy his car?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['Online', 'On a Craigslist', 'not enough information', 'From a friend.']",not enough information
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:57:10.263496,Candy,[[-2.8832214   1.4415483   0.71898115  0.6495887 ]],f141_13,quail,Who shivered,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['not enough information', 'Candy', 'Larry Luzor', 'Bearded man']",Candy
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:57:17.118216,A few minutes,[[-1.4047904  -0.28535694 -0.44219133  2.1683557 ]],f141_14,quail,How long was Larry probably talking to Candy?,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['A whole day', 'An hour', 'not enough information', 'A few minutes']",A few minutes
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:57:23.723894,"""Uh,Thanks.""",[[ 0.31723866  1.4745127   1.0752927  -0.8792329 ]],f141_15,quail,What did candy say when Larry stepped out of the car.,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['""Nice car, Honey.""', '""Uh,Thanks.""', '""I\'m Candy. You got a sweet tooth tonight?""', 'not enough information']","""Nice car, Honey."""
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:57:29.973888,sleeps with Candy,[[ 2.1311028  -2.2640274  -0.96172094  2.4406307 ]],f141_16,quail,"After the end of the story, Larry probably:",Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"[""let's Candy check out his car"", 'buys Candy a soda', 'not enough information', 'sleeps with Candy']",sleeps with Candy
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:57:36.266852,While he was still in the car,[[ 1.5997411 -1.158917   0.9752654  1.4245796]],f141_17,quail,When Candy approached Larry:,Candy watched the bearded man drive his silver BMW into the convenience store parking lot ,"['While he was still in the car', 'not enough information', 'As he got out of the car', 'While he was inside the store']",As he got out of the car
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:57:42.548604,After he finished his fiction story.,[[ 3.497256  -1.0805706  3.1867115  2.353813 ]],f142_0,quail,"When Larry klicked ""Publish""?",Larry sat down at his laptop and logged in as Barry Undermine to complete another chapter ,"['After he finished his fiction story.', 'not enough information', 'While he was communicating with some of the readers', 'Before he made changes to the original plot']",After he finished his fiction story.
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:57:48.755044,Larry's love interest.,[[ 1.9786671 -1.8247887  1.3573891  1.3840537]],f142_1,quail,Who is Erin?,Larry sat down at his laptop and logged in as Barry Undermine to complete another chapter ,"[""Larry's love interest."", 'not enough information', ""Larry's girlfriend"", ""Larry's wife.""]",not enough information
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:57:55.053325,To share his novel with his readers,[[ 3.0125015   3.6090014   2.892928   -0.97646296]],f142_2,quail,Why Larry hits 'Publish'?,Larry sat down at his laptop and logged in as Barry Undermine to complete another chapter ,"['The previous submition was accidentally deleted.', 'To share his novel with his readers', 'To send a draft to his parents.', 'not enough information']",To share his novel with his readers
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:58:01.839194,Erin,[[ 1.8682863 -1.1680722  1.6756923  1.6142588]],f142_3,quail,"Who wrote ""Illusion of Luck""?",Larry sat down at his laptop and logged in as Barry Undermine to complete another chapter ,"['Erin', 'not enough information', 'Larry', 'Barry']",Larry
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:58:08.278366,Erin,[[-0.84190726  0.80121803  1.9854208   0.7701256 ]],f142_4,quail,Who was incinerated?,Larry sat down at his laptop and logged in as Barry Undermine to complete another chapter ,"['not enough information', 'Barry', 'Erin', 'Larry']",Larry
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:58:15.185978,Larry murdered her.,[[ 0.163542   0.5000199 -0.9332838  0.9846562]],f142_5,quail,What probably happened to Erin?,Larry sat down at his laptop and logged in as Barry Undermine to complete another chapter ,"['Barry murdered her.', 'She was involved in an affair.', 'not enough information', 'Larry murdered her.']",Larry murdered her.
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:58:21.986936,A chapter in his serial novel.,[[ 0.5836962 -0.6131493  1.4913194  2.9309077]],f142_6,quail,What was Barry working on?,Larry sat down at his laptop and logged in as Barry Undermine to complete another chapter ,"['Sketching out a plot.', 'not enough information', 'Incinerating Erin.', 'A chapter in his serial novel.']",A chapter in his serial novel.
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:58:28.606208,Articulating the scene.,[[ 0.90587354  1.7797621   1.3815199  -1.6611571 ]],f142_7,quail,What does Larry think is so easy?,Larry sat down at his laptop and logged in as Barry Undermine to complete another chapter ,"['Coming up with character names.', 'Articulating the scene.', 'Writing the title.', 'not enough information']",Articulating the scene.
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:58:35.129100,Annoyed,[[ 3.2939668  -0.65777135  3.6567984   2.8102627 ]],f142_8,quail,How does Larry feel after hitting 'Publish'?,Larry sat down at his laptop and logged in as Barry Undermine to complete another chapter ,"['Scared', 'not enough information', 'Annoyed', 'Excited']",Excited
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:58:41.698411,Writer,[[ 0.32722378 -2.0560572   0.0046611   2.587583  ]],f142_9,quail,What does Larry most likely do for a living?,Larry sat down at his laptop and logged in as Barry Undermine to complete another chapter ,"['Painter', 'not enough information', 'Calligraphy Artist', 'Writer']",Writer
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:58:47.925074,100 pages,[[-1.3415555   1.5553926   0.84282446 -0.12398155]],f142_10,quail,How long is Larry's book?,Larry sat down at his laptop and logged in as Barry Undermine to complete another chapter ,"['not enough information', '100 pages', '250 pages', '500 pages']",not enough information
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:58:54.421390,He had a better real world experience.,[[ 0.873489    0.25752467  1.7168033  -1.299268  ]],f142_11,quail,Why did he change his plot?,Larry sat down at his laptop and logged in as Barry Undermine to complete another chapter ,"['He wanted to take a different approach.', 'He had incinerated Erin.', 'He had a better real world experience.', 'not enough information']",He had a better real world experience.
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:59:01.012440,In a locker.,[[ 1.6212441  -0.54891276  0.46463627  1.5702657 ]],f142_12,quail,Where would Erin's burned corpse end up being stored?,Larry sat down at his laptop and logged in as Barry Undermine to complete another chapter ,"['In a locker.', 'not enough information', 'In a 55-gallon drum.', 'In a shallow grave.']",In a 55-gallon drum.
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:59:07.347141,Original plot has made to the novel,[[-1.8371832   1.9777862   1.7513108   0.16865146]],f142_13,quail,What Larry Belives?,Larry sat down at his laptop and logged in as Barry Undermine to complete another chapter ,"['not enough information', 'Original plot has made to the novel', 'It is very easy to write a novel', 'He should learn to type faster']",It is very easy to write a novel
multiple-choice,roberta-base,quail,quant_onnx_opt,2023-01-24 16:59:13.662601,He was excited,[[-0.6820407  -0.06387016  1.7768309   2.0437934 ]],f142_14,quail,What happened to Larry after he wrote the murder scene?,Larry sat down at his laptop and logged in as Barry Undermine to complete another chapter ,"['not enough information', 'He was bored', 'He was hungry', 'He was excited']",He was excited
