skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,answer_dataset
categorical,bert-base-uncased,boolq,base,2023-01-25 00:29:12.132271,True,[0.03632838 0.1559807 ],0,boolq,does ethanol take more energy make that produces,"All biomass goes through at least some of these steps: it needs to be grown, collected, dr",False
categorical,bert-base-uncased,boolq,base,2023-01-25 00:29:17.117745,True,[0.00471915 0.4291983 ],1,boolq,is house tax and property tax are same,"Property tax or 'house tax' is a local tax on buildings, along with appurtenant land. It i",True
categorical,bert-base-uncased,boolq,base,2023-01-25 00:29:22.003542,True,[-1.280071   1.1713798],2,boolq,is pain experienced in a missing body part or paralyzed area,Phantom pain sensations are described as perceptions that an individual experiences relati,True
categorical,bert-base-uncased,boolq,base,2023-01-25 00:29:26.011717,True,[-1.1285974  1.2845722],3,boolq,is harry potter and the escape from gringotts a roller coaster ride,Harry Potter and the Escape from Gringotts is an indoor steel roller coaster at Universal ,True
categorical,bert-base-uncased,boolq,base,2023-01-25 00:29:29.795409,False,[ 1.1531763 -1.1785511],4,boolq,is there a difference between hydroxyzine hcl and hydroxyzine pam,Hydroxyzine preparations require a doctor's prescription. The drug is available in two for,True
categorical,bert-base-uncased,boolq,base,2023-01-25 00:29:33.173299,True,[-0.35655898  0.59354687],5,boolq,is barq's root beer a pepsi product,Barq's /ˈbɑːrks/ is an American soft drink. Its brand of root beer is notable for having c,False
categorical,bert-base-uncased,boolq,base,2023-01-25 00:29:36.982263,True,[-1.5324104  1.6176082],6,boolq,can an odd number be divided by an even number,"In mathematics, parity is the property of an integer's inclusion in one of two categories:",True
categorical,bert-base-uncased,boolq,base,2023-01-25 00:29:42.422363,True,[-1.6824837  1.6892937],7,boolq,is there a word with q without u,"Of the 71 words in this list, 67 are nouns, and most would generally be considered loanwor",True
categorical,bert-base-uncased,boolq,base,2023-01-25 00:29:45.088437,True,[-1.4665259  1.6881076],8,boolq,can u drive in canada with us license,Persons driving into Canada must have their vehicle's registration document and proof of i,True
categorical,bert-base-uncased,boolq,base,2023-01-25 00:29:49.846437,True,[-2.6897078  2.7744856],9,boolq,is there a play off for third place in the world cup,The knockout stage of the 2018 FIFA World Cup was the second and final stage of the compet,True
categorical,bert-base-uncased,boolq,base,2023-01-25 00:29:53.518535,True,[-0.74010575  0.9366943 ],10,boolq,can minors drink with parents in new york,"In response to the National Minimum Drinking Age Act in 1984, which reduced by up to 10% t",True
