model_name,time once (ms),average_time 50 times (ms),seq_length,context,question,data_id
DROP BERT Base,104.7201156616211,109.6026372909546,124,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",Which NFL team represented the AFC at Super Bowl 50?,56be4db0acb8001400a502ec
DROP BERT Base,124.26018714904784,136.2369680404663,140,"Other green spaces in the city include the Botanic Garden and the University Library garden. They have extensive botanical collection of rare domestic and foreign plants, while a palm house in the New Orangery displays plants of subtropics from all over the world. Besides, within the city borders, there are also: Pole Mokotowskie (a big park in the northern Mokotów, where was the first horse racetrack and then the airport), Park Ujazdowski (close to the Sejm and John Lennon street), Park of Culture and Rest in Powsin, by the southern city border, Park Skaryszewski by the right Vistula bank, in Praga. The oldest park in Praga, the Praga Park, was established in 1865–1871 and designed by Jan Dobrowolski. In 1927 a zoological garden (Ogród Zoologiczny) was established on the park grounds, and in 1952 a bear run, still open today.",Where is a palm house with subtropic plants from all over the world on display?,573368044776f41900660a2a
DROP BERT Base,74.47099685668945,92.50860214233398,103,"Teachers that exhibit enthusiasm can lead to students who are more likely to be engaged, interested, energetic, and curious about learning the subject matter. Recent research has found a correlation between teacher enthusiasm and students' intrinsic motivation to learn and vitality in the classroom. Controlled, experimental studies exploring intrinsic motivation of college students has shown that nonverbal expressions of enthusiasm, such as demonstrative gesturing, dramatic movements which are varied, and emotional facial expressions, result in college students reporting higher levels of intrinsic motivation to learn. Students who experienced a very enthusiastic teacher were more likely to read lecture material outside of the classroom.",What is dramatic gesturing an example of?,56e762fe00c9c71400d77074
DROP BERT Base,78.68504524230957,89.80447769165039,90,"As of August 2010, Victoria had 1,548 public schools, 489 Catholic schools and 214 independent schools. Just under 540,800 students were enrolled in public schools, and just over 311,800 in private schools. Over 61 per cent of private students attend Catholic schools. More than 462,000 students were enrolled in primary schools and more than 390,000 in secondary schools. Retention rates for the final two years of secondary school were 77 per cent for public school students and 90 per cent for private school students. Victoria has about 63,519 full-time teachers.",How many full time teachers does Victoria have?,570d44abb3d812140066d600
DROP BERT Base,101.90582275390624,110.8819580078125,96,"Apollo 5 (AS-204) was the first unmanned test flight of LM in Earth orbit, launched from pad 37 on January 22, 1968, by the Saturn IB that would have been used for Apollo 1. The LM engines were successfully test-fired and restarted, despite a computer programming error which cut short the first descent stage firing. The ascent engine was fired in abort mode, known as a ""fire-in-the-hole"" test, where it was lit simultaneously with jettison of the descent stage. Although Grumman wanted a second unmanned test, George Low decided the next LM flight would be manned.","What was the nickname for the test where, during abort mode, the ascent engine was started and fired?",5725e152271a42140099d2d1
DROP BERT Base,147.97592163085938,172.74383544921875,98,"The plague repeatedly returned to haunt Europe and the Mediterranean throughout the 14th to 17th centuries. According to Biraben, the plague was present somewhere in Europe in every year between 1346 and 1671. The Second Pandemic was particularly widespread in the following years: 1360–63; 1374; 1400; 1438–39; 1456–57; 1464–66; 1481–85; 1500–03; 1518–31; 1544–48; 1563–66; 1573–88; 1596–99; 1602–11; 1623–40; 1644–54; and 1664–67. Subsequent outbreaks, though severe, marked the retreat from most of Europe (18th century) and northern Africa (19th century). According to Geoffrey Parker, ""France alone lost almost a million people to the plague in the epidemic of 1628–31.""",When did the plague return to Europe?,572654e2708984140094c2b7
DROP BERT Base,179.45194244384766,217.73621559143064,190,"In 1990, Thomas S. Murphy delegated his position as president to Daniel B. Burke while remaining ABC's chairman and CEO. Capital Cities/ABC reported revenues of $465 million. Now at a strong second place, the network entered the 1990s with additional family-friendly hits including America's Funniest Home Videos (which has gone on to become the longest-running prime time entertainment program in the network's history), Step by Step, Hangin' with Mr. Cooper, Boy Meets World and Perfect Strangers spinoff Family Matters, as well as series such as Doogie Howser, M.D., Life Goes On, cult favorite Twin Peaks and The Commish. In September 1991, the network premiered Home Improvement, a sitcom starring stand-up comic Tim Allen centering on the family and work life of an accident-prone host of a cable-access home improvement show. Lasting nine seasons, its success led ABC to greenlight additional sitcom projects helmed by comedians during the 1990s including The Drew Carey Show; Brett Butler vehicle Grace Under Fire; and Ellen, which became notable for a 1997 episode which served as the coming out of series star Ellen DeGeneres (as well as her character in the series) as a lesbian.",What position at ABC did Thomas Murphy stay on for after stepping down as president?,572763a8708984140094dcda
DROP BERT Base,135.7100009918213,124.1325330734253,103,"In the United States, the industry in 2014 has around $960 billion in annual revenue according to statistics tracked by the Census Bureau, of which $680 billion is private (split evenly between residential and nonresidential) and the remainder is government. As of 2005, there were about 667,000 firms employing 1 million contractors (200,000 general contractors, 38,000 heavy, and 432,000 specialty); the average contractor employed fewer than 10 employees. As a whole, the industry employed an estimated 5.8 million as of April 2013, with a 13.2% unemployment rate. In the United States, approximately 828,000 women were employed in the construction industry as of 2011.",How many firms were existing in 2005?,572755b7708984140094dc4f
DROP BERT Base,166.83697700500488,267.059178352356,191,"After the 1940s, the Gothic style on campus began to give way to modern styles. In 1955, Eero Saarinen was contracted to develop a second master plan, which led to the construction of buildings both north and south of the Midway, including the Laird Bell Law Quadrangle (a complex designed by Saarinen); a series of arts buildings; a building designed by Ludwig Mies van der Rohe for the university's School of Social Service Administration;, a building which is to become the home of the Harris School of Public Policy Studies by Edward Durrell Stone, and the Regenstein Library, the largest building on campus, a brutalist structure designed by Walter Netsch of the Chicago firm Skidmore, Owings & Merrill. Another master plan, designed in 1999 and updated in 2004, produced the Gerald Ratner Athletics Center (2003), the Max Palevsky Residential Commons (2001), South Campus Residence Hall and dining commons (2009), a new children's hospital, and other construction, expansions, and restorations. In 2011, the university completed the glass dome-shaped Joe and Rika Mansueto Library, which provides a grand reading room for the university library and prevents the need for an off-campus book depository.",What public policy school found it's home in the building that Ludwig Mies van der Rohe designed?,57284d484b864d1900164903
DROP BERT Base,181.6620826721192,148.88776302337646,113,"Many questions regarding prime numbers remain open, such as Goldbach's conjecture (that every even integer greater than 2 can be expressed as the sum of two primes), and the twin prime conjecture (that there are infinitely many pairs of primes whose difference is 2). Such questions spurred the development of various branches of number theory, focusing on analytic or algebraic aspects of numbers. Primes are used in several routines in information technology, such as public-key cryptography, which makes use of properties such as the difficulty of factoring large numbers into their prime factors. Prime numbers give rise to various generalizations in other mathematical domains, mainly algebra, such as prime elements and prime ideals.",What is the name of one algebraic generalization prime numbers have inspired?,5729727baf94a219006aa43b
