adapter,reader,modelname,answer,logits_answer,data_id,timestamp
race,bert-base-uncased,base,"Over 2,000 people.","tensor([[ 0.1839, -0.9903, -3.1086, -2.1385]])",middle511.txt,2023-01-23 21:03:44.816220
race,bert-base-uncased,base,An iceberg can stop for some time during its travel.,"tensor([[-3.5678,  4.9364, -7.5524,  1.4300]])",middle511.txt,2023-01-23 21:03:47.422308
race,bert-base-uncased,base,The moon's role in the sinking of the Titanic.,"tensor([[ 1.9980, -2.8907,  1.1075,  8.2135]])",middle511.txt,2023-01-23 21:03:49.886321
race,bert-base-uncased,base,Billy can't see,"tensor([[-10.2210,  -8.0093, -10.0633, -10.1634]])",middle5294.txt,2023-01-23 21:03:52.086242
race,bert-base-uncased,base,By describing everything to him.,"tensor([[-11.0788, -10.5155,   7.2900,  -8.9184]])",middle5294.txt,2023-01-23 21:03:54.344971
race,bert-base-uncased,base,When he was 7 years old.,"tensor([[ 9.9778, -4.4409, -1.9727, -9.5041]])",middle5294.txt,2023-01-23 21:03:56.723320
race,bert-base-uncased,base,make a survey,"tensor([[ -9.1258,  -9.4295, -10.8411, -10.2859]])",middle4690.txt,2023-01-23 21:04:00.017375
race,bert-base-uncased,base,People of different cultures may use different ways of finger counting.,"tensor([[-5.6898, -4.1292, 13.7711, -1.4195]])",middle4690.txt,2023-01-23 21:04:03.519635
race,bert-base-uncased,base,They can understand different ideas about numbers.,"tensor([[-3.4149, -6.9199, -7.1529, 12.4014]])",middle4690.txt,2023-01-23 21:04:06.732175
race,bert-base-uncased,base,counting is not useful in the culture of the tribe,"tensor([[-9.6227, -5.1252, -2.3614, -0.2740]])",middle4690.txt,2023-01-23 21:04:10.003945
race,bert-base-uncased,base,People from different cultures have different ideas about numbers and math.,"tensor([[  3.4419,  -1.1900,  -8.9617, -10.0824]])",middle4690.txt,2023-01-23 21:04:13.307161
race,bert-base-uncased,base,using an English-Chinese dictionary,"tensor([[-6.0538, -7.4193,  2.2823, 10.0436]])",middle163.txt,2023-01-23 21:04:15.295952
race,bert-base-uncased,base,who used the word first,"tensor([[-4.5921, -4.9592, -1.5272, -6.5772]])",middle163.txt,2023-01-23 21:04:17.664693
race,bert-base-uncased,base,begins with A,"tensor([[-3.1382, -1.9197, -4.1684, -3.1549]])",middle163.txt,2023-01-23 21:04:19.895063
race,bert-base-uncased,base,"perhaps, produce, plenty","tensor([[-1.9760, -3.5002, -3.1275, -5.1955]])",middle163.txt,2023-01-23 21:04:22.122974
race,bert-base-uncased,base,an English-Chinese dictionary can help us a lot in our English study,"tensor([[-4.2161,  5.7229, 12.6873, -4.8396]])",middle163.txt,2023-01-23 21:04:24.331066
race,bert-base-uncased,base,The death of Cao's mother influenced Cao a lot.,"tensor([[ 9.3876, -7.2072,  4.0591, -5.8884]])",middle4052.txt,2023-01-23 21:04:26.420963
race,bert-base-uncased,base,three,"tensor([[-0.4810, -0.8326,  0.5638, -0.3753]])",middle4052.txt,2023-01-23 21:04:28.419458
race,bert-base-uncased,base,Society.,"tensor([[ -8.8115,  -9.9303,  -8.5361, -10.3704]])",middle4052.txt,2023-01-23 21:04:30.505263
race,bert-base-uncased,base,rich man,"tensor([[  3.2522, -10.8339, -11.0315, -11.0143]])",middle1638.txt,2023-01-23 21:04:31.956474
race,bert-base-uncased,base,the cheapest,"tensor([[-9.0445, -5.2309,  9.0032, -4.6910]])",middle1638.txt,2023-01-23 21:04:33.310618
race,bert-base-uncased,base,the cheapest,"tensor([[ 0.5794,  1.1756, -4.3858, -3.1682]])",middle1638.txt,2023-01-23 21:04:34.693571
race,bert-base-uncased,base,the dearest,"tensor([[1.9311, 2.2650, 0.5268, 8.0971]])",middle1638.txt,2023-01-23 21:04:36.107451
race,bert-base-uncased,base,rich,"tensor([[-2.4042, -8.0602, -5.9743, -9.9787]])",middle1638.txt,2023-01-23 21:04:37.577076
race,bert-base-uncased,base,singing,"tensor([[-2.8115, -9.5263, -6.1854, -7.3422]])",middle7193.txt,2023-01-23 21:04:40.189677
race,bert-base-uncased,base,both A and B,"tensor([[ 4.6520, -3.5191, -1.9509,  8.4014]])",middle7193.txt,2023-01-23 21:04:42.661741
race,bert-base-uncased,base,not tell us how the band did,"tensor([[-2.5167, -1.8137, -3.3164,  1.7439]])",middle7193.txt,2023-01-23 21:04:45.255086
race,bert-base-uncased,base,pop stars don't have an easy life as they seem to have,"tensor([[-5.8716, -8.6209, -0.3346,  7.8722]])",middle7193.txt,2023-01-23 21:04:47.771381
race,bert-base-uncased,base,to study English,"tensor([[-0.5357, -7.2651, -2.1961, -8.9854]])",middle1734.txt,2023-01-23 21:04:50.466648
race,bert-base-uncased,base,Carla.,"tensor([[-3.7286,  4.4688, -2.5501, -6.6043]])",middle1734.txt,2023-01-23 21:04:53.203836
race,bert-base-uncased,base,a travel magazine,"tensor([[-10.6592, -11.0191,  -0.1700,  -3.8884]])",middle1734.txt,2023-01-23 21:04:55.675444
race,bert-base-uncased,base,9 a.m.,"tensor([[ 6.3041,  7.2121,  1.8133, -1.2892]])",middle635.txt,2023-01-23 21:04:57.203039
race,bert-base-uncased,base,"A, B and C","tensor([[ 1.1977, -5.4213,  8.6542, 14.5762]])",middle635.txt,2023-01-23 21:04:58.687705
race,bert-base-uncased,base,Peter has no time to go to clubs every day.,"tensor([[-9.9640, -8.1086,  3.0898, -9.2934]])",middle635.txt,2023-01-23 21:05:00.311375
race,bert-base-uncased,base,Moms take care of their children and dads bring home food and make the family rules.,"tensor([[15.3671, 14.1423, 12.2249,  3.9319]])",middle6065.txt,2023-01-23 21:05:02.949470
race,bert-base-uncased,base,They are trying to complete a set of tasks with their kids. They are also trying hard to find the best way to raise their children and keep a closer relationship with them.,"tensor([[15.3854, 15.3918, -9.9266, -8.9551]])",middle6065.txt,2023-01-23 21:05:05.838616
race,bert-base-uncased,base,Drop out of school and get into trouble.,"tensor([[-2.7543, 14.5594, 14.5625, 15.3230]])",middle6065.txt,2023-01-23 21:05:08.479202
race,bert-base-uncased,base,Both parents need to consider that children have different needs at different ages.,"tensor([[-0.9724, -4.3799, 15.3125,  5.2389]])",middle6065.txt,2023-01-23 21:05:11.476413
race,bert-base-uncased,base,how to say something,"tensor([[ -7.9085, -10.6622, -10.7083, -11.0963]])",middle3349.txt,2023-01-23 21:05:12.642576
race,bert-base-uncased,base,very clever,"tensor([[-10.9795,   2.6030, -11.1283,  -5.1171]])",middle3349.txt,2023-01-23 21:05:13.887806
race,bert-base-uncased,base,every day,"tensor([[-4.2651,  1.4271, -0.9154, 12.2211]])",middle3349.txt,2023-01-23 21:05:15.073873
