skill,reader,adapter,modelname,timestamp,answer,logits_answer,data_id,dataset,question,context,choices,answer_dataset
multiple-choice,bert-base-uncased,race,quant_onnx_opt,2023-01-23 22:37:56.730311,"Over 2,000 people.",[[1.3359613 0.9762727 1.2093238 1.0449557]],middle511.txt,race,How many people lost their lives in this accident?,"APRIL 5 marks the 100thanniversary of the sinking of the Titanic. In 1997, the movieTitani","['Over 2,000 people.', 'About 100 people.', 'More than 1,500 people.', ""We don't know.""]","More than 1,500 people."
multiple-choice,bert-base-uncased,race,quant_onnx_opt,2023-01-23 22:38:00.719119,An iceberg will move as soon as its melts.,[[1.3550068 1.52363   1.641447  1.2905062]],middle511.txt,race,Which of the following about icebergs is TRUE?,"APRIL 5 marks the 100thanniversary of the sinking of the Titanic. In 1997, the movieTitani","['Icebergs move only when the tide frees them.', 'An iceberg can stop for some time during its travel.', 'An iceberg will move as soon as its melts.', 'It takes an iceberg several months to leave its place.']",An iceberg can stop for some time during its travel.
multiple-choice,bert-base-uncased,race,quant_onnx_opt,2023-01-23 22:38:05.185834,"The 100
thanniversary of the Titanic.",[[0.56479776 1.0110883  0.67812765 0.9602747 ]],middle511.txt,race,. What is the article mainly about?,"APRIL 5 marks the 100thanniversary of the sinking of the Titanic. In 1997, the movieTitani","[""The main cause of the Titanic's sinking."", 'The 100\nthanniversary of the Titanic.', ""The moon's great influence on the Earth's tides."", ""The moon's role in the sinking of the Titanic.""]",The moon's role in the sinking of the Titanic.
multiple-choice,bert-base-uncased,race,quant_onnx_opt,2023-01-23 22:38:08.962348,Billy can't hear,[[-0.5062065  -1.1986184  -1.0826232  -0.89198446]],middle5294.txt,race,"From the passage,we know that  _  .","Billy's favorite color is orange.But he can't see what orange looks like.Billy is blind.
A","[""Billy can't hear"", ""Billy can't see"", ""Billy can't walk"", ""Billy can't talk""]",Billy can't see
multiple-choice,bert-base-uncased,race,quant_onnx_opt,2023-01-23 22:38:13.158279,By describing everything to him.,[[-0.7627456  -0.55307984  0.11171901 -0.94174075]],middle5294.txt,race,How did Billy's mother help him?,"Billy's favorite color is orange.But he can't see what orange looks like.Billy is blind.
A","['By teaching him how to draw.', 'By asking teachers for advice.', 'By describing everything to him.', 'By sending him to his dream school.']",By describing everything to him.
multiple-choice,bert-base-uncased,race,quant_onnx_opt,2023-01-23 22:38:17.286050,When he was 7 years old.,[[1.2956046  1.1798204  0.5612292  0.86970484]],middle5294.txt,race,When did Billy begin teaching himself computer programming?,"Billy's favorite color is orange.But he can't see what orange looks like.Billy is blind.
A","['When he was 7 years old.', 'When he was in Grade 5.', 'When he was in high school.', 'When he was at university.']",When he was 7 years old.
multiple-choice,bert-base-uncased,race,quant_onnx_opt,2023-01-23 22:38:25.058623,tell a story,[[0.54465795 0.33439052 0.5889715  0.33770967]],middle4690.txt,race,The writer begins with the four questions in order to  _  .,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['make a survey', 'interest readers', 'tell a story', 'solve math problems']",interest readers
multiple-choice,bert-base-uncased,race,quant_onnx_opt,2023-01-23 22:38:31.639292,People of different cultures may use different ways of finger counting.,[[1.7121894 2.0182424 2.4088109 2.0919185]],middle4690.txt,race,What do we learn from the difference in finger counting between the US and China?,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['People from China count much faster than people from the US.', 'People from China need two hands to count from one to ten.', 'People of different cultures may use different ways of finger counting.', 'People of different cultures use the same way of finger counting.']",People of different cultures may use different ways of finger counting.
multiple-choice,bert-base-uncased,race,quant_onnx_opt,2023-01-23 22:38:37.927309,They can understand different ideas about numbers.,[[0.80291235 0.8872429  0.76269007 1.1559361 ]],middle4690.txt,race,Which of the following is true about aboriginal Australians?,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['They have only a few words for numbers.', 'They have hand movements to stand for numbers.', 'They can only count to five on their fingers.', 'They can understand different ideas about numbers.']",They can understand different ideas about numbers.
multiple-choice,bert-base-uncased,race,quant_onnx_opt,2023-01-23 22:38:44.392420,counting is not useful in the culture of the tribe,[[0.17073417 0.70165646 0.5372702  0.731514  ]],middle4690.txt,race,The study of the Piraha tribe shows that  _  .,How quickly can you count from one to ten?Do you use ten different words to do it?Can you ,"['people all over the world know how to count', 'people of the tribe have words for numbers', 'some groups of people are not smart enough to count', 'counting is not useful in the culture of the tribe']",counting is not useful in the culture of the tribe
